store,budget_dpp,dpp 2019-P08,dpp 2019-P07,dpp 2018-P08,budget_diff
Alberta,182.66361256544502,114.75985745614035,213.84960641399417,,-37.17421009889203
anjou,177.226393629124,154.89703081232494,144.688217270195,179.0908914100486,-12.599343901070975
bayshore,178.17916666666667,164.91263529411765,156.4438770053476,173.56668656716417,-7.445613098734338
British Columbia,172.24117647058824,69.67651162790698,434.03847368421054,,-59.54712278698069
chicoutimi,178.19340329835083,184.74876876876877,167.54753315649867,,3.6787924519530257
dix30,176.96630094043888,166.10532515337422,174.79119325551233,182.05154471544716,-6.137312996512309
eatonto,178.19171917191719,163.15919201520913,173.71911572052403,170.9283734939759,-8.436153613965006
Fairview,177.8734439834025,149.3884355179704,155.952972972973,165.14232779097387,-16.01419966214296
gatineau,174.8438948995363,161.8563907284768,179.14734219269104,,-7.4280569982280475
GCA,263.2491103202847,121.70932735426008,153.91973534971643,,-53.766481031528954
gcapitale,177.054932735426,195.28143157894738,179.21117021276595,167.08405253283303,10.294262103816841
GEA,135.78053830227742,95.62736625514404,148.0092356687898,,-29.572111400636505
GMA,177.11356834053873,168.16564334663525,165.79069810300894,173.52193244405723,-5.0520832919470005
GOA,176.9820143884892,173.4131141868512,168.17580536912752,171.09256257449346,-2.0165327047323496
GQA,178.0401098901099,216.577868338558,178.67674137931036,167.08405253283303,21.645548563317796
Grand_Total,178.0011719745223,156.87808087950327,161.2257336358381,158.6372801573289,-11.86682697687092
GTA,178.58618473895584,152.24756861848124,171.3765113285273,171.66257163070392,-14.7484062997227
guildford,169.88486140724947,145.29082987551868,189.22673684210525,,-14.476882359031254
GVA,172.24117647058824,69.67651162790698,189.22673684210525,,-59.54712278698069
laval,177.09134233518665,160.10906713164778,167.1224245115453,178.91790937178166,-9.589556993359936
limeridge,178.28589909443727,164.6867701863354,167.0083778625954,158.3438306451613,-7.62770862820646
mapleview,177.45576923076922,195.00423076923076,172.65436893203884,,9.888921399698733
marketmall,263.2491103202847,161.98076233183858,153.91973534971643,,-38.468638266331446
massonville,178.02449888641425,197.9540389972145,187.258,187.67901639344262,11.194830057359669
mtltrust,176.90048780487805,157.54055789473685,165.4827315689981,160.13492566897918,-10.943966379276064
Ontario,178.46670011288097,157.15467860340198,185.91596097560975,172.77231176026189,-11.941735626869919
oshawa,177.67307692307693,162.26486005089058,179.3743142857143,162.84229007633587,-8.67222943342017
ottawa,177.96947496947496,168.02435897435896,170.27504835589943,169.44805555555556,-5.58810211516428
pacificcentre,177.478672985782,172.55352727272728,,,-2.7750634091394613
polopark,213.1590909090909,155.96,,,-26.83399083057895
Quebec,177.207423580786,123.11837575396538,119.60495461569508,152.06773304880278,-30.523014631022107
REGIONAL_ON,178.02449888641425,182.56350974930362,187.258,187.67901639344262,2.54965518301243
REGIONAL_QC,177.56990595611285,204.8336291913215,170.9475720164609,158.99913846153845,15.353797192384047
rivieres,177.27486910994764,178.54733576642334,171.26742574257426,158.99913846153845,0.7177930311636654
scarborough,178.51606805293005,183.8769827586207,183.53507886435332,170.98908045977012,3.0030432353580188
sherbrooke,177.01465201465203,188.26137592137593,173.16233644859813,,6.3535553575491495
sherway,177.86743886743886,172.13440082644627,170.53020454545455,181.14480151228733,-3.223208293489461
squareone,180.64945652173913,163.0926569037657,159.03202298850576,,-9.718711562168844
stbruno,177.0850869167429,182.72187961985216,179.5460082730093,,3.1830984761350405
stefoy,178.98706896551724,191.09236514522823,178.1710067114094,,6.7632238740347885
uppercanada,177.3296089385475,173.2478,172.4652797202797,184.76939226519337,-2.3018203011782497
vaughan,180.2687651331719,153.91446540880503,163.50367647058823,,-14.619448746374827
westedmonton,135.78053830227742,157.76008230452675,148.0092356687898,,16.187551085795523
