store,budget_dpt,dpt 2019-P08,dpt 2019-P07,dpt 2018-P08,budget_diff
Alberta,221.86804451510335,143.17508891928864,291.6517495029821,,-35.46835947817523
anjou,218.48807854137448,202.1873491773309,198.63506692160612,197.3197857142857,-7.460695097355966
bayshore,215.43073047858942,189.940027100271,189.35278317152103,200.49944827586208,-11.832436032542633
British Columbia,208.0355239786856,79.89573333333334,482.2649707602339,,-61.59514884509864
chicoutimi,217.6831501831502,222.09870036101083,217.06329896907218,,2.0284299332059343
dix30,218.59535333978704,212.52094191522764,235.19024432809772,223.25363908275173,-2.778838310948571
eatonto,215.65468409586057,185.16016181229773,196.45272839506174,193.2841280653951,-14.140440496997378
Fairview,218.71173469387756,180.25696428571428,193.33345360824742,182.48010498687665,-17.582399253513735
gatineau,218.3861003861004,172.11489436619718,205.03174904942966,,-21.18779809616868
GCA,314.77872340425535,152.76461538461538,209.85448453608248,,-51.46920550013571
gcapitale,218.7437673130194,212.26242562929062,213.2386075949367,238.7554959785523,-2.9629834775836423
GEA,166.4517766497462,117.36085858585858,202.06478260869565,,-29.49257680029843
GMA,218.4945641025641,204.04098059391745,210.3515263854819,199.99216825120698,-6.615076932468658
GOA,216.3360552763819,196.72773307163885,199.46821890547264,201.327713884993,-9.06382534325694
GQA,218.3510781671159,237.1453318077803,215.45220374220375,238.7554959785523,8.607355547967645
Grand_Total,217.1488158140113,186.9179055395911,199.03723757296902,191.70969111326488,-13.921747701499367
GTA,214.82106280193236,177.07538441074755,202.4411100973236,203.22030569514237,-17.570753025268665
guildford,202.2233502538071,172.48812807881774,210.25192982456142,,-14.70414872351249
GVA,208.0355239786856,79.89573333333334,210.25192982456142,,-61.59514884509864
laval,218.37218413320275,186.06393110435664,202.56173304628632,190.49264254385966,-14.79504047509032
limeridge,215.67292644757433,188.4922037914692,206.3971462264151,192.02577017114913,-12.60275135308289
mapleview,216.10538641686182,225.3382222222222,206.18434782608696,,4.272376528158576
marketmall,314.77872340425535,203.3116885553471,209.85448453608248,,-35.411235436569335
massonville,216.03513513513514,234.53960396039605,221.41993243243243,217.65057034220533,8.565490429918224
mtltrust,218.46144578313252,181.41033939393938,200.78065366972476,194.67004819277108,-16.96002068299681
Ontario,214.97431636198823,182.97037314988535,220.25411465557096,203.9473394768133,-14.88733340508104
oshawa,214.86046511627907,200.53487421383647,221.84102473498234,208.12039024390245,-6.667392670256862
ottawa,215.2983751846381,196.94658469945355,203.30762124711316,201.89555555555555,-8.523887126155138
pacificcentre,221.58579881656806,192.11425101214576,,,-13.30028727554841
polopark,278.58415841584156,193.4618320610687,,,-30.555336254156664
Quebec,218.4149235474006,148.0252080489509,150.1249388240552,185.82189805048213,-32.22752106642277
REGIONAL_ON,216.03513513513514,216.30462046204622,221.41993243243243,217.65057034220533,0.12474143464788726
REGIONAL_QC,218.20030816640985,235.4890022675737,217.71624737945493,179.4261111111111,7.923313329135475
rivieres,218.44838709677418,194.13480158730158,199.59242307692307,179.4261111111111,-11.130128188450078
scarborough,215.60502283105023,211.88473509933775,209.28280575539569,204.48178694158076,-1.7255106967650407
sherbrooke,218.66515837104072,217.06056657223797,229.8805210918114,,-0.7338122866744144
sherway,215.26947040498442,198.83782816229117,202.24606469002694,215.82342342342343,-7.633057400931289
squareone,213.07371794871796,187.85130120481926,192.16369444444445,,-11.837413354738166
stbruno,218.45823927765238,224.72418181818182,233.6756258411844,,2.8682564508659554
stefoy,217.97900262467192,210.7700686498856,217.6022950819672,,-3.3071689878309365
uppercanada,214.95711060948082,209.99733333333333,205.521125,219.3000655737705,-2.3073334313457807
vaughan,212.71714285714285,184.003007518797,188.4449152542373,,-13.49874060579583
westedmonton,166.4517766497462,193.61464646464646,202.06478260869565,,16.318762323611214
