district,retail_orders 2019-P08,retail_orders 2019-P07,retail_orders 2018-P08,webcs_orders 2019-P08,webcs_orders 2019-P07,webcs_orders 2018-P08,total_orders 2019-P08,total_orders 2018-P08
International,9.0,1.0,7.0,30.0,37.0,58.0,39.0,65.0
Yukon,3.0,2.0,,2.0,,3.0,5.0,
Quebec,6208.0,6240.0,4424.0,1126.0,888.0,761.0,7334.0,5185.0
Rest of CAN,3.0,3.0,5.0,2.0,1.0,7.0,5.0,12.0
Ontario,4798.0,4300.0,3271.0,635.0,448.0,332.0,5433.0,3603.0
California,2.0,1.0,1.0,140.0,105.0,284.0,142.0,285.0
New Brunswick,7.0,8.0,1.0,16.0,4.0,4.0,23.0,5.0
Manitoba,255.0,3.0,2.0,21.0,13.0,16.0,276.0,18.0
Rest of US,13.0,13.0,8.0,437.0,361.0,772.0,450.0,780.0
Canada,12452.0,11233.0,7733.0,1974.0,1467.0,1273.0,14425.0,9003.0
Alberta,720.0,495.0,11.0,75.0,53.0,70.0,795.0,81.0
Prince Edward Island,,,,1.0,2.0,,,
British Columbia,445.0,178.0,10.0,59.0,38.0,54.0,504.0,64.0
United States,22.0,19.0,14.0,713.0,555.0,1270.0,735.0,1193.0
Texas,3.0,,,51.0,30.0,91.0,54.0,
New York,4.0,5.0,5.0,85.0,59.0,123.0,89.0,128.0
Nova Scotia,8.0,1.0,8.0,20.0,14.0,16.0,28.0,24.0
Saskatchewan,5.0,3.0,1.0,17.0,6.0,10.0,22.0,11.0
