store,budget_orders,orders 2019-P08,orders 2019-P07,orders 2018-P08,budget_diff
Alberta,629.0,731,503.0,,16.21621621621622
anjou,713.0,547,523.0,560.0,-23.281907433380084
bayshore,397.0,369,309.0,290.0,-7.052896725440806
British Columbia,563.0,450,171.0,,-20.071047957371224
chicoutimi,546.0,277,291.0,,-49.26739926739927
dix30,1033.0,637,573.0,1003.0,-38.33494675701839
eatonto,918.0,927,810.0,734.0,0.98039215686275
Fairview,392.0,392,388.0,381.0,0.0
gatineau,518.0,284,263.0,,-45.173745173745175
GCA,235.0,533,388.0,,126.80851063829788
gcapitale,722.0,437,474.0,373.0,-39.473684210526315
GEA,394.0,198,115.0,,-49.746192893401016
GMA,4875.0,4200,4074.0,3730.0,-13.846153846153847
GOA,1592.0,1019,1005.0,713.0,-35.99246231155779
GQA,1484.0,874,962.0,373.0,-41.105121293800536
Grand_Total,16087.0,15197,13312.0,10356.0,-5.532417479952757
GTA,5175.0,3759,3288.0,2388.0,-27.36231884057971
guildford,394.0,203,171.0,,-48.47715736040609
GVA,563.0,450,171.0,,-20.071047957371224
GWA,101.0,262,,,159.40594059405942
laval,1021.0,987,929.0,912.0,-3.3300685602350635
limeridge,639.0,422,424.0,409.0,-33.95931142410016
Manitoba,101.0,262,,,159.40594059405942
mapleview,427.0,360,345.0,,-15.690866510538642
marketmall,235.0,533,388.0,,126.80851063829788
massonville,370.0,303,296.0,263.0,-18.10810810810811
mtltrust,830.0,825,872.0,830.0,-0.6024096385542169
Ontario,6619.0,4797,4326.0,3364.0,-27.526816739688776
oshawa,344.0,318,283.0,205.0,-7.558139534883721
ottawa,677.0,366,433.0,423.0,-45.937961595273265
pacificcentre,169.0,247,,,46.15384615384615
polopark,101.0,262,,,159.40594059405942
Quebec,8175.0,8957,8312.0,6992.0,9.56574923547401
REGIONAL_ON,370.0,303,296.0,263.0,-18.10810810810811
REGIONAL_QC,1298.0,882,954.0,288.0,-32.04930662557781
rivieres,310.0,252,260.0,288.0,-18.70967741935484
scarborough,438.0,302,278.0,291.0,-31.050228310502284
sherbrooke,442.0,353,403.0,,-20.13574660633484
sherway,642.0,419,371.0,444.0,-34.73520249221184
squareone,624.0,415,360.0,,-33.493589743589745
stbruno,886.0,770,743.0,,-13.09255079006772
stefoy,762.0,437,488.0,,-42.650918635170605
uppercanada,443.0,330,240.0,305.0,-25.507900677200904
vaughan,700.0,266,177.0,,-62.0
westedmonton,394.0,198,115.0,,-49.746192893401016
