store,budget_products,quantity 2019-P08,quantity 2019-P07,quantity 2018-P08,budget_diff
Alberta,764.0,912,686.0,,19.3717277486911
anjou,879.0,714,718.0,617.0,-18.77133105802048
bayshore,480.0,425,374.0,335.0,-11.458333333333334
British Columbia,680.0,516,190.0,,-24.11764705882353
chicoutimi,667.0,333,377.0,,-50.07496251874063
dix30,1276.0,815,771.0,1230.0,-36.12852664576803
eatonto,1111.0,1052,916.0,830.0,-5.3105310531053105
Fairview,482.0,473,481.0,421.0,-1.8672199170124482
gatineau,647.0,302,301.0,,-53.32302936630603
GCA,281.0,669,529.0,,138.07829181494662
gcapitale,892.0,475,564.0,533.0,-46.74887892376682
GEA,483.0,243,157.0,,-49.68944099378882
GMA,6014.0,5096,5169.0,4299.0,-15.2643831060858
GOA,1946.0,1156,1192.0,839.0,-40.59609455292909
GQA,1820.0,957,1160.0,533.0,-47.417582417582416
Grand_Total,19625.0,18107,16434.0,12515.0,-7.735031847133758
GTA,6225.0,4372,3884.0,2827.0,-29.76706827309237
guildford,469.0,241,190.0,,-48.61407249466951
GVA,680.0,516,190.0,,-24.11764705882353
GWA,132.0,325,,,146.21212121212122
laval,1259.0,1147,1126.0,971.0,-8.895949166004765
limeridge,773.0,483,524.0,496.0,-37.51617076326003
Manitoba,132.0,325,,,146.21212121212122
mapleview,520.0,416,412.0,,-20.0
marketmall,281.0,669,529.0,,138.07829181494662
massonville,449.0,359,350.0,305.0,-20.044543429844097
mtltrust,1025.0,950,1058.0,1009.0,-7.317073170731708
Ontario,7973.0,5585,5125.0,3971.0,-29.951084911576572
oshawa,416.0,393,350.0,262.0,-5.528846153846154
ottawa,819.0,429,517.0,504.0,-47.61904761904762
pacificcentre,211.0,275,,,30.33175355450237
polopark,132.0,325,,,146.21212121212122
Quebec,10076.0,10769,10433.0,8544.0,6.877729257641922
REGIONAL_ON,449.0,359,350.0,305.0,-20.044543429844097
REGIONAL_QC,1595.0,1014,1215.0,325.0,-36.426332288401255
rivieres,382.0,274,303.0,325.0,-28.272251308900522
scarborough,529.0,348,317.0,348.0,-34.215500945179585
sherbrooke,546.0,407,535.0,,-25.457875457875456
sherway,777.0,484,440.0,529.0,-37.70913770913771
squareone,736.0,478,435.0,,-35.05434782608695
stbruno,1093.0,947,967.0,,-13.357731015553522
stefoy,928.0,482,596.0,,-48.060344827586206
uppercanada,537.0,400,286.0,362.0,-25.512104283054004
vaughan,826.0,318,204.0,,-61.50121065375303
westedmonton,483.0,243,157.0,,-49.68944099378882
