store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
Alberta,12420,731,0.05885668276972625,104660.99,143.17508891928864,912,1.2476060191518468,4.76180534467051,59.5928807318554
anjou,9492,547,0.05762747576906869,110596.48,202.1873491773309,714,1.3053016453382085,6.82685512367491,101.947899831003
bayshore,6136,369,0.06013689700130378,70087.87,189.940027100271,425,1.151761517615176,5.07101877123601,78.0792847991979
British Columbia,13323,450,0.033776176536816034,35953.08,79.89573333333334,516,1.1466666666666667,2.89028583336227,24.9734866113291
chicoutimi,6611,277,0.041899863863258204,61521.34,222.09870036101083,333,1.2021660649819494,6.45111215506853,75.3953389570865
dix30,5090,637,0.12514734774066796,135375.84,212.52094191522764,815,1.2794348508634223,4.16738863914998,132.775650183899
eatonto,14639,927,0.06332399754081564,171643.47,185.16016181229773,1052,1.134843581445523,6.36838458668656,91.4797580344295
Fairview,6813,392,0.057537061500073386,70660.73,180.25696428571428,473,1.2066326530612246,6.20950263962212,78.5337371492081
gatineau,7769,284,0.036555541253700606,48880.63,172.11489436619718,302,1.0633802816901408,5.60212411129641,64.3561353462653
GCA,8142,533,0.06546303119626627,81423.54,152.76461538461538,669,1.2551594746716699,6.13368033515298,77.5265392916085
gcapitale,8239,437,0.053040417526398834,92758.68,212.26242562929062,475,1.0869565217391304,7.0800388852884,90.1737005832793
GEA,4278,198,0.04628330995792426,23237.45,117.36085858585858,243,1.2272727272727273,2.72096317280453,32.9142351274788
GMA,64150,4200,0.06547155105222136,856972.1184944533,204.04098059391745,5096,1.2133333333333334,7.18077413866439,121.504624768815
GOA,20544,1019,0.049600856697819315,200465.56,196.72773307163885,1156,1.1344455348380764,5.56691249952563,76.0770489936877
GQA,17118,874,0.05105736651477977,207265.02,237.1453318077803,957,1.094965675057208,7.47575770037422,102.28154130855
Grand_Total,223364,15197,0.0680369262728103,2840591.410485166,186.9179055395911,18107,1.1914851615450417,5.7556964663224,100.617146237655
GTA,63279,3759,0.059403593609254256,665626.37,177.07538441074755,4372,1.163075285980314,5.26642661652716,72.4825265519168
guildford,5121,203,0.0396406951767233,35015.09,172.48812807881774,241,1.187192118226601,6.69850554050066,56.3683668267554
GVA,13323,450,0.033776176536816034,35953.08,79.89573333333334,516,1.1466666666666667,2.89028583336227,24.9734866113291
GWA,7863,262,0.03332061554114206,,,325,1.2404580152671756,,
laval,15731,987,0.06274235585786028,183645.1,186.06393110435664,1147,1.1621073961499493,8.03429646317724,120.504669830924
limeridge,6287,422,0.06712263400668045,79543.71,188.4922037914692,483,1.1445497630331753,4.31887413183867,72.6913397100036
Manitoba,7863,262,0.03332061554114206,,,325,1.2404580152671756,,
mapleview,6284,360,0.05728835136855506,81121.76,225.3382222222222,416,1.1555555555555557,4.65529735736026,78.3822986617711
marketmall,8142,533,0.06546303119626627,108365.13,203.3116885553471,669,1.2551594746716699,6.13368033515298,103.178681604672
massonville,5014,303,0.06043079377742321,71065.5,234.53960396039605,359,1.1848184818481848,4.77517493154852,86.4806814724673
mtltrust,14708,825,0.05609192276312211,149663.53,181.41033939393938,950,1.1515151515151516,8.27297457125961,106.207117681845
Ontario,81068,4797,0.05917254650416934,877708.88,182.97037314988535,5585,1.1642693350010422,5.27763242619919,73.8780058667482
oshawa,4461,318,0.07128446536650974,63770.09,200.53487421383647,393,1.2358490566037736,5.15514477034801,90.2151608035462
ottawa,6639,366,0.055128784455490284,72082.45,196.94658469945355,429,1.1721311475409837,5.99478447614665,73.7152426241244
pacificcentre,8202,247,0.030114606193611313,47452.22,192.11425101214576,275,1.1133603238866396,,57.9769732019223
polopark,7863,262,0.03332061554114206,50687.0,193.4618320610687,325,1.2404580152671756,,61.773236919077
Quebec,108690,8957,0.08240868525163308,1325861.7884944533,148.0252080489509,10769,1.2022998771910238,7.08461082592095,107.636416331791
REGIONAL_ON,5014,303,0.06043079377742321,65540.3,216.30462046204622,359,1.1848184818481848,4.77517493154852,79.756982050502
REGIONAL_QC,19653,882,0.04487864448175851,207701.3,235.4890022675737,1014,1.1496598639455782,6.94549586193451,83.7837448988511
rivieres,5303,252,0.047520271544408826,48921.97,194.13480158730158,274,1.0873015873015872,6.63642029166147,73.1725838215132
scarborough,6043,302,0.04997517789177561,63989.19,211.88473509933775,348,1.152317880794702,5.5385288966725,70.0407070928196
sherbrooke,7739,353,0.04561312831115131,76622.38,217.06056657223797,407,1.1529745042492918,7.55895218462467,77.0500075418573
sherway,7119,419,0.05885658098047478,83313.05,198.83782816229117,484,1.1551312649164678,5.11583425396145,82.4242419245799
squareone,7958,415,0.05214878110077909,77958.29,187.85130120481926,478,1.1518072289156627,5.83455900999138,79.0772328447533
stbruno,12316,770,0.06252029879831114,173037.62,224.72418181818182,947,1.22987012987013,8.51662633324371,155.093322577754
stefoy,8879,437,0.049217254195292263,92106.52,210.7700686498856,482,1.102974828375286,7.88373841142571,92.3142270107742
uppercanada,5159,330,0.06396588486140725,69299.12,209.99733333333333,400,1.2121212121212122,4.48196405379362,87.0993171058695
vaughan,5329,266,0.049915556389566525,48944.8,184.003007518797,318,1.1954887218045114,4.80643123243502,63.9787368466918
westedmonton,4278,198,0.04628330995792426,38335.7,193.61464646464646,243,1.2272727272727273,2.72096317280453,54.2998583569405
