store,budget_upt,upt 2019-P08,upt 2019-P07,upt 2018-P08,budget_diff
Alberta,1.2146263910969792,1.2476060191518468,1.363817097415507,,2.71520759771095
anjou,1.2328190743338008,1.3053016453382085,1.372848948374761,1.1017857142857144,5.8794167379001845
bayshore,1.2090680100755669,1.151761517615176,1.2103559870550162,1.1551724137931034,-4.739724480578139
British Columbia,1.2078152753108349,1.1466666666666667,1.1111111111111112,,-5.062745098039212
chicoutimi,1.2216117216117215,1.2021660649819494,1.29553264604811,,-1.59180337629019
dix30,1.2352371732817038,1.2794348508634223,1.3455497382198953,1.226321036889332,3.578072174131286
eatonto,1.210239651416122,1.134843581445523,1.1308641975308642,1.1307901907356948,-6.229846285599433
Fairview,1.2295918367346939,1.2066326530612246,1.2396907216494846,1.1049868766404198,-1.867219917012449
gatineau,1.249034749034749,1.0633802816901408,1.144486692015209,,-14.8638352526286
GCA,1.195744680851064,1.2551594746716699,1.3634020618556701,,4.968852864000858
gcapitale,1.2354570637119113,1.0869565217391304,1.189873417721519,1.4289544235924934,-12.019886917527788
GEA,1.2258883248730963,1.2272727272727273,1.3652173913043477,,0.11293054771316245
GMA,1.2336410256410255,1.2133333333333334,1.2687776141384388,1.1525469168900804,-1.6461589624210171
GOA,1.2223618090452262,1.1344455348380764,1.1860696517412934,1.1767180925666199,-7.192328290739063
GQA,1.2264150943396226,1.094965675057208,1.2058212058212059,1.4289544235924934,-10.718183418412252
Grand_Total,1.2199291353266613,1.1914851615450417,1.2345252403846154,1.2084781769022788,-2.331608694139683
GTA,1.2028985507246377,1.163075285980314,1.1812652068126521,1.1838358458961473,-3.310608755853424
guildford,1.1903553299492386,1.187192118226601,1.1111111111111112,,-0.26573676305313737
GVA,1.2078152753108349,1.1466666666666667,1.1111111111111112,,-5.062745098039212
GWA,1.306930693069307,1.2404580152671756,,,-5.086167013647925
laval,1.2331047992164546,1.1621073961499493,1.2120559741657695,1.0646929824561404,-5.7576130683798095
limeridge,1.209702660406886,1.1445497630331753,1.2358490566037736,1.2127139364303179,-5.385860468538285
Manitoba,1.306930693069307,1.2404580152671756,,,-5.086167013647925
mapleview,1.2177985948477752,1.1555555555555557,1.1942028985507247,,-5.111111111111109
marketmall,1.195744680851064,1.2551594746716699,1.3634020618556701,,4.968852864000858
massonville,1.2135135135135136,1.1848184818481848,1.1824324324324325,1.1596958174904943,-2.364623990238668
mtltrust,1.2349397590361446,1.1515151515151516,1.213302752293578,1.2156626506024095,-6.755358462675539
Ontario,1.2045626227526818,1.1642693350010422,1.184697179842811,1.1804399524375744,-3.345055457520396
oshawa,1.2093023255813953,1.2358490566037736,1.236749116607774,1.278048780487805,2.1952104499274365
ottawa,1.2097488921713442,1.1721311475409837,1.1939953810623558,1.1914893617021276,-3.1095498308613094
pacificcentre,1.2485207100591715,1.1133603238866396,,,-10.825642304814167
polopark,1.306930693069307,1.2404580152671756,,,-5.086167013647925
Quebec,1.2325382262996942,1.2022998771910238,1.2551732435033687,1.2219679633867278,-2.453339658231248
REGIONAL_ON,1.2135135135135136,1.1848184818481848,1.1824324324324325,1.1596958174904943,-2.364623990238668
REGIONAL_QC,1.228813559322034,1.1496598639455782,1.2735849056603774,1.128472222222222,-6.441473140980533
rivieres,1.232258064516129,1.0873015873015872,1.1653846153846155,1.128472222222222,-11.763483753012547
scarborough,1.2077625570776256,1.152317880794702,1.1402877697841727,1.1958762886597938,-4.590693423803504
sherbrooke,1.2352941176470589,1.1529745042492918,1.3275434243176178,,-6.663968703628758
sherway,1.2102803738317758,1.1551312649164678,1.1859838274932615,1.1914414414414414,-4.5567217404926215
squareone,1.1794871794871795,1.1518072289156627,1.2083333333333333,,-2.3467784180199027
stbruno,1.2336343115124153,1.22987012987013,1.3014804845222072,,-0.3051294542602804
stefoy,1.2178477690288714,1.102974828375286,1.2213114754098362,,-9.432454825218974
uppercanada,1.2121896162528216,1.2121212121212122,1.1916666666666667,1.1868852459016392,-0.005643022402803128
vaughan,1.18,1.1954887218045114,1.152542372881356,,1.312603542755195
westedmonton,1.2258883248730963,1.2272727272727273,1.3652173913043477,,0.11293054771316245
