store,budget_dpp,dpp 2019-Q3,dpp 2019-Q2,dpp 2018-Q3,budget_diff
mapleview,180.03621730382295,180.2077856420627,173.72451552210725,,0.09529656910654768
ottawa,180.3089430894309,169.5469587628866,171.79038674033148,172.4187056504599,-5.968635910203573
laval,184.37076923076924,162.8021808898614,171.7645119760479,179.1946936026936,-11.698485845069785
polopark,221.79396984924622,150.7911683168317,,,-32.01295399540181
sherway,180.24604221635883,168.69508166969146,164.4490864197531,171.26238653001465,-6.408440598547036
squareone,183.28312816799422,162.7621594068582,195.80519662921347,,-11.196321759811319
Ontario,180.80626018910988,180.50954091507316,160.6579393006378,170.98765577110865,-0.16410896045655374
anjou,184.4396694214876,148.39691695108078,159.84067615658364,174.88673754896473,-19.541757249651507
Grand_Total,184.10278691091278,153.84318764264307,159.69499897403205,161.75033250238823,-16.43625269122749
rivieres,184.21926489226868,175.1922238163558,167.5474828375286,177.1333638211382,-4.900161273139317
uppercanada,179.7650429799427,174.32753977968176,178.1134930875576,179.13327234903616,-3.0247834117935937
limeridge,180.39061467283543,162.0033141919606,159.24580973129991,164.7831886227545,-10.193047190521991
westedmonton,146.17532467532467,151.40210116731518,,,3.5756900171762114
REGIONAL_QC,185.00117889773063,223.29847647498133,178.34575603936773,177.1333638211382,20.701110017478108
sherbrooke,184.4572953736655,176.47664893617022,180.43166666666667,,-4.326555055102822
REGIONAL_ON,180.31885714285715,216.56192170818505,180.75415841584157,183.16562052505967,20.099431162995025
marketmall,267.00963391136804,156.16053103448274,193.6376288659794,,-41.515019983766145
mtltrust,184.4526515151515,159.01866452131938,153.50486116119725,168.08534859876966,-13.788897467675003
gatineau,183.4971932638332,173.11956756756757,182.2148263888889,,-5.655468354409448
Quebec,184.51955090979482,139.7305001247284,100.70994041211665,157.6175037950203,-24.27333611220539
chicoutimi,185.8310810810811,175.41475967174676,184.84399172699068,,-5.605263311571382
pacificcentre,207.1627906976744,168.08662234042552,,,-18.86254197756738
bayshore,180.61217948717947,160.13765560165976,166.8027290448343,180.55197674418605,-11.336181172085958
stbruno,184.47870452528838,181.17338097364896,182.88583910700538,,-1.7917100839063684
GMA,184.44908153399936,204.34702889095212,167.56483365164672,176.14718246725698,10.787772534006894
vaughan,182.93672627235213,161.13239804241437,193.3508970099668,,-11.919054568340737
Alberta,201.42907488986785,9.563569246435845,3136.6335051546394,,-95.25214060995675
eatonto,180.54658671586716,166.18749792874897,159.34749498193497,163.85476656291686,-7.953121157430477
scarborough,180.18900675024108,180.58798041615668,166.54649056603773,172.24665188470067,0.2214195378015518
Fairview,184.53253253253254,154.66428816466552,161.03742962962963,175.9795153774464,-16.185896306712923
gcapitale,184.6090266449157,184.43778046811946,183.7543104514533,185.49122238586156,-0.09276154037995421
GTA,180.92394129979036,173.85762718680877,170.24593482327458,168.0639122485009,-3.90568216799607
guildford,196.1751025991792,156.84628884826324,,,-20.047810975927842
GQA,184.66223698781837,234.7290941616869,176.04682062126517,185.49122238586156,27.11266688336028
oshawa,180.09693251533741,168.90021205357144,188.85431418522862,162.98459787556905,-6.2170522870024225
dix30,184.47302431610942,170.1555321390938,174.42931269139163,182.8017001375516,-7.761293137625077
stefoy,184.71742808798646,183.33219047619048,168.77975878137352,,-0.7499225309352819
massonville,180.31885714285715,191.37408066429418,180.75415841584157,183.16562052505967,6.130930340068966
GCA,267.00963391136804,12.953689655172413,193.6376288659794,,-95.14860588907729
GOA,181.43521946060287,201.29905509065551,172.95556920311563,175.53623987034035,10.948169649259262
