store,budget_dpt,dpt 2019-Q3,dpt 2019-Q2,dpt 2018-Q3,budget_diff
ottawa,212.62094395280235,198.34438190954774,187.4547701582517,193.38339719970523,-6.7145605592004785
Quebec,217.21043636777944,173.93627591759352,117.0875927931384,182.9142352766815,-19.922689339343883
gcapitale,217.4862267777066,209.8424334251607,200.764,222.91776991150442,-3.5146103115571763
anjou,217.23426346528228,198.69137852246763,186.25984004739337,189.0638838475499,-8.535893301094337
REGIONAL_ON,212.92712550607288,253.9105702364395,211.7885150812065,219.9037106017192,19.247639131444405
GMA,217.20891840607212,253.4482981968508,193.61654836301935,198.20709085596542,16.684112262383795
GQA,217.12239583333334,268.3385207273813,195.72506049718237,222.91776991150442,23.588596053150734
sherbrooke,217.55508919202518,218.99412541254125,221.43886363636364,,0.6614583119431897
REGIONAL_QC,217.27552786431292,270.34056057866184,210.043315770987,191.95950440528634,24.42292200872603
Grand_Total,216.69595798267707,187.68511137356722,184.0170672009482,187.36929243186003,-13.38781160441812
vaughan,211.43879173290938,188.14125714285714,212.40372262773724,,-11.01857156821148
bayshore,212.64528301886793,189.18223039215687,187.85905598243687,206.53224909310762,-11.033892825466152
laval,217.00497962879132,193.08113321799308,186.02252594033723,188.92731274405395,-11.024561026996873
scarborough,212.57792946530148,206.06198324022347,193.36175246440305,200.47287741935483,-3.0652035427514104
marketmall,311.41123595505616,202.35278820375336,206.40494505494505,,-35.020717032523024
gatineau,217.30389363722696,190.92172876304025,192.6971970624235,,-12.14067747825533
Alberta,239.39476439790576,12.30049115913556,3343.4445054945054,,-94.86183785594804
limeridge,212.72876071706938,191.7301359223301,183.96097315436242,195.5153996447602,-9.87107936132227
guildford,229.07987220447285,183.71503211991435,,,-19.803066785399025
Fairview,217.1354534746761,188.04855057351406,182.68952100840337,187.32740079365078,-13.395740969843203
stbruno,217.24921630094045,227.50824453168818,217.65341731562071,,4.722239465543848
pacificcentre,253.30805687203792,185.33891495601173,,,-26.832601676922476
uppercanada,212.431151241535,206.1151953690304,206.90914346895076,212.67201274529984,-2.97317782048045
polopark,274.14285714285717,183.05177884615384,,,-33.227595001402975
mapleview,213.04285714285714,209.43066980023502,203.8290949227373,,-1.695521450972633
rivieres,217.26307922272048,197.907585089141,188.22172236503857,191.95950440528634,-8.908782018015032
oshawa,212.41534008683067,207.87718406593407,215.36461229946525,201.5137898686679,-2.136453995762037
massonville,212.92712550607288,224.3787899860918,211.7885150812065,219.9037106017192,5.3782083672060415
GTA,212.375036913082,202.45731881512702,192.83907215345155,194.39931778152305,-4.6699076511586215
eatonto,212.84665579119087,188.61148095909732,174.0178035949145,181.26383177570094,-11.386213582734886
sherway,212.64824902723734,196.72167195767196,186.55988795518206,198.0901100762066,-7.4896347101007255
GCA,311.41123595505616,16.78538873994638,206.40494505494505,,-94.6098962394636
squareone,211.28046744574291,189.24608836206897,215.1439814814815,,-10.428971191732334
mtltrust,217.26938092582265,189.511217641419,177.73235073068892,195.4760453100159,-12.775920456955921
Ontario,212.4483947590223,210.60805166651613,181.61390154968095,197.26919479135606,-0.8662541764994992
westedmonton,176.55686274509804,190.73696078431374,,,8.031462396161876
dix30,217.33795881826322,223.0353591160221,213.6922676115048,220.31968832891246,2.621447412471113
GOA,214.16604244694133,232.6050322320709,188.97731260229133,198.36238095238096,8.609670129987
chicoutimi,217.0718232044199,218.1177696793003,213.55333333333334,,0.4818435020446749
stefoy,216.7465254798147,210.5729808568824,190.8090219578481,,-2.8482784714845266
