district,retail_sales 2019-Q3,retail_sales 2019-Q2,retail_sales 2018-Q3,webcs_sales 2019-Q3,webcs_sales 2019-Q2,webcs_sales 2018-Q3,total_sales 2019-Q3,total_sales 2018-Q3
Texas,537.5,,,13475.2,15663.6,31965.8,14012.7,
Rest of US,7094.25,4349.25,2418.79,141166.79,126379.84,267465.54,148261.04,269884.33
New Brunswick,3930.1,2145.0,840.5,4346.75,3084.96,2696.97,8276.85,3537.47
Prince Edward Island,,,,650.0,393.0,,,
Yukon,713.75,,,252.5,61.65,998.1,966.25,
Manitoba,75372.5,711.2,963.25,9128.71,4756.61,5991.0,84501.21,6954.25
Saskatchewan,1777.6,651.75,195.0,4803.15,3754.0,5226.3,6580.75,5421.3
Nova Scotia,2249.8,2423.75,3037.0,8049.47,6240.95,4345.75,10299.27,7382.75
Rest of CAN,1462.5,1471.95,1437.95,1240.47,2035.0,1765.34,2702.97,3203.29
California,535.25,854.75,514.0,39304.2,41339.75,91515.44,39839.45,92029.44
Ontario,2184626.41,2315850.19,1778844.75,223318.79,163815.76,142232.56,2407945.2,1921077.31
New York,1713.75,2201.21,2165.0,21885.85,19318.0,36612.25,23599.6,38777.25
Canada,5793847.29,6219785.03,4444653.71,668807.7,569570.64,537806.86,6462004.99,4981462.47
British Columbia,150184.23,5783.59,2348.15,23644.06,13186.06,21946.75,173828.29,24294.9
Quebec,3072399.85,3869705.45,2653279.26,363398.79,349045.5,321332.81,3435798.64,2974612.07
United States,9880.75,7405.21,5097.79,215832.04,202701.19,427559.03,225712.79,400691.02
International,3220.5,4097.73,3052.23,11432.35,14038.5,25178.95,14652.85,28231.18
Alberta,301130.55,21042.15,3707.85,29975.01,23197.15,31271.28,331105.56,34979.13
