store,budget_worked,worked 2019-Q3,worked 2019-Q2,worked 2018-Q3,budget_diff
bayshore,1663.0,1785.86666666667,2009.43333333333,190.2,7.38825415915012
GWA,996.0,1090.48333333333,,,9.48627844712184
stbruno,2711.0,2415.05,3316.05,190.2,-10.9166359277019
marketmall,1732.0,2163.11666666667,306.183333333333,190.2,24.8912625096229
oshawa,1376.0,1488.18333333333,1786.35,190.2,8.15285852713181
REGIONAL_ON,1420.0,1658.98333333333,1951.56666666667,,16.8298122065728
sherway,2272.0,1983.53333333333,2031.7,190.2,-12.6965962441314
GQA,4824.0,4146.83333333333,4396.1,,-14.0374516307352
massonville,1420.0,1658.98333333333,1951.56666666667,190.2,16.8298122065728
GOA,5826.0,5224.36666666667,6043.68333333334,,-10.3266964183544
Alberta,3952.0,3499.11666666666,330.683333333333,,-11.4595985155196
GCA,1732.0,2163.11666666667,306.183333333333,,24.8912625096229
laval,3344.0,3285.05,3671.54999999999,190.2,-1.76285885167461
sherbrooke,1755.0,2057.41666666667,2637.51666666667,190.2,17.2317188983857
British Columbia,1810.0,2543.61666666667,188.766666666667,,40.5313075506446
chicoutimi,2000.0,1683.31666666667,2063.66666666667,190.2,-15.8341666666666
Fairview,1470.0,1831.08333333334,1925.9,190.2,24.5634920634922
limeridge,2270.0,2173.31666666667,2543.9,190.2,-4.25917767988255
gatineau,2032.0,1493.11666666667,1762.98333333333,190.2,-26.5198490813648
GVA,1810.0,2543.61666666667,188.766666666667,,40.5313075506446
Quebec,27864.0,25694.9333333334,30724.6000000002,,-7.78447698344326
ottawa,2131.0,1945.38333333333,2271.26666666667,190.2,-8.7103081495385
scarborough,1532.0,1873.8,2117.91666666667,190.2,22.3107049608355
Ontario,24677.0,24022.65,26809.4833333334,190.2,-2.65165943996416
guildford,1552.0,1477.16666666667,175.266666666667,190.2,-4.8217353951889
rivieres,1329.0,1376.33333333333,1545.16666666667,190.2,3.56157511913724
vaughan,2644.0,1612.73333333334,1256.75,190.2,-39.0040342914775
polopark,996.0,1090.48333333333,,,9.48627844712184
stefoy,2391.0,1956.83333333333,1886.6,190.2,-18.1583716715461
eatonto,3136.0,3671.53333333333,3916.78333333333,190.2,17.0769557823129
Grand_Total,59379.0,56873.0499999996,58101.5333333326,190.2,-4.22026305596327
squareone,2593.0,2064.45,2165.55,190.2,-20.3837254145777
mapleview,1702.0,2087.63333333333,2433.86666666667,190.2,22.6576576576577
GEA,2220.0,1336.0,24.5,,-39.8198198198198
uppercanada,1938.0,1677.23333333333,2324.4,190.2,-13.4554523563811
dix30,3364.0,2208.58333333333,3315.86666666666,190.2,-34.3465120887832
REGIONAL_QC,5084.0,5117.06666666667,6246.34999999999,,0.650406504065182
GTA,19463.0,18632.4166666667,20577.2166666667,190.2,-4.26749901522535
Manitoba,996.0,1090.48333333333,,,9.48627844712184
westedmonton,2220.0,1336.0,24.5,190.2,-39.8198198198198
pacificcentre,258.0,1066.45,13.5,190.2,313.352713178294
mtltrust,2817.0,2927.63333333333,3177.65,190.2,3.92734587622761
gcapitale,2433.0,2190.0,2509.5,190.2,-9.9876695437731
GMA,15924.0,14937.9166666666,18319.1666666666,,-6.19243489910426
anjou,2218.0,2270.51666666667,2912.15,190.2,2.36774872257284
