store,budget_orders,orders 2019-Q3,orders 2019-Q2,orders 2018-Q3,budget_diff
ottawa,1356.0,995,1327.0,1357.0,-26.622418879056045
Quebec,17554.0,22300,26331.0,20468.0,27.03657286088641
gcapitale,1561.0,1089,1480.0,1130.0,-30.237027546444587
anjou,1541.0,1313,1688.0,1653.0,-14.795587280986373
REGIONAL_ON,741.0,719,862.0,698.0,-2.968960863697706
GMA,10540.0,10009,13102.0,11139.0,-5.0379506641366225
GQA,3072.0,2186,2997.0,1130.0,-28.841145833333332
sherbrooke,953.0,909,1232.0,,-4.616998950682056
REGIONAL_QC,2889.0,2212,2847.0,908.0,-23.433714087919697
Grand_Total,32558.0,36122,38489.0,29687.0,10.94661834265004
vaughan,1258.0,525,274.0,,-58.267090620031794
bayshore,795.0,816,911.0,827.0,2.64150943396226
laval,2209.0,2312,3084.0,2817.0,4.66274332277048
scarborough,879.0,716,913.0,775.0,-18.543799772468713
marketmall,445.0,1119,91.0,,151.46067415730337
gatineau,1053.0,671,817.0,,-36.27730294396961
Alberta,955.0,1527,91.0,,59.89528795811518
limeridge,1283.0,1030,1192.0,1126.0,-19.719407638347622
guildford,626.0,467,,,-25.399361022364218
Fairview,849.0,959,1190.0,1008.0,12.95641931684335
stbruno,1914.0,1783,2183.0,,-6.844305120167189
GVA,837.0,808,,,-3.4647550776583036
pacificcentre,211.0,341,,,61.61137440758294
uppercanada,886.0,691,934.0,689.0,-22.00902934537246
polopark,161.0,416,,,158.38509316770185
mapleview,840.0,851,906.0,,1.30952380952381
rivieres,669.0,617,778.0,908.0,-7.772795216741405
Manitoba,161.0,416,,,158.38509316770185
oshawa,691.0,728,748.0,533.0,5.35455861070912
massonville,741.0,719,862.0,698.0,-2.968960863697706
GTA,10159.0,8541,8967.0,6337.0,-15.92676444531942
eatonto,1839.0,2127,2281.0,2033.0,15.66068515497553
sherway,1285.0,945,1071.0,1181.0,-26.459143968871594
GCA,445.0,1119,91.0,,151.46067415730337
squareone,1198.0,928,648.0,,-22.537562604340568
mtltrust,1793.0,2086,2395.0,2516.0,16.34132738427217
Ontario,13051.0,11071,12067.0,9219.0,-15.171251245115316
GEA,510.0,408,,,-20.0
westedmonton,510.0,408,,,-20.0
dix30,2234.0,1448,2399.0,3016.0,-35.183527305282006
GOA,3204.0,2482,3055.0,2184.0,-22.534332084893883
British Columbia,837.0,808,,,-3.4647550776583036
chicoutimi,1267.0,686,837.0,,-45.85635359116022
GWA,161.0,416,,,158.38509316770185
stefoy,1511.0,1097,1517.0,,-27.39907346128392
