store,budget_sales,sales 2019-Q3,sales 2019-Q2,sales 2018-Q3,budget_diff
bayshore,169053.0,154372.7,171139.6,170802.17,-8.683844711421862
REGIONAL_QC,627709.0,597993.32,597993.32,174299.23,-4.733989794634137
Fairview,184348.0,180338.56,217400.53,188826.02,-2.174930023650921
squareone,253114.0,175620.37,139413.3,,-30.616097884747585
limeridge,272931.0,197482.04,219281.48,220150.34,-27.643968622105955
Grand_Total,7055187.0,6779561.593035995,7082632.899497295,5562432.1844246285,-3.906705902536744
sherway,273253.0,185901.98,199805.64,233944.42,-31.96708544828419
pacificcentre,53448.0,63200.57,,,18.246838048196377
massonville,157779.0,161328.35,182561.7,153492.79,2.2495706019178723
mapleview,178956.0,178225.5,184669.16,,-0.4082008985448937
Quebec,3812912.0,3878778.952962335,3083033.405836127,3743888.5676431167,1.7274711024627678
eatonto,391425.0,401176.62,396934.61,368509.37,2.491312511975474
GOA,686188.0,577325.69,577325.69,433223.44,-15.864793613412068
GMA,2289382.0,2536764.0166522795,2536764.0166522795,2207828.785044599,10.80562425371911
scarborough,186856.0,147540.38,176539.28,155366.48,-21.040598107633684
Ontario,2772664.0,2331641.74,2191534.95,1818624.7067815117,-15.906083824076772
anjou,334758.0,260881.78,314406.61,312522.6,-22.068545038505427
dix30,485533.0,322955.2,512647.75,664484.18,-33.484397558971274
westedmonton,90044.0,77820.68,,,-13.574830083070498
rivieres,145349.0,122108.98,146436.5,174299.23,-15.989115852190245
gatineau,228821.0,128108.48,157433.61,,-44.01367007398797
REGIONAL_ON,157779.0,182561.7,182561.7,153492.79,15.70722339474835
polopark,44137.0,76149.54,,,72.52994086594015
GTA,2157518.0,1729187.96,1729187.96,1231908.4767815117,-19.85290690506406
oshawa,146779.0,151334.59,161092.73,107406.85,3.103706933553165
guildford,143404.0,85794.92,,,-40.17257538143985
ottawa,288314.0,197352.66,248752.48,262421.27,-31.549401000298285
gcapitale,339496.0,228518.41,297130.72,251897.08,-32.688924169946034
stbruno,415815.0,405647.2,475137.41,,-2.4452701321501147
uppercanada,188214.0,142425.6,193253.14,146531.0167815116,-24.327839586853262
GQA,667000.0,586588.0063100556,586588.0063100556,251897.08,-12.055771167907713
GCA,138578.0,18782.85,18782.85,,-86.446008745977
marketmall,138578.0,226432.77,18782.85,,63.3973430125994
sherbrooke,207330.0,199065.66,272812.68,,-3.986080162060483
chicoutimi,275030.0,149628.79,178744.14,,-45.59546594916918
Alberta,228622.0,18782.85,304253.45,,-91.78432084401327
laval,479364.0,446403.58,573693.47,532208.24,-6.875864687377442
mtltrust,389564.0,395320.4,425668.98,491817.73,1.477651939090881
stefoy,327504.0,230998.56,289457.2863100556,,-29.466950021984463
vaughan,265990.0,98774.16,58198.62,,-62.865461107560435
