store,budget_products,quantity 2019-Q3,quantity 2019-Q2,quantity 2018-Q3,budget_diff
mapleview,994.0,989,1063.0,,-0.5030181086519114
ottawa,1599.0,1164,1448.0,1522.0,-27.204502814258912
laval,2600.0,2742,3340.0,2970.0,5.46153846153846
polopark,199.0,505,,,153.76884422110552
sherway,1516.0,1102,1215.0,1366.0,-27.308707124010553
squareone,1381.0,1079,712.0,,-21.868211440984794
Ontario,15335.0,12917,13641.0,10636.0,-15.76785132050864
anjou,1815.0,1758,1967.0,1787.0,-3.1404958677685952
Grand_Total,38322.0,44068,44351.0,34389.0,14.99399822556234
British Columbia,989.0,923,,,-6.673407482305359
rivieres,789.0,697,874.0,984.0,-11.660329531051964
uppercanada,1047.0,817,1085.0,818.0,-21.967526265520537
limeridge,1513.0,1219,1377.0,1336.0,-19.431592861863848
GEA,616.0,514,,,-16.558441558441558
westedmonton,616.0,514,,,-16.558441558441558
REGIONAL_QC,3393.0,2678,3353.0,984.0,-21.0727969348659
sherbrooke,1124.0,1128,1512.0,,0.355871886121
REGIONAL_ON,875.0,843,1010.0,838.0,-3.657142857142857
marketmall,519.0,1450,97.0,,179.38342967244702
mtltrust,2112.0,2486,2773.0,2926.0,17.70833333333333
gatineau,1247.0,740,864.0,,-40.65757818765036
Quebec,20664.0,27759,30613.0,23753.0,34.33507549361208
chicoutimi,1480.0,853,967.0,,-42.36486486486486
pacificcentre,258.0,376,,,45.73643410852713
bayshore,936.0,964,1026.0,946.0,2.99145299145299
stbruno,2254.0,2239,2598.0,,-0.6654835847382431
GMA,12412.0,12414,15139.0,12534.0,0.016113438607798906
vaughan,1454.0,613,301.0,,-57.8404401650619
GWA,199.0,505,,,153.76884422110552
Alberta,1135.0,1964,97.0,,73.03964757709251
eatonto,2168.0,2414,2491.0,2249.0,11.34686346863469
scarborough,1037.0,817,1060.0,902.0,-21.215043394406944
Fairview,999.0,1166,1350.0,1073.0,16.71671671671672
gcapitale,1839.0,1239,1617.0,1358.0,-32.62642740619902
Manitoba,199.0,505,,,153.76884422110552
GTA,11925.0,9946,10157.0,7330.0,-16.59538784067086
guildford,731.0,547,,,-25.170998632010942
GQA,3612.0,2499,3332.0,1358.0,-30.813953488372093
oshawa,815.0,896,853.0,659.0,9.93865030674847
dix30,2632.0,1898,2939.0,3635.0,-27.887537993920972
stefoy,1773.0,1260,1715.0,,-28.934010152284262
massonville,875.0,843,1010.0,838.0,-3.657142857142857
GCA,519.0,1450,97.0,,179.38342967244702
GVA,989.0,923,,,-6.673407482305359
GOA,3782.0,2868,3338.0,2468.0,-24.167107350608145
