store,budget_sphw,sphw 2019-Q3,sphw 2019-Q2,sphw 2018-Q3,budget_diff
bayshore,101.65544197233915,86.4413356726893,95.8299985067941,898.013512092534,-14.9663471078997
stbruno,153.38067133898932,167.966377507712,196.740195855158,,9.50948124127484
marketmall,80.01039260969976,104.678944732523,8.68323483862019,,30.8316848826871
oshawa,106.67078488372093,101.690824383196,108.247906283948,564.704784437434,-4.6685327252002
REGIONAL_ON,111.11197183098592,110.044324335185,110.044324335185,,-0.960875302820408
sherway,120.26980633802818,93.7226397338083,100.732181628743,1229.99169295478,-22.0730101864527
GQA,138.2669983416252,141.454444671048,141.454444671048,,2.30528352220891
massonville,111.11197183098592,97.2453108831714,110.044324335185,807.00730809674,-12.4798981777655
GOA,117.78029522828699,110.506349732982,110.506349732982,,-6.17585945187726
Alberta,57.8496963562753,5.36788332293389,86.9515020457545,,-90.7209827172211
GCA,80.01039260969976,8.68323483862019,8.68323483862019,,-89.1473662915541
laval,143.35047846889952,135.88943242873,174.637667615409,2798.15057833859,-5.20475837950419
sherbrooke,118.13675213675214,96.7551508769086,132.599625744258,,-18.0990258095912
chicoutimi,137.515,88.889270190794,106.185688967217,,-35.360309645643
Fairview,125.40680272108844,98.4873581213306,118.72781868657,992.776130389064,-21.4656972474038
limeridge,120.23392070484581,90.8666661554153,100.897160254296,1157.46761303891,-24.4250993207833
gatineau,112.60875984251969,85.7993771417728,105.439590565595,,-23.8075463562862
Quebec,136.840080390468,150.955011349669,119.986044168349,,10.3149098706497
ottawa,135.2951665884561,101.446669465315,127.868104829382,1379.71225026288,-25.0182604276633
scarborough,121.9686684073107,78.738595367702,94.2145799978653,816.858464773922,-35.4435885905085
Ontario,112.35822830976213,97.0601386608054,91.2278599571653,9561.64409454002,-13.615460014892
guildford,92.39948453608247,58.0807311294144,,,-37.1417152151606
rivieres,109.36719337848007,88.7204989101477,106.396100750787,916.399737118822,-18.8783252367844
vaughan,100.60136157337368,61.2464304906783,36.0869455582654,,-39.1196803573994
polopark,44.31425702811245,69.8309984869095,,,57.5813365044335
stefoy,136.97365119196988,118.047130568095,147.921277392073,,-13.817636062975
eatonto,124.81664540816327,109.266778639261,108.111400323207,1937.48354363828,-12.4581675128769
Grand_Total,118.8161976456323,119.20516998888,124.534078961782,29245.1744712126,0.327373162039191
squareone,97.61434631700733,85.0688415800819,67.5304802731962,,-12.8521116109136
mapleview,105.14453584018801,85.3720321256925,88.4586182120104,,-18.8050701413036
uppercanada,97.11764705882354,84.9169863068148,115.22138044796,770.40492524454,-12.5627639481616
dix30,144.3320451843044,146.227310115836,232.116100064144,3493.60767613039,1.31312830017158
REGIONAL_QC,123.46754523996853,116.86252279952,116.86252279952,,-5.34960213844925
GTA,110.85228382058264,92.8053505315555,92.8053505315555,6476.91102408786,-16.2801637161004
westedmonton,40.56036036036036,58.2490119760479,,,43.6106865386104
pacificcentre,207.1627906976744,59.2625720849548,,,-71.3932352980124
mtltrust,138.2903798367057,135.030707397329,145.39695772467,2585.79248159832,-2.35712161845658
gcapitale,139.53801890669953,104.346305936073,135.676127853881,1324.38002103049,-25.2201609614058
GMA,143.76927907560915,169.820469163077,169.820469163077,,18.1201368296266
anjou,150.92786293958522,114.899742349392,138.473597052066,1643.1261829653,-23.8710864173668
