store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
Alberta,24668,1527,0.06190205934814334,18782.85,12.30049115913556,1964,1.286182056319581,0.0,5.36788332293389
anjou,19896,1313,0.06599316445516687,260881.78,198.69137852246763,1758,1.338918507235339,10.7305972943016,114.899742349392
bayshore,12458,816,0.06550008026970622,154372.7,189.18223039215687,964,1.1813725490196079,7.43056592504106,86.4413356726893
British Columbia,20925,808,0.03861409796893668,,,923,1.1423267326732673,,
chicoutimi,13941,686,0.049207373933003375,149628.79,218.1177696793003,853,1.2434402332361516,9.55613421915068,88.889270190794
dix30,11090,1448,0.13056807935076645,322955.2,223.0353591160221,1898,1.3107734806629834,8.78391125532958,146.227310115836
eatonto,31251,2127,0.0680618220216953,401176.62,188.61148095909732,2414,1.1349318288669488,10.9687142519928,109.266778639261
Fairview,14813,959,0.06474043070276109,180338.56,188.04855057351406,1166,1.21584984358707,8.51190096937149,98.4873581213306
gatineau,16623,671,0.040365758286711184,128108.48,190.92172876304025,740,1.1028315946348732,13.8890687264893,85.7993771417728
GCA,17202,1119,0.06505057551447506,18782.85,16.78538873994638,1450,1.2957998212689903,0.0,8.68323483862019
gcapitale,18036,1089,0.06037924151696607,228518.41,209.8424334251607,1239,1.137741046831956,10.4881278538813,104.346305936073
GEA,7466,408,0.05464773640503617,,,514,1.2598039215686274,,
GMA,135621,10009,0.07380125496788846,2536764.0166522795,253.4482981968508,12414,1.2402837446298332,10.8814370589384,169.820469163077
GOA,43954,2482,0.0564681257678482,577325.69,232.6050322320709,2868,1.1555197421434327,10.2722499058897,110.506349732982
GQA,37728,2186,0.05794105173876166,586588.0063100556,268.3385207273813,2499,1.1431838975297346,11.7873075841003,141.454444671048
Grand_Total,456862,36122,0.07906545083635759,6779561.593035995,187.68511137356722,44068,1.2199767454736725,8.29737459130473,119.20516998888
GTA,131039,8541,0.06517906882683781,1729187.96,202.45731881512702,9946,1.1645006439526988,7.86661240043114,92.8053505315555
guildford,10709,467,0.043608180035484174,85794.92,183.71503211991435,547,1.171306209850107,,58.0807311294144
GVA,20925,808,0.03861409796893668,,,923,1.1423267326732673,,
GWA,9987,416,0.04165415039551417,,,505,1.2139423076923077,,
laval,33153,2312,0.06973727867764606,446403.58,193.08113321799308,2742,1.1859861591695502,12.5778907474772,135.88943242873
limeridge,12748,1030,0.08079698776278632,197482.04,191.7301359223301,1219,1.183495145631068,6.40955835550886,90.8666661554153
Manitoba,9987,416,0.04165415039551417,,,505,1.2139423076923077,,
mapleview,12885,851,0.06604578967792006,178225.5,209.43066980023502,989,1.1621621621621623,6.7334621341551,85.3720321256925
marketmall,17202,1119,0.06505057551447506,226432.77,202.35278820375336,1450,1.2957998212689903,0.0,104.678944732523
massonville,10497,719,0.06849576069353148,161328.35,224.3787899860918,843,1.172461752433936,7.17969840966857,97.2453108831714
mtltrust,31379,2086,0.06647758054749991,395320.4,189.511217641419,2486,1.1917545541706616,11.6373862847123,135.030707397329
Ontario,168867,11071,0.06556047066626398,2331641.74,210.60805166651613,12917,1.1667419383976154,7.96802184604944,97.0601386608054
oshawa,9559,728,0.07615859399518778,151334.59,207.87718406593407,896,1.2307692307692308,6.49180768498505,101.690824383196
ottawa,14873,995,0.06689975122705574,197352.66,198.34438190954774,1164,1.1698492462311558,10.104949324469,101.446669465315
pacificcentre,10216,341,0.03337901331245106,63200.57,185.33891495601173,376,1.1026392961876832,,59.2625720849548
polopark,9987,416,0.04165415039551417,76149.54,183.05177884615384,505,1.2139423076923077,,69.8309984869095
Quebec,232415,22300,0.09594905664436461,3878778.952962335,173.93627591759352,27759,1.244798206278027,10.9159263564282,150.955011349669
REGIONAL_ON,10497,719,0.06849576069353148,182561.7,253.9105702364395,843,1.172461752433936,7.17969840966857,110.044324335185
REGIONAL_QC,42443,2212,0.05211695685978842,597993.32,270.34056057866184,2678,1.2106690777576854,9.44291000052112,116.86252279952
rivieres,11209,617,0.055045053082344544,122108.98,197.907585089141,697,1.1296596434359807,9.48970695083555,88.7204989101477
scarborough,12925,716,0.05539651837524178,147540.38,206.06198324022347,817,1.1410614525139664,8.66527911196499,78.738595367702
sherbrooke,17293,909,0.05256462152315966,199065.66,218.99412541254125,1128,1.2409240924092408,9.3189679614403,96.7551508769086
sherway,14400,945,0.065625,185901.98,196.72167195767196,1102,1.1661375661375661,8.68046919638355,93.7226397338083
squareone,16316,928,0.05687668546212307,175620.37,189.24608836206897,1079,1.1627155172413792,7.17382353653515,85.0688415800819
stbruno,25290,1783,0.0705021747726374,405647.2,227.50824453168818,2239,1.2557487380818846,11.5140473282127,167.966377507712
stefoy,19692,1097,0.055707901685963845,230998.56,210.5729808568824,1260,1.1485870556061988,13.2412912017716,118.047130568095
uppercanada,10402,691,0.06642953278215728,142425.6,206.1151953690304,817,1.182344428364689,7.31144543593616,84.9169863068148
vaughan,10553,525,0.04974888657253861,98774.16,188.14125714285714,613,1.1676190476190476,5.03865073787772,61.2464304906783
westedmonton,7466,408,0.05464773640503617,77820.68,190.73696078431374,514,1.2598039215686274,,58.2490119760479
