store,visits 2019-Q3,visits 2019-Q2,visits 2018-Q3
squareone,16316,14810.0,
mtltrust,31379,34070.0,45377.0
limeridge,12748,13930.0,15167.0
mapleview,12885,14057.0,
massonville,10497,11911.0,8659.0
guildford,10709,,
eatonto,31251,40272.0,29106.0
REGIONAL_ON,10497,11911.0,8659.0
marketmall,17202,0.0,
GQA,37728,48880.0,15105.0
GCA,17202,0.0,
Alberta,24668,0.0,
stefoy,19692,25911.0,
bayshore,12458,13270.0,14739.0
GMA,135621,162546.0,145041.0
gcapitale,18036,22969.0,15105.0
westedmonton,7466,,
uppercanada,10402,12263.0,14094.0
oshawa,9559,9661.0,10960.0
ottawa,14873,19658.0,14628.0
GVA,20925,,
GEA,7466,,
Quebec,232415,280484.0,175322.0
dix30,11090,19400.0,16010.0
Manitoba,9987,,
stbruno,25290,27807.0,
Grand_Total,456862,471897.0,315935.0
British Columbia,20925,,
laval,33153,41319.0,41040.0
vaughan,10553,8126.0,
GOA,43954,53666.0,29367.0
rivieres,11209,13061.0,15176.0
Ontario,168867,191413.0,140613.0
Fairview,14813,15586.0,17278.0
GWA,9987,,
pacificcentre,10216,,
gatineau,16623,20738.0,
GTA,131039,146574.0,102587.0
chicoutimi,13941,16086.0,
sherbrooke,17293,19173.0,
scarborough,12925,16237.0,14875.0
polopark,9987,,
REGIONAL_QC,42443,48320.0,15176.0
anjou,19896,24364.0,25336.0
sherway,14400,17218.0,18385.0
