store,budget_upt,upt 2019-Q3,upt 2019-Q2,upt 2018-Q3,budget_diff
Alberta,1.1884816753926701,1.286182056319581,1.065934065934066,,8.220604738784116
anjou,1.1778066190785204,1.338918507235339,1.1652843601895735,1.0810647307924985,13.678976289237317
bayshore,1.1773584905660377,1.1813725490196079,1.1262349066959385,1.143893591293833,0.3409376571141271
British Columbia,1.1816009557945042,1.1423267326732673,,,-3.323814434021768
chicoutimi,1.1681136543014996,1.2434402332361516,1.1553166069295102,,6.4485659128516275
dix30,1.1781557743957027,1.3107734806629834,1.2250937890787827,1.205238726790451,11.256381299434075
eatonto,1.1789015769439912,1.1349318288669488,1.0920648838228848,1.1062469257255287,-3.729721711885662
Fairview,1.176678445229682,1.21584984358707,1.134453781512605,1.064484126984127,3.3289807012434762
gatineau,1.1842355175688508,1.1028315946348732,1.0575275397796817,,-6.873963981513906
GCA,1.1662921348314608,1.2957998212689903,1.065934065934066,,11.10422359628143
gcapitale,1.1780909673286355,1.137741046831956,1.0925675675675677,1.2017699115044247,-3.425025877940014
GEA,1.207843137254902,1.2598039215686274,,,4.301948051948052
GMA,1.1776091081593927,1.2402837446298332,1.1554724469546633,1.125235658497172,5.3221935900615644
GOA,1.1803995006242196,1.1555197421434327,1.0926350245499181,1.13003663003663,-2.107740512227434
GQA,1.17578125,1.1431838975297346,1.1117784451117785,1.2017699115044247,-2.772399412753461
Grand_Total,1.1770379015910069,1.2199767454736725,1.1523032554755903,1.1583858254454813,3.6480425842383815
GTA,1.1738360074810512,1.1645006439526988,1.1327088212334113,1.1566987533533217,-0.7952868602476638
guildford,1.1677316293929711,1.171306209850107,,,0.30611318278619337
GVA,1.1816009557945042,1.1423267326732673,,,-3.323814434021768
GWA,1.236024844720497,1.2139423076923077,,,-1.7865771163509856
laval,1.1770031688546854,1.1859861591695502,1.0830090791180285,1.0543130990415335,0.7632086771360131
limeridge,1.1792673421667965,1.183495145631068,1.1552013422818792,1.1865008880994672,0.3585110274064908
Manitoba,1.236024844720497,1.2139423076923077,,,-1.7865771163509856
mapleview,1.1833333333333333,1.1621621621621623,1.1732891832229582,,-1.7891130567186846
marketmall,1.1662921348314608,1.2957998212689903,1.065934065934066,,11.10422359628143
massonville,1.1808367071524966,1.172461752433936,1.17169373549884,1.2005730659025788,-0.7092390224518177
mtltrust,1.177914110429448,1.1917545541706616,1.157828810020877,1.1629570747217806,1.1749960051134547
Ontario,1.1750057466860777,1.1667419383976154,1.1304383856799536,1.1537043063238963,-0.7032993933662962
oshawa,1.1794500723589,1.2307692307692308,1.1403743315508021,1.2363977485928705,4.351109013685708
ottawa,1.1792035398230087,1.1698492462311558,1.0911831198191408,1.1215917464996314,-0.7932721770201794
pacificcentre,1.2227488151658767,1.1026392961876832,,,-9.822910273022801
polopark,1.236024844720497,1.2139423076923077,,,-1.7865771163509856
Quebec,1.1771675971288595,1.244798206278027,1.1626220044814097,1.1604944303302716,5.745197991698048
REGIONAL_ON,1.1808367071524966,1.172461752433936,1.17169373549884,1.2005730659025788,-0.7092390224518177
REGIONAL_QC,1.1744548286604362,1.2106690777576854,1.1777309448542326,1.0837004405286343,3.0834944191557097
rivieres,1.179372197309417,1.1296596434359807,1.1233933161953729,1.0837004405286343,-4.215170917785672
scarborough,1.1797497155858931,1.1410614525139664,1.1610076670317635,1.1638709677419354,-3.27936193251914
sherbrooke,1.1794333683105982,1.2409240924092408,1.2272727272727273,,5.213581856406281
sherway,1.1797665369649806,1.1661375661375661,1.134453781512605,1.1566469093988145,-1.155226089263028
squareone,1.152754590984975,1.1627155172413792,1.0987654320987654,,0.8640977302804019
stbruno,1.1776384535005224,1.2557487380818846,1.190105359596885,,6.632789915205273
stefoy,1.173395102581072,1.1485870556061988,1.130520764667106,,-2.114210884322262
uppercanada,1.1817155756207676,1.182344428364689,1.1616702355460384,1.1872278664731495,0.05321523697367339
vaughan,1.1558028616852145,1.1676190476190476,1.0985401459854014,,1.0223357568612046
westedmonton,1.207843137254902,1.2598039215686274,,,4.301948051948052
