store,budget_dpp,dpp 2019-W36,dpp 2019-W35,dpp 2018-W36,budget_diff
guildford,176.13636363636363,125.39931034482758,146.7373563218391,,-28.805552836484985
squareone,187.49557522123894,175.21940170940172,160.67825174825174,,-6.54744705167134
bayshore,186.98947368421054,167.75927272727273,145.64478632478634,180.19395604395604,-10.284108820699679
mapleview,187.14414414414415,172.15896907216495,177.07508333333334,,-8.007290391323789
gcapitale,193.87,167.8473949579832,190.96945454545454,196.22865284974094,-13.422708537688557
ottawa,186.85185185185185,180.81323308270677,157.61137254901962,179.940625,-3.23176822134623
westedmonton,186.74698795180723,149.5981707317073,140.77534246575343,,-19.892592446892213
Grand_Total,196.63806970509384,147.981715243816,156.18208038737066,161.65636715672724,-24.74411721710335
GMA,193.06582840236686,150.0648229088169,156.0627115987461,168.69307790554416,-22.272716953272514
dix30,193.10104529616726,163.33142857142857,165.33885321100917,171.82032608695653,-15.416600505232768
gatineau,193.7244094488189,190.8517391304348,143.8107792207792,,-1.4828644085468545
Manitoba,238.80597014925374,177.58029702970296,126.006,,-25.63825061881188
Fairview,192.6697247706422,161.16007751937985,153.12056,215.22692307692307,-16.354228610007127
sherway,186.9346405228758,162.2696992481203,159.34411764705882,155.0659813084112,-13.194419828109485
REGIONAL_ON,185.25842696629215,184.20989130434782,172.93173469387756,166.14836363636363,-0.5659854070417484
stbruno,193.41224489795917,185.51600896860987,175.8221568627451,,-4.082593598722371
eatonto,186.8904109589041,161.94338345864662,161.52373076923078,166.65420118343195,-13.348479128628579
Alberta,312.03007518796994,148.8425291828794,156.12253846153845,,-52.29865932211336
polopark,238.80597014925374,143.47217821782178,155.96182608695653,,-39.92102537128713
Quebec,193.05747126436782,85.06576178086152,122.31345902270104,156.12090449133808,-55.93759660076832
marketmall,520.0,161.85605714285714,149.6039037433155,,-68.87383516483517
GQA,193.1768707482993,183.39690987124465,182.61316239316238,196.22865284974094,-5.062697640338905
vaughan,186.54310344827587,168.14983606557377,152.89939130434783,,-9.860062925243508
oshawa,187.9268292682927,155.59510204081633,176.3121100917431,165.10657142857144,-17.204423313777166
limeridge,186.4025974025974,159.93196721311475,158.038,166.76567307692306,-14.20078397958729
rivieres,192.15116279069767,170.77394736842106,164.18444444444444,200.01973333333333,-11.125207420973007
British Columbia,233.33333333333334,207.32843137254903,113.96357894736842,,-11.144957983193278
GOA,189.15885416666666,131.9111343283582,149.29131756756757,180.05418719211823,-30.264361713603876
laval,192.90106007067138,159.0127564102564,146.49514925373134,171.52893238434163,-17.567712509200117
stefoy,192.60165975103735,178.9430701754386,175.20032258064515,,-7.091626101900808
chicoutimi,192.99248120300751,176.5324705882353,150.33295081967213,,-8.528835171282164
GVA,233.33333333333334,207.32843137254903,166.95394736842104,,-11.144957983193278
anjou,193.56345177664974,147.32078534031413,134.07816326530613,159.32737931034484,-23.89018485250738
GCA,520.0,159.86245714285715,149.6039037433155,,-69.25721978021978
REGIONAL_QC,192.62280701754386,146.45936170212767,173.53588235294117,200.01973333333333,-23.96572141699279
GEA,186.74698795180723,125.32439024390244,140.77534246575343,,-32.89081038552321
uppercanada,185.72641509433961,185.34787878787878,160.80582677165356,211.4659493670886,-0.2038139304355589
sherbrooke,192.5528455284553,164.86289256198347,193.42809523809524,,-14.380443400084586
massonville,185.25842696629215,197.47826086956522,172.93173469387756,166.14836363636363,6.596101512562496
mtltrust,192.61904761904762,146.13053435114503,156.65942307692308,152.08198237885463,-24.134951263929647
pacificcentre,340.4255319148936,162.7778787878788,184.03009708737864,,-52.183998106060606
GTA,186.71379310344827,188.210376146789,164.778562248996,175.35857397504455,0.8015385572031827
Ontario,186.66002656042497,179.09713684210527,155.42983354673495,175.9039316239316,-4.05169219017092
GWA,238.80597014925374,177.58029702970296,155.96182608695653,,-25.63825061881188
scarborough,185.43396226415095,174.08474226804123,181.18696,205.8413432835821,-6.120356733758795
