district,retail_orders 2019-W36,retail_orders 2019-W35,retail_orders 2018-W36,webcs_orders 2019-W36,webcs_orders 2019-W35,webcs_orders 2018-W36,total_orders 2019-W36,total_orders 2018-W36
Manitoba,89.0,90.0,2.0,12.0,4.0,2.0,101.0,4.0
Ontario,1272.0,1261.0,728.0,286.0,131.0,106.0,1558.0,834.0
Quebec,1575.0,1413.0,1187.0,362.0,254.0,214.0,1937.0,1401.0
United States,12.0,11.0,4.0,340.0,149.0,342.0,265.0,256.0
International,10.0,4.0,2.0,13.0,8.0,20.0,23.0,22.0
New Brunswick,3.0,5.0,1.0,6.0,3.0,2.0,9.0,3.0
Nova Scotia,,2.0,2.0,14.0,7.0,2.0,,4.0
Saskatchewan,1.0,4.0,,6.0,2.0,1.0,7.0,
Rest of US,11.0,8.0,3.0,216.0,100.0,229.0,227.0,232.0
California,,1.0,,66.0,24.0,61.0,,
British Columbia,128.0,149.0,1.0,29.0,19.0,17.0,157.0,18.0
New York,1.0,1.0,1.0,37.0,17.0,23.0,38.0,24.0
Rest of CAN,,1.0,1.0,3.0,,1.0,,2.0
Texas,,1.0,,21.0,8.0,29.0,,
Canada,3272.0,3112.0,1924.0,765.0,435.0,369.0,4020.0,2292.0
Alberta,204.0,187.0,2.0,47.0,15.0,24.0,251.0,26.0
