district,retail_sales 2019-W36,retail_sales 2019-W35,retail_sales 2018-W36,webcs_sales 2019-W36,webcs_sales 2019-W35,webcs_sales 2018-W36,total_sales 2019-W36,total_sales 2018-W36
British Columbia,21619.58,30713.73,-229.7,5295.65,3225.43,1863.85,26915.23,1634.15
Manitoba,14655.69,16400.47,496.05,1936.25,986.75,265.0,16591.94,761.05
Canada,632920.96,634679.53,364670.07,107013.24,68250.31,54832.95,738023.1,419154.02
Saskatchewan,241.0,792.0,,1133.05,209.5,349.0,1374.05,
Rest of US,2428.5,1668.5,848.0,25876.45,15148.7,27657.3,28304.95,28505.3
Alberta,39876.61,37512.08,253.75,7945.07,2673.74,3724.35,47821.68,3978.1
Prince Edward Island,,,,-122.5,,,,
Quebec,313574.63,289801.39,221759.22,46852.92,38266.71,31464.11,360427.55,253223.33
New Brunswick,964.15,1060.1,220.0,840.0,609.63,296.5,1804.15,516.5
Texas,,217.5,,1938.2,1421.5,3045.3,,
United States,2603.5,2103.5,993.0,38112.1,22691.55,39600.69,38777.4,31208.9
Nova Scotia,,482.5,402.0,1495.7,115.62,521.25,,923.25
New York,145.0,108.75,145.0,3878.45,2189.9,2558.6,4023.45,2703.6
Rest of CAN,,412.5,362.5,547.9,,145.0,,507.5
International,1690.25,582.25,114.98,1895.75,1198.5,2326.7,3586.0,2441.68
Ontario,241989.3,257321.01,141406.25,41099.2,22080.43,16203.89,283088.5,157610.14
Yukon,,183.75,,-10.0,82.5,,,
California,30.0,108.75,,6419.0,3931.45,6339.49,6449.0,
