store,budget_orders,orders 2019-W36,orders 2019-W35,orders 2018-W36,budget_diff
guildford,79.0,68,70,,-13.924050632911392
bayshore,85.0,94,83,82.0,10.58823529411765
sherbrooke,110.0,99,81,,-10.0
rivieres,77.0,68,58,72.0,-11.688311688311689
Alberta,119.0,209,191,,75.63025210084034
polopark,60.0,87,96,,45.0
gcapitale,180.0,105,100,188.0,-41.666666666666664
GVA,121.0,129,155,,6.61157024793388
limeridge,137.0,108,96,97.0,-21.16788321167883
Grand_Total,3670.0,4412,3718,2661.0,20.21798365122616
sherway,136.0,113,108,91.0,-16.91176470588235
vaughan,103.0,56,88,,-45.63106796116505
stbruno,220.0,187,189,,-15.0
oshawa,73.0,83,83,29.0,13.6986301369863
GTA,1032.0,973,1013,503.0,-5.717054263565892
marketmall,45.0,140,136,,211.11111111111111
squareone,101.0,106,115,,4.95049504950495
uppercanada,94.0,93,101,69.0,-1.0638297872340425
massonville,79.0,85,78,48.0,7.59493670886076
REGIONAL_QC,306.0,239,186,72.0,-21.895424836601308
dix30,258.0,155,165,236.0,-39.92248062015504
chicoutimi,119.0,72,47,,-39.49579831932773
laval,254.0,253,203,275.0,-0.3937007874015748
GQA,396.0,213,204,188.0,-46.21212121212121
Manitoba,60.0,87,96,,45.0
GOA,343.0,299,227,197.0,-12.82798833819242
ottawa,144.0,122,77,115.0,-15.277777777777779
British Columbia,121.0,129,155,,6.61157024793388
gatineau,114.0,83,67,,-27.19298245614035
mtltrust,207.0,210,179,201.0,1.44927536231884
GEA,74.0,69,55,,-6.756756756756757
Ontario,1340.0,1274,1251,748.0,-4.925373134328358
stefoy,216.0,108,104,,-50.0
anjou,177.0,142,131,141.0,-19.774011299435028
scarborough,94.0,88,104,64.0,-6.382978723404255
GMA,1214.0,1060,975,922.0,-12.685337726523889
Quebec,2030.0,2713,2025,1913.0,33.64532019704433
REGIONAL_ON,79.0,85,78,48.0,7.59493670886076
GWA,60.0,87,96,,45.0
eatonto,195.0,240,215,153.0,23.07692307692308
mapleview,99.0,86,103,,-13.131313131313131
westedmonton,74.0,69,55,,-6.756756756756757
pacificcentre,42.0,61,85,,45.23809523809524
Fairview,98.0,108,102,64.0,10.20408163265306
GCA,45.0,140,136,,211.11111111111111
