store,budget_products,quantity 2019-W36,quantity 2019-W35,quantity 2018-W36,budget_diff
guildford,88.0,87,87,,-1.1363636363636365
squareone,113.0,117,143,,3.53982300884956
bayshore,95.0,110,117,91.0,15.78947368421053
mapleview,111.0,97,120,,-12.612612612612613
gcapitale,200.0,119,110,193.0,-40.5
ottawa,162.0,133,102,112.0,-17.901234567901234
westedmonton,83.0,82,73,,-1.2048192771084338
Grand_Total,4103.0,5395,4726,2927.0,31.48915427735803
GMA,1352.0,1327,1276,1000.0,-1.849112426035503
dix30,287.0,203,218,276.0,-29.26829268292683
gatineau,127.0,92,77,,-27.559055118110237
Manitoba,67.0,101,115,,50.74626865671642
Fairview,109.0,129,125,65.0,18.34862385321101
sherway,153.0,133,136,107.0,-13.071895424836601
REGIONAL_ON,89.0,92,98,55.0,3.37078651685393
stbruno,245.0,223,255,,-8.979591836734693
eatonto,219.0,266,260,169.0,21.46118721461187
Alberta,133.0,257,260,,93.23308270676692
polopark,67.0,101,115,,50.74626865671642
Quebec,2262.0,3459,2599,2108.0,52.91777188328912
marketmall,50.0,175,187,,250.0
GQA,441.0,233,234,193.0,-47.16553287981859
vaughan,116.0,61,115,,-47.41379310344828
oshawa,82.0,98,109,35.0,19.51219512195122
limeridge,154.0,122,110,104.0,-20.77922077922078
rivieres,86.0,76,72,75.0,-11.627906976744185
British Columbia,135.0,153,190,,13.33333333333333
GOA,384.0,335,296,203.0,-12.760416666666666
laval,283.0,312,268,281.0,10.24734982332155
stefoy,241.0,114,124,,-52.697095435684645
chicoutimi,133.0,85,61,,-36.090225563909776
GVA,135.0,153,190,,13.33333333333333
anjou,197.0,191,196,145.0,-3.045685279187817
GCA,50.0,175,187,,250.0
REGIONAL_QC,342.0,282,238,75.0,-17.54385964912281
GEA,83.0,82,73,,-1.2048192771084338
uppercanada,106.0,99,127,79.0,-6.60377358490566
sherbrooke,123.0,121,105,,-1.6260162601626016
massonville,89.0,92,98,55.0,3.37078651685393
mtltrust,231.0,262,208,227.0,13.41991341991342
pacificcentre,47.0,66,103,,40.42553191489362
GTA,1160.0,1090,1245,561.0,-6.0344827586206895
Ontario,1506.0,1425,1562,819.0,-5.378486055776892
GWA,67.0,101,115,,50.74626865671642
scarborough,106.0,97,125,67.0,-8.49056603773585
