store,budget_sphw,sphw 2019-W36,sphw 2019-W35,sphw 2018-W36,budget_diff
stbruno,162.28082191780823,170.891855421687,185.203373493976,,5.30625455436737
GEA,62.5,91.4966612257011,91.4966612257011,,46.3946579611218
Quebec,146.14993306559572,133.404979673261,144.127618673397,,-8.72046474808481
REGIONAL_ON,113.71034482758621,126.835299987527,126.835299987527,,11.5424460103793
eatonto,127.50467289719626,142.662493790363,139.083192581553,,11.8880512758836
Ontario,113.21385420861861,134.627536002532,128.069525768845,,18.9143651575138
bayshore,104.49411764705883,110.965243535779,102.468069753458,,6.19281356159864
GOA,121.46655518394648,104.193570951389,104.193570951389,,-14.2203623099375
chicoutimi,132.99481865284974,100.112932280663,61.1829867674858,,-24.724186028643
sherway,123.28017241379311,137.24559618442,137.811128775835,,11.3281994153539
pacificcentre,320.0,68.6621644652748,121.144652748189,,-78.5430736046016
anjou,159.5481171548117,161.312459392318,150.655379323524,,1.10583707847476
scarborough,125.19745222929936,116.913593353335,156.808469882299,,-6.61663534557603
ottawa,138.21917808219177,166.346506801937,111.203781415725,,20.3498017496669
westedmonton,62.5,109.21843003413,91.4966612257011,,74.7494880546075
GVA,140.625,111.205083260298,111.205083260298,,-20.9208296815659
uppercanada,99.93401015228426,124.953626149132,139.069390534559,,25.0361373057295
squareone,87.18930041152264,119.490985039829,133.924557994949,,37.0477621403618
Grand_Total,127.09609325771896,164.278643923698,151.882075787216,,29.2554631011217
marketmall,149.42528735632183,132.834813193685,131.198671252149,,-11.1028557857649
GMA,152.64619883040936,154.807027636335,154.807027636335,,1.41557983263423
REGIONAL_QC,126.9306358381503,92.6147325933401,92.6147325933401,,-27.0351621720122
mtltrust,147.33443708609272,164.967468581688,140.402843806104,,11.968031265692
Fairview,134.62179487179486,123.258794466403,113.478675889328,,-8.44068407809677
rivieres,118.03571428571429,115.281894892672,105.000266469282,,-2.33303912269839
limeridge,123.20171673819742,125.45027861123,111.771410201457,,1.82510595839422
GTA,111.1277578245254,141.363667267695,141.363667267695,,27.2082421485666
British Columbia,140.625,111.205083260298,75.9091323400526,,-20.9208296815659
laval,152.0640668523677,182.788996008597,144.651028553884,,20.2052528202199
dix30,153.0939226519337,167.738347386172,182.346728499157,,9.56564733633032
sherbrooke,127.33333333333333,108.720555908802,110.690980107185,,-14.6173644695273
Manitoba,105.96026490066225,121.460112866817,98.1310835214447,,14.6279815180587
GWA,105.96026490066225,121.460112866817,121.460112866817,,14.6279815180587
GQA,154.89272727272729,118.671085396899,118.671085396899,,-23.3849855403806
gcapitale,148.55938697318007,111.898263305322,117.684257703081,,-24.677756427789
mapleview,114.76795580110497,112.390936623668,143.01072349972,,-2.07115231847159
polopark,105.96026490066225,98.1310835214447,121.460112866817,,-7.3887899266366
vaughan,88.32244897959184,83.5271986970684,143.187540716612,,-5.42925421331044
Alberta,98.34123222748815,117.501244048533,124.687021962832,,19.4831927433278
gatineau,117.7177033492823,155.040706401766,97.7786313465784,,31.7055141160391
oshawa,110.07142857142857,149.12782396088,187.951295843521,,35.4827732285738
massonville,113.71034482758621,135.971061494325,126.835299987526,,19.5766855693659
stefoy,160.61245674740485,112.342413951354,119.641156493805,,-30.0537354160302
GCA,149.42528735632183,131.198671252149,131.198671252149,,-12.1978123158692
guildford,89.08045977011494,84.7139122557267,99.1288986670118,,-4.90180172582938
