store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
Alberta,2833,209,0.0737733851041299,38252.53,183.02645933014355,257,1.2296650717703348,8.27215481492858,117.501244048533
anjou,2026,142,0.0700888450148075,28138.27,198.1568309859155,191,1.3450704225352113,12.2625644945538,161.312459392318
bayshore,1225,94,0.07673469387755102,18453.52,196.31404255319148,110,1.1702127659574468,9.17618761274805,110.965243535779
British Columbia,2452,129,0.05261011419249592,31721.25,245.90116279069767,153,1.186046511627907,11.1551270815074,111.205083260298
chicoutimi,1304,72,0.05521472392638037,15005.26,208.4063888888889,85,1.1805555555555556,8.77349049260536,100.112932280663
dix30,1282,155,0.12090483619344773,33156.28,213.91148387096774,203,1.3096774193548386,6.22259696458685,167.738347386172
eatonto,3241,240,0.07405121875964209,43076.94,179.48725,266,1.1083333333333334,10.3030303030303,142.662493790363
Fairview,1577,108,0.06848446417247939,20789.65,192.49675925925925,129,1.1944444444444444,9.6699604743083,123.258794466403
gatineau,1567,83,0.052967453733248245,17558.36,211.54650602409637,92,1.108433734939759,12.7152317880795,155.040706401766
GCA,1925,140,0.07272727272727272,27975.93,199.82807142857143,175,1.25,8.34766296701579,131.198671252149
gcapitale,1647,105,0.06375227686703097,19973.84,190.22704761904762,119,1.1333333333333333,9.79271708683473,111.898263305322
GEA,908,69,0.07599118942731277,10276.6,148.93623188405797,82,1.1884057971014492,8.12880249295148,91.4966612257011
GMA,13808,1060,0.07676709154113558,199136.02,187.86416981132075,1327,1.2518867924528303,10.9254868426167,154.807027636335
GOA,4257,299,0.07023725628376791,44190.23,147.79341137123745,335,1.120401337792642,10.4051558140449,104.193570951389
GQA,3684,213,0.05781758957654723,42731.48,200.61727699530516,233,1.0938967136150235,10.0115713955103,118.671085396899
Grand_Total,47238,4412,0.09339938185359245,798361.3537403875,180.95225606083125,5395,1.222801450589302,10.2605045475122,164.278643923698
GTA,13865,973,0.0701767039307609,205149.31,210.84204522096607,1090,1.1202466598150052,10.3892136483181,141.363667267695
guildford,1008,68,0.06746031746031746,10909.74,160.43735294117647,87,1.2794117647058825,8.9452568914197,84.7139122557267
GVA,2452,129,0.05261011419249592,31721.25,245.90116279069767,153,1.186046511627907,11.1551270815075,111.205083260298
GWA,1494,87,0.05823293172690763,17935.61,206.1564367816092,101,1.160919540229885,13.5575620767494,121.460112866817
laval,3504,253,0.07220319634703197,49611.98,196.09478260869565,312,1.233201581027668,12.3758059564016,182.788996008597
limeridge,1166,108,0.09262435677530018,19511.7,180.6638888888889,122,1.1296296296296295,7.94684954993571,125.45027861123
Manitoba,1494,87,0.05823293172690763,17935.61,206.1564367816092,101,1.160919540229885,13.5575620767494,121.460112866817
mapleview,1205,86,0.07136929460580912,16699.42,194.1793023255814,97,1.127906976744186,10.277061132922,112.390936623668
marketmall,1925,140,0.07272727272727272,28324.81,202.32007142857142,175,1.25,8.34766296701579,132.834813193685
massonville,1106,85,0.07685352622061482,18168.0,213.74117647058824,92,1.0823529411764705,8.74142447299488,135.971061494325
mtltrust,2876,210,0.07301808066759388,38286.2,182.3152380952381,262,1.2476190476190476,12.9134649910233,164.967468581688
Ontario,17661,1274,0.07213634562029331,255213.42,200.3245054945055,1425,1.1185243328100472,10.1376800126602,134.627536002532
oshawa,1005,83,0.08258706467661692,15248.32,183.7146987951807,98,1.180722891566265,9.36919315403423,149.12782396088
ottawa,1465,122,0.08327645051194539,24048.16,197.1160655737705,133,1.0901639344262295,10.0092229651833,166.346506801937
pacificcentre,1444,61,0.04224376731301939,10743.34,176.12032786885246,66,1.0819672131147542,12.9740093736685,68.6621644652748
polopark,1494,87,0.05823293172690763,14490.69,166.55965517241378,101,1.160919540229885,13.5575620767494,98.1310835214447
Quebec,22798,2713,0.11900166681287833,294242.47,108.45649465536307,3459,1.2749723553262071,10.3231120313138,133.404979673261
REGIONAL_ON,1106,85,0.07685352622061482,16947.31,199.38011764705882,92,1.0823529411764705,8.74142447299489,126.835299987527
REGIONAL_QC,3739,239,0.06392083444771329,41301.54,172.80979079497908,282,1.1799163179916319,8.22962215495011,92.6147325933401
rivieres,1048,68,0.0648854961832061,12978.82,190.865,76,1.1176470588235294,9.54848260547742,115.281894892672
scarborough,1270,88,0.06929133858267716,16886.22,191.88886363636362,97,1.1022727272727273,11.0016155088853,116.913593353335
sherbrooke,1387,99,0.07137707281903388,19948.41,201.4990909090909,121,1.222222222222222,6.97611045508221,108.720555908802
sherway,1514,113,0.07463672391017173,21581.87,190.99,133,1.176991150442478,11.1732909379968,137.24559618442
squareone,1989,106,0.053293112116641526,20500.67,193.40254716981133,117,1.1037735849056605,11.8437925004857,119.490985039829
stbruno,2543,187,0.07353519465198584,41370.07,221.23032085561496,223,1.192513368983957,11.1449225473322,170.891855421687
stefoy,2037,108,0.053019145802650956,20399.51,188.88435185185185,114,1.0555555555555556,10.2267094997705,112.342413951354
uppercanada,1277,93,0.07282693813625685,18349.44,197.3058064516129,99,1.064516129032258,9.43820224719101,124.953626149132
vaughan,1198,56,0.04674457429048414,10257.14,183.16321428571428,61,1.0892857142857142,12.0602605863192,83.5271986970684
westedmonton,908,69,0.07599118942731277,12267.05,177.78333333333333,82,1.1884057971014492,8.12880249295148,109.21843003413
