store,budget_upt,upt 2019-W36,upt 2019-W35,upt 2018-W36,budget_diff
Alberta,1.1176470588235294,1.2296650717703348,1.361256544502618,,10.022664316293124
anjou,1.112994350282486,1.3450704225352113,1.4961832061068703,1.0283687943262412,20.851504968899693
bayshore,1.1176470588235294,1.1702127659574468,1.4096385542168675,1.1097560975609757,4.703247480403136
British Columbia,1.115702479338843,1.186046511627907,1.2258064516129032,,6.304909560723514
chicoutimi,1.1176470588235294,1.1805555555555556,1.297872340425532,,5.628654970760239
dix30,1.1124031007751938,1.3096774193548386,1.3212121212121213,1.1694915254237288,17.734067663257278
eatonto,1.123076923076923,1.1083333333333334,1.2093023255813953,1.1045751633986929,-1.3127853881278588
Fairview,1.1122448979591837,1.1944444444444444,1.2254901960784315,1.015625,7.39041794087665
gatineau,1.1140350877192982,1.108433734939759,1.1492537313432836,,-0.5027985959586369
GCA,1.1111111111111112,1.25,1.375,,12.500000000000002
gcapitale,1.1111111111111112,1.1333333333333333,1.1,1.0265957446808511,1.999999999999998
GEA,1.1216216216216215,1.1884057971014492,1.3272727272727274,,5.954251789767771
GMA,1.113673805601318,1.2518867924528303,1.3087179487179488,1.0845986984815619,12.410544825276316
GOA,1.119533527696793,1.120401337792642,1.303964757709251,1.0304568527918783,0.07751532887402117
GQA,1.1136363636363635,1.0938967136150235,1.147058823529412,1.0265957446808511,-1.7725400019162538
Grand_Total,1.117983651226158,1.222801450589302,1.2711135018827326,1.0999624201428035,9.375611105599273
GTA,1.124031007751938,1.1202466598150052,1.2290227048371174,1.1153081510934395,-0.3366764716305821
guildford,1.1139240506329113,1.2794117647058825,1.2428571428571429,,14.856283422459896
GVA,1.115702479338843,1.186046511627907,1.2258064516129032,,6.304909560723514
GWA,1.1166666666666667,1.160919540229885,1.1979166666666667,,3.962943901183737
laval,1.1141732283464567,1.233201581027668,1.3201970443349753,1.0218181818181817,10.683110099303063
limeridge,1.1240875912408759,1.1296296296296295,1.1458333333333333,1.0721649484536082,0.4930254930254915
Manitoba,1.1166666666666667,1.160919540229885,1.1979166666666667,,3.962943901183737
mapleview,1.121212121212121,1.127906976744186,1.1650485436893203,,0.5971087366436173
marketmall,1.1111111111111112,1.25,1.375,,12.500000000000002
massonville,1.1265822784810127,1.0823529411764705,1.2564102564102564,1.1458333333333333,-3.9259748843357594
mtltrust,1.115942028985507,1.2476190476190476,1.1620111731843574,1.1293532338308458,11.799628942486088
Ontario,1.1238805970149255,1.1185243328100472,1.2486011191047162,1.0949197860962567,-0.4765865892786801
oshawa,1.1232876712328768,1.180722891566265,1.313253012048193,1.206896551724138,5.1131354687040895
ottawa,1.125,1.0901639344262295,1.3246753246753247,0.9739130434782609,-3.0965391621129332
pacificcentre,1.119047619047619,1.0819672131147542,1.2117647058823529,,-3.313568189745374
polopark,1.1166666666666667,1.160919540229885,1.1979166666666667,,3.962943901183737
Quebec,1.1142857142857143,1.2749723553262071,1.2834567901234568,1.1019341348667016,14.420595990813466
REGIONAL_ON,1.1265822784810127,1.0823529411764705,1.2564102564102564,1.1458333333333333,-3.9259748843357594
REGIONAL_QC,1.1176470588235294,1.1799163179916319,1.2795698924731183,1.0416666666666667,5.571460030830215
rivieres,1.1168831168831168,1.1176470588235294,1.2413793103448276,1.0416666666666667,0.068399452804375
scarborough,1.127659574468085,1.1022727272727273,1.2019230769230769,1.046875,-2.251286449399654
sherbrooke,1.1181818181818182,1.222222222222222,1.2962962962962963,,9.304426377597105
sherway,1.125,1.176991150442478,1.2592592592592593,1.1758241758241759,4.621435594886925
squareone,1.1188118811881187,1.1037735849056605,1.2434782608695651,,-1.344130906662211
stbruno,1.1136363636363635,1.192513368983957,1.3492063492063493,,7.082833133253303
stefoy,1.1157407407407407,1.0555555555555556,1.1923076923076923,,-5.394190871369287
uppercanada,1.127659574468085,1.064516129032258,1.2574257425742574,1.144927536231884,-5.599513085818621
vaughan,1.1262135922330097,1.0892857142857142,1.3068181818181819,,-3.2789408866995053
westedmonton,1.1216216216216215,1.1884057971014492,1.3272727272727274,,5.954251789767771
