store,budget_dpp,dpp 2019,dpp 2018,dpp 2017,budget_diff
sherbrooke,192.72277227722773,185.79203544303797,,,-3.5962210133735657
pacificcentre,207.1627906976744,168.08662234042552,,,-18.86254197756738
rivieres,193.2111846946284,175.99970665499126,183.2708578698655,,-8.908116818827036
stbruno,193.75296882731323,191.74235835490364,203.3354114114114,,-1.0377185364326271
bayshore,184.97737068965517,171.05491397849462,178.15597502401536,,-7.526572931193232
polopark,221.79396984924622,150.7911683168317,,,-32.01295399540181
uppercanada,184.2416638019938,183.83675170679123,182.44201076921536,,-0.2197722745479234
Grand_Total,190.11138722671285,162.79117422701094,164.15048604213916,141.19897548001097,-14.370634709598859
sherway,184.46354758119463,172.10063760379597,178.11130791788855,,-6.702088374374854
GQA,192.14797707638354,91.07364596120796,193.65333333333334,,-52.60233943290283
Fairview,193.15552739942984,165.22025316455696,170.2820332590655,154.8320856231818,-14.462580807798998
GTA,184.7034914838019,140.0132462683137,167.45678242529848,141.064552491954,-24.195668883393807
scarborough,184.55599214145383,178.4077532228361,168.97203406169666,,-3.3313678127044435
guildford,196.6951219512195,156.84628884826324,,,-20.259187267917497
REGIONAL_QC,191.70006635700065,60.896329427670125,183.22570169491524,,-68.23353763776814
westedmonton,146.17532467532467,151.40210116731518,,,3.5756900171762114
Ontario,185.4074379386688,156.66618338564805,189.65299486878757,145.46455516343823,-15.501672895414323
gatineau,188.2936247723133,180.06338194054965,,,-4.3709620236562765
GMA,193.35588646330297,216.72953961613663,177.42003082944436,157.4901768342051,12.088410433405523
marketmall,263.073126142596,158.5104201680672,,,-39.74663148141238
laval,193.23681765389082,171.54588388010384,177.32056643239625,155.68059013799174,-11.225052263403507
Quebec,192.67177042128537,119.15989940728144,123.1819065431681,140.6367437966634,-38.153939652532884
dix30,193.48857049108608,181.0444783306581,184.90931706612764,171.10767355475323,-6.431435267129261
limeridge,184.7265800089646,167.35900480256137,167.25022925542706,,-9.401773802968902
anjou,192.90571378029364,168.23125071715432,178.27153307665384,,-12.790944643164813
stefoy,188.83029894358282,180.15890788628587,,,-4.592160848025617
mtltrust,193.3237053245806,166.28639979136784,170.15811072793363,167.23341211225997,-13.985509685849701
vaughan,184.76580796252927,171.742647702407,,,-7.048468763638013
gcapitale,194.18613642640156,187.00401646639963,193.65333333333334,,-3.698575033302646
eatonto,184.78431975403535,166.6768586607018,158.36177262615618,141.064552491954,-9.799241146346304
GOA,188.4087646392142,162.5101451709658,171.7193280933063,144.6267306902748,-13.745973823373832
mapleview,184.1961371961372,180.44875778546714,,,-2.034450595823165
massonville,184.882889200561,188.2848504854369,180.7326830087307,159.388612247325,1.8400628092659428
squareone,186.0455810716771,175.8981965382468,,,-5.454246467440078
ottawa,190.359557224748,177.2614061669325,169.41118153634173,144.6267306902748,-6.880742553078731
chicoutimi,189.96725039799864,188.61352006056018,182.60145728643215,,-0.7126124816789556
REGIONAL_ON,184.882889200561,209.01822524271844,180.7326830087307,159.388612247325,13.054391429363383
oshawa,184.6021505376344,185.27953871499176,175.11942115768463,,0.36694490036249966
