store,budget_dpt,dpt 2019,dpt 2018,dpt 2017,budget_diff
limeridge,211.78057553956833,197.74954287515763,200.9693759141882,,-6.625268926889476
stbruno,216.63886583679115,230.05113181504487,241.30681397006416,,6.191070991092654
massonville,211.84652470871836,222.1968331805683,213.41075733544807,176.19316242036564,4.8857579731747975
Quebec,216.66612543129693,142.6455798225403,140.04768604077543,155.3509719377302,-34.163414083032535
chicoutimi,216.6198132780083,222.36364123159305,243.87711409395973,,2.6515709097270586
guildford,225.7239185750636,183.71503211991435,,,-18.61073771904211
Fairview,216.62238010657194,191.57957881301851,186.16256770877462,166.722362649336,-11.560578958292812
REGIONAL_QC,216.67673845494483,72.38728003214142,204.2765759637188,,-66.59203911397557
mapleview,211.93141762452106,214.25509860312243,,,1.09643063055343
REGIONAL_ON,211.84652470871836,246.66449587534373,213.41075733544807,176.19316242036564,16.43546959974862
anjou,216.62614223281685,203.15963279445728,195.29208972392638,,-6.216474752103821
scarborough,211.73328324567993,204.983939906898,193.39498712762045,,-3.187662910299502
eatonto,211.81004405286345,185.33181563811596,173.94134516460906,155.07830973603294,-12.50093145164497
gcapitale,216.653212139886,209.94155633275042,220.4057991681521,,-3.0978796671623123
GTA,211.76497978631244,161.36037512051712,192.06041687797412,155.07830973603294,-23.802143638980127
stefoy,216.80154838709677,209.86932427455056,,,-3.1974975105661088
dix30,216.63801126622582,225.8449057233439,212.98551970730085,187.24487425633166,4.2498979764930365
marketmall,306.1723404255319,202.65753719008265,,,-33.80932552286722
uppercanada,211.67417061611374,215.50871103622578,216.44820869490584,,1.8115296774051137
GOA,216.41050119331743,183.1672832995267,195.14797003313643,172.40519132234095,-15.361185206116623
squareone,211.67656373713382,199.89446065989847,,,-5.566087652418004
polopark,274.14285714285717,183.05177884615384,,,-33.227595001402975
GQA,216.70866293652324,103.93470439899131,220.4057991681521,,-52.03943257707463
Grand_Total,215.59160876155983,192.74384031458925,187.11519808523605,156.41607790231507,-10.597707665069542
rivieres,216.64521452145215,198.90318159327066,201.9135482579095,,-8.189441418021572
sherway,211.78435462842242,199.3553246307111,205.5362301184433,,-5.868719632060723
oshawa,211.7495256166983,218.90935279805353,212.26168548387096,,3.381271887388172
vaughan,211.62821888412017,196.4615519399249,,,-7.1666562352443055
ottawa,218.52257771726798,199.00250969859744,192.2222630447528,172.40519132234095,-8.932746548471657
sherbrooke,216.77366524729774,228.97926365054602,,,5.6305725094992525
mtltrust,216.64770312244565,192.25846524951004,192.04990216705238,189.64324958123953,-11.257556632922727
bayshore,211.83751542575072,198.19070182724252,203.3556688596491,,-6.442113697888143
Ontario,212.57943344765198,180.4314728548728,217.59849924306138,164.85805565980735,-15.122799073926252
gatineau,217.1705882352941,196.24267114914426,,,-9.636625869187888
laval,216.55199791748015,193.43710179640718,188.6872694088319,168.98125273303037,-10.674062739370886
westedmonton,176.55686274509804,190.73696078431374,,,8.031462396161876
pacificcentre,253.30805687203792,185.33891495601173,,,-26.832601676922476
GMA,216.6191388851397,255.69712481828054,197.49782037370744,171.10184306327506,18.03995073300591
