district,retail_orders 2019,retail_orders 2018,retail_orders 2017,webcs_orders 2019,webcs_orders 2018,webcs_orders 2017,total_orders 2019,total_orders 2017
Prince Edward Island,1.0,,2.0,7.0,4.0,5.0,8.0,7.0
Alberta,1630.0,66.0,57.0,462.0,537.0,457.0,2092.0,514.0
International,72.0,82.0,55.0,356.0,663.0,745.0,428.0,800.0
Nova Scotia,30.0,51.0,13.0,118.0,102.0,77.0,148.0,90.0
Yukon,5.0,2.0,,5.0,7.0,2.0,10.0,
British Columbia,875.0,55.0,19.0,333.0,423.0,316.0,1208.0,335.0
California,20.0,21.0,4.0,1536.0,2550.0,2611.0,1556.0,2615.0
Texas,4.0,2.0,1.0,537.0,946.0,845.0,541.0,846.0
Rest of CAN,20.0,22.0,8.0,27.0,33.0,21.0,47.0,29.0
United States,142.0,147.0,59.0,7291.0,12027.0,11772.0,7433.0,11831.0
Ontario,31828.0,28816.0,5062.0,3456.0,2778.0,1436.0,35284.0,6498.0
Quebec,49856.0,50206.0,22352.0,7185.0,7570.0,7251.0,57041.0,29603.0
Canada,84729.0,79271.0,27534.0,11889.0,11789.0,9757.0,96618.0,37289.0
New Brunswick,43.0,25.0,12.0,81.0,83.0,42.0,124.0,54.0
New York,27.0,23.0,10.0,711.0,1072.0,1044.0,738.0,1054.0
Rest of US,91.0,101.0,44.0,4507.0,7459.0,7272.0,4598.0,7316.0
Manitoba,421.0,21.0,4.0,123.0,144.0,97.0,544.0,101.0
Saskatchewan,20.0,7.0,5.0,92.0,108.0,53.0,112.0,58.0
