district,retail_sales 2019,retail_sales 2018,retail_sales 2017,webcs_sales 2019,webcs_sales 2018,webcs_sales 2017,total_sales 2019,total_sales 2017
Ontario,6427738.29,5627395.74,827409.01,495814.92,456653.28,197392.82,6923553.21,1024801.83
Manitoba,76482.45,3458.5,934.75,20490.82,24153.5,13228.05,96973.27,14162.8
Alberta,326347.91,11076.64,7307.65,77874.36,93129.7,65531.99,404222.27,72839.64
California,2808.0,4076.5,660.0,161392.1,304077.35,282155.24,164200.1,282815.24
New Brunswick,8351.98,4378.45,2021.94,11751.13,10719.48,5427.36,20103.11,7449.3
British Columbia,160082.92,9539.75,3902.77,50514.32,65946.7,45531.25,210597.24,49434.02
Yukon,713.75,535.0,,631.65,1335.6,299.7,1345.4,
Rest of US,16874.0,17639.25,9191.59,483639.99,867157.71,777879.27,500513.99,787070.86
Quebec,10360327.27,9997756.26,3825934.99,943007.91,1153539.4,953004.6,11303335.18,4778939.59
International,12695.03,14373.98,6720.93,45398.42,92322.51,101944.78,58093.45,108665.71
Texas,807.5,305.0,48.0,54666.6,114699.06,94848.26,55474.1,94896.26
Nova Scotia,6549.05,11003.25,2186.72,16936.02,17169.95,9511.0,23485.07,11697.72
Prince Edward Island,122.5,,299.0,1198.3,623.4,702.0,1320.8,1001.0
Canada,17374431.67,15671145.04,4672998.43,1635592.15,1846623.81,1301600.98,19010023.82,5974299.71
United States,26098.31,26232.25,11269.83,774428.14,1411817.87,1267556.42,800526.45,1278826.25
Rest of CAN,3976.95,4664.55,1524.35,3501.82,5782.45,3295.76,7478.77,4820.11
Saskatchewan,3738.6,1336.9,1477.25,13870.9,17570.35,7676.45,17609.5,9153.7
New York,5608.81,4211.5,1370.24,74729.45,125883.75,112673.65,80338.26,114043.89
