store,budget_worked,worked 2019,worked 2018,worked 2017,budget_diff
GMA,57612.0,54040.3666666663,18115.7166666666,,-6.19946076049041
British Columbia,2639.0,2732.38333333333,,,3.53858784893262
sherbrooke,6157.0,7255.26666666666,,,17.8376915164311
GWA,996.0,1090.48333333333,,,9.48627844712184
Grand_Total,184601.0,171581.133333333,43658.3833333331,,-7.0529773222608
massonville,5003.0,5697.06666666666,1864.66666666667,,13.8730095276167
sherway,7583.0,6295.31666666667,2080.21666666667,,-16.9811859861971
stefoy,6936.0,4920.68333333333,,,-29.055891964629
polopark,996.0,1090.48333333333,,,9.48627844712184
westedmonton,2860.0,1360.5,,,-52.4300699300699
stbruno,10407.0,9197.0,2790.75,,-11.6267896608052
Fairview,5240.0,5998.15000000002,2085.33333333333,,14.468511450382
eatonto,10594.0,11590.2666666667,4241.83333333333,,9.40406519413501
GVA,2639.0,2732.38333333333,,,3.53858784893262
guildford,2381.0,1652.43333333334,,,-30.5991880162396
Ontario,76772.0,76224.0499999993,20361.6166666667,,-0.713736779034924
GTA,58986.0,57425.549999999,14492.9166666667,,-2.6454582443308
gatineau,5208.0,3674.26666666666,,,-29.4495647721455
anjou,7819.0,8131.49999999998,2356.16666666667,,3.99667476659393
GOA,17991.0,16775.7,4004.03333333333,,-6.75504418876118
ottawa,7113.0,6863.81666666667,2105.71666666667,,-3.50321008482123
vaughan,5245.0,2869.48333333333,,,-45.2910708611376
REGIONAL_ON,5003.0,5697.06666666666,1864.66666666667,,13.8730095276167
laval,12209.0,11139.9333333334,3697.68333333333,,-8.75638190405967
pacificcentre,258.0,1079.95,,,318.585271317829
mtltrust,10173.0,9645.19999999999,3211.25,,-5.18824338936407
dix30,11764.0,9928.58333333335,3974.53333333333,,-15.6019777853337
marketmall,3802.0,2469.3,,,-35.052603892688
GEA,2860.0,1360.5,,,-52.4300699300699
scarborough,5144.0,6155.71666666666,1768.63333333333,,19.6678978745463
Quebec,97452.0,87633.1666666668,23286.7666666668,,-10.0755585655843
rivieres,4918.0,4441.33333333333,1832.08333333333,,-9.69228683746779
limeridge,7634.0,7495.00000000001,2568.53333333333,,-1.82080167670934
uppercanada,6473.0,6514.76666666667,2014.26666666667,,0.645244348318719
Manitoba,996.0,1090.48333333333,,,9.48627844712184
mapleview,5823.0,7162.88333333335,238.5,,23.010189478505
GCA,3802.0,2469.3,,,-35.052603892688
bayshore,5670.0,6237.61666666668,1898.31666666667,,10.0108759553206
Alberta,6662.0,3829.8,,,-42.5127589312519
chicoutimi,6823.0,5854.25,501.816666666667,,-14.1982998680932
gcapitale,9798.0,7447.00000000001,2837.15,,-23.9946927944478
squareone,5815.0,4230.0,,,-27.2570937231299
GQA,16734.0,12367.6833333333,2837.15,,-26.0924863551254
REGIONAL_QC,17898.0,17550.85,2333.9,,-1.93960219018886
oshawa,4675.0,5112.11666666667,1580.93333333333,,9.35008912655975
