store,budget_orders,orders 2019,orders 2018,orders 2017,budget_diff
limeridge,3892.0,3172,4102.0,,-18.499486125385406
stbruno,7230.0,5796,1403.0,,-19.83402489626556
massonville,2489.0,2182,2522.0,939.0,-12.334270791482522
Quebec,59124.0,69576,74249.0,44425.0,17.67810026385224
chicoutimi,3856.0,2241,149.0,,-41.88278008298755
guildford,786.0,467,,,-40.5852417302799
Manitoba,161.0,416,,,158.38509316770185
Fairview,2815.0,3134,3828.0,2995.0,11.33214920071048
REGIONAL_QC,9333.0,7467,2646.0,,-19.99357119897139
mapleview,2610.0,2434,,,-6.743295019157088
REGIONAL_ON,2489.0,2182,2522.0,939.0,-12.334270791482522
anjou,5034.0,4330,5216.0,,-13.984902661899087
scarborough,2662.0,2363,2719.0,,-11.232156273478587
eatonto,5675.0,6433,7776.0,2587.0,13.3568281938326
gcapitale,6491.0,4003,3366.0,,-38.32999537821599
GTA,27704.0,24117,20262.0,2587.0,-12.947588795841755
stefoy,3875.0,3135,,,-19.096774193548388
dix30,8166.0,5993,12026.0,5132.0,-26.610335537594906
marketmall,470.0,1210,,,157.4468085106383
uppercanada,2532.0,2374,1470.0,,-6.240126382306477
Alberta,980.0,1618,,,65.10204081632654
GOA,9218.0,7395,6941.0,1942.0,-19.776524191798654
squareone,2526.0,1576,,,-37.608867775138556
GCA,470.0,1210,,,157.4468085106383
polopark,161.0,416,,,158.38509316770185
GQA,10366.0,7138,3366.0,,-31.140266255064635
GVA,997.0,808,,,-18.956870611835505
Grand_Total,98293.0,104476,103974.0,49893.0,6.29037673079466
rivieres,2424.0,2021,2497.0,,-16.625412541254125
sherway,3835.0,2911,2955.0,,-24.09387222946545
oshawa,2108.0,2055,1240.0,,-2.5142314990512333
British Columbia,997.0,808,,,-18.956870611835505
vaughan,1864.0,799,,,-57.13519313304721
ottawa,4407.0,3351,5117.0,1942.0,-23.961878829135465
sherbrooke,3053.0,3205,,,4.97870946609892
GEA,510.0,408,,,-20.0
mtltrust,6117.0,6633,9506.0,597.0,8.43550760176557
bayshore,2431.0,2408,1824.0,,-0.9461127108185932
Ontario,37031.0,32058,29725.0,5468.0,-13.429288974102779
gatineau,2380.0,1636,,,-31.26050420168067
laval,7683.0,7515,11232.0,8919.0,-2.1866458414681764
westedmonton,510.0,408,,,-20.0
pacificcentre,211.0,341,,,61.61137440758294
GMA,37045.0,33799,43759.0,22157.0,-8.762316102038062
GWA,161.0,416,,,158.38509316770185
