store,budget_products,quantity 2019,quantity 2018,quantity 2017,budget_diff
sherbrooke,3434.0,3950,,,15.02620850320326
pacificcentre,258.0,376,,,45.73643410852713
rivieres,2718.0,2284,2751.0,,-15.967623252391464
stbruno,8084.0,6954,1665.0,,-13.978228599703117
bayshore,2784.0,2790,2082.0,,0.21551724137931
polopark,199.0,505,,,153.76884422110552
uppercanada,2909.0,2783,1744.0,,-4.331385355792369
Grand_Total,111467.0,123699,118520.0,55270.0,10.97365139458315
sherway,4403.0,3372,3410.0,,-23.415852827617535
GQA,11691.0,8146,3831.0,,-30.3224702762809
Fairview,3157.0,3634,4185.0,3225.0,15.1092809629395
GEA,616.0,514,,,-16.558441558441558
GTA,31763.0,27794,23239.0,2844.0,-12.49567106381639
scarborough,3054.0,2715,3112.0,,-11.100196463654225
Manitoba,199.0,505,,,153.76884422110552
guildford,902.0,547,,,-39.3569844789357
GCA,547.0,1547,,,182.81535648994517
Alberta,1163.0,2061,,,77.21410146173689
REGIONAL_QC,10549.0,8876,2950.0,,-15.85932315859323
westedmonton,616.0,514,,,-16.558441558441558
Ontario,42458.0,36921,34105.0,6197.0,-13.041122992133403
gatineau,2745.0,1783,,,-35.045537340619305
GMA,41502.0,39876,48711.0,24072.0,-3.917883475495157
marketmall,547.0,1547,,,182.81535648994517
laval,8610.0,8474,11952.0,9681.0,-1.5795586527293843
British Columbia,1160.0,923,,,-20.43103448275862
Quebec,66487.0,83289,84415.0,49073.0,25.27110562967197
dix30,9143.0,7476,13852.0,5616.0,-18.232527616755988
GVA,1160.0,923,,,-20.43103448275862
limeridge,4462.0,3748,4929.0,,-16.001792917974004
anjou,5653.0,5229,5714.0,,-7.500442243056784
stefoy,4449.0,3652,,,-17.914138008541244
mtltrust,6855.0,7669,10729.0,677.0,11.87454412837345
GWA,199.0,505,,,153.76884422110552
vaughan,2135.0,914,,,-57.18969555035129
gcapitale,7242.0,4494,3831.0,,-37.945318972659486
eatonto,6505.0,7153,8541.0,2844.0,9.96156802459646
GOA,10588.0,8335,7888.0,2315.0,-21.27880619569324
mapleview,3003.0,2890,,,-3.762903762903763
massonville,2852.0,2575,2978.0,1038.0,-9.712482468443199
squareone,2874.0,1791,,,-37.68267223382046
ottawa,5059.0,3762,5806.0,2315.0,-25.637477762403638
chicoutimi,4397.0,2642,199.0,,-39.91357743916306
REGIONAL_ON,2852.0,2575,2978.0,1038.0,-9.712482468443199
oshawa,2418.0,2428,1503.0,,0.41356492969396
