store,budget_sphw,sphw 2019,sphw 2018,sphw 2017,budget_diff
GMA,139.28792612650142,159.923176965857,159.923176965857,,14.8148166271171
sherbrooke,107.48903686860484,101.151146293727,,,-5.89631348416064
Grand_Total,114.79431855732092,117.362002858358,113.38726599922,,2.23676949635383
massonville,105.3939636218269,85.102302354428,94.4735179507583,,-19.2531531883639
sherway,107.10708162996175,92.1833452910761,96.4779997829073,,-13.9334730363066
stefoy,121.12254901960785,133.709138961198,,,10.3916158002523
polopark,44.31425702811245,69.8309984869095,,,57.5813365044335
westedmonton,31.483916083916085,57.200058801911,,,81.6802542906419
stbruno,150.50437205726914,144.979488963793,36.8112928128738,,-3.67091202598038
Fairview,116.37251908396946,100.099263939715,118.80835077302,,-13.9837611769088
eatonto,113.46252595808949,102.865585778872,116.698600549887,,-9.33959480430728
guildford,74.5144897102058,51.9203518044096,,,-30.3218045156949
Ontario,102.53776116292399,75.8851327997078,84.8566218929598,,-25.9929883985544
GTA,99.45982097446851,67.7664936040069,67.7664936040069,,-31.865457890375
gatineau,99.24462365591398,87.3787993976123,,,-11.9561380971538
anjou,139.46745108070087,108.181911086516,125.271295578922,,-22.4321443833388
GOA,110.8816630537491,80.7431022252426,80.7431022252426,,-27.1808340517918
ottawa,135.38999015886404,97.1554810370324,143.302388127111,,-28.240277643102
vaughan,75.20972354623451,54.7041964581313,,,-27.2644627865141
REGIONAL_ON,105.3939636218269,94.4735179507583,94.4735179507583,,-10.3615475647668
laval,136.27397821279385,130.492685773104,190.246686993937,,-4.24240380702907
pacificcentre,207.1627906976744,58.5217556368351,,,-71.7508364123944
mtltrust,130.2697336085717,132.216066022478,189.278228548916,,1.49407875489647
dix30,150.3796327779667,136.322421292061,257.97878448587,,-9.34781607470829
marketmall,37.84876380852183,99.305722269469,,,162.375074578023
scarborough,109.57115085536547,78.6873529483434,85.4231925337695,,-28.1860669217473
Quebec,131.45105282600665,113.252884030586,118.658277868632,,-13.8440646949462
rivieres,106.78080520536804,90.5096059741819,113.519542930051,,-15.2379439356093
limeridge,107.9709195703432,83.6906671114075,109.990177451634,,-22.4877703696106
uppercanada,82.79916576548742,78.5320037044048,48.8396412429473,,-5.15362929279807
mapleview,94.99244375751331,72.8054452001404,,,-23.3565930928249
bayshore,90.82486772486773,76.5105064167135,59.465138661401,,-15.7603987396009
chicoutimi,122.42210171478821,85.1205397787932,6.20706153649058,,-30.4696304127322
gcapitale,143.52888344560114,112.850281992749,99.6221189740834,,-21.3745141161639
squareone,91.95098882201204,74.4760449172578,,,-19.0046285837994
GQA,134.24178319588862,59.9858437513898,59.9858437513898,,-55.3150723095974
REGIONAL_QC,112.98714940216784,30.7971306233031,30.7971306233031,,-72.7428023573872
oshawa,95.47978609625669,87.9985237686933,51.4864012623603,,-7.83544102206226
