store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
Alberta,24668,1618,0.06559104913247933,,,2061,1.273794808405439,,
anjou,64239,4330,0.06740453618518345,879681.21,203.15963279445728,5229,1.207621247113164,10.2143515956466,108.181911086516
bayshore,36991,2408,0.06509691546592414,477243.21,198.19070182724252,2790,1.1586378737541527,4.88888651381269,76.5105064167135
British Columbia,20925,808,0.03861409796893668,,,923,1.1423267326732673,,
chicoutimi,45402,2241,0.04935905907228756,498316.92,222.36364123159305,2642,1.178937974118697,0.865695861980612,85.1205397787932
dix30,51325,5993,0.11676570871894788,1353488.52,225.8449057233439,7476,1.247455364592024,8.69872338282567,136.322421292061
eatonto,105356,6433,0.06105964539276358,1192239.57,185.33181563811596,7153,1.111922897559459,10.976451505286,102.865585778872
Fairview,45045,3134,0.06957486957486958,600410.4,191.57957881301851,3634,1.1595405232929163,7.91644090261162,100.099263939715
gatineau,40749,1636,0.04014822449630666,321053.01,196.24267114914426,1783,1.0898533007334963,,87.3787993976123
GCA,17202,1210,0.07034065806301593,,,1547,1.278512396694215,,
gcapitale,61731,4003,0.0648458635045601,840396.05,209.94155633275042,4494,1.1226580064951286,6.40271250167852,112.850281992749
GEA,7466,408,0.05464773640503617,,,514,1.2598039215686274,,
GMA,441927,33799,0.07648095726217226,8642307.121733064,255.69712481828054,39876,1.1797982188822154,10.0424374125269,159.923176965857
GOA,129015,7395,0.05731891640506918,1354522.06,183.1672832995267,8335,1.1271129141311698,5.92022985628022,80.7431022252426
GQA,117433,7138,0.06078359575247162,741885.92,103.93470439899131,8146,1.1412160268982907,3.85528952471563,59.9858437513898
Grand_Total,1295029,104476,0.08067464126285975,20137105.460707027,192.74384031458925,123699,1.1839944101994715,6.50083711612427,117.362002858358
GTA,384109,24117,0.06278686518670482,3891528.1667815116,161.36037512051712,27794,1.1524650661359208,5.86749277978192,67.7664936040069
guildford,10709,467,0.043608180035484174,85794.92,183.71503211991435,547,1.171306209850107,,51.9203518044096
GVA,20925,808,0.03861409796893668,,,923,1.1423267326732673,,
GWA,9987,416,0.04165415039551417,,,505,1.2139423076923077,,
laval,106383,7515,0.07064098587180283,1453679.82,193.43710179640718,8474,1.1276114437791085,14.5243239037935,130.492685773104
limeridge,39126,3172,0.0810714103153913,627261.55,197.74954287515763,3748,1.1815889029003783,7.31781187458305,83.6906671114075
Manitoba,9987,416,0.04165415039551417,,,505,1.2139423076923077,,
mapleview,39691,2434,0.06132372578166335,521496.91,214.25509860312243,2890,1.1873459326211997,,72.8054452001404
marketmall,17202,1210,0.07034065806301593,245215.62,202.65753719008265,1547,1.278512396694215,,99.305722269469
massonville,31794,2182,0.06862930112599862,484833.49,222.1968331805683,2575,1.1801099908340973,6.33729638644449,85.102302354428
mtltrust,98209,6633,0.06753963486034885,1275250.4,192.25846524951004,7669,1.1561887532036785,14.9116659063576,132.216066022478
Ontario,504169,32058,0.06358582142099177,5784272.156781511,180.4314728548728,36921,1.1516938049784766,6.19704673262578,75.8851327997078
oshawa,27265,2055,0.07537135521731157,449858.72,218.90935279805353,2428,1.181508515815085,4.68651276216309,87.9985237686933
ottawa,51275,3351,0.06535348610433935,666857.41,199.00250969859744,3762,1.1226499552372426,10.0266372693521,97.1554810370324
pacificcentre,10216,341,0.03337901331245106,63200.57,185.33891495601173,376,1.1026392961876832,,58.5217556368351
polopark,9987,416,0.04165415039551417,76149.54,183.05177884615384,505,1.2139423076923077,,69.8309984869095
Quebec,735280,69576,0.09462517680339462,9924708.861733064,142.6455798225403,83289,1.1970938254570542,7.33805503624007,113.252884030586
REGIONAL_ON,31794,2182,0.06862930112599862,538221.93,246.66449587534373,2575,1.1801099908340973,6.33729638644449,94.4735179507583
REGIONAL_QC,135171,7467,0.05524113900170895,540515.82,72.38728003214142,8876,1.1886969331726263,3.00150704951612,30.7971306233031
rivieres,34142,2021,0.05919395465994962,401983.33,198.90318159327066,2284,1.1301335972290945,10.7199789852897,90.5096059741819
scarborough,44114,2363,0.05356576143627873,484377.05,204.983939906898,2715,1.1489631823952604,8.90473083285727,78.6873529483434
sherbrooke,55627,3205,0.05761590594495479,733878.54,228.97926365054602,3950,1.2324492979719188,,101.151146293727
sherway,45838,2911,0.06350626118067978,580323.35,199.3553246307111,3372,1.1583648230848507,7.90349439662818,92.1833452910761
squareone,31126,1576,0.05063291139240506,315033.67,199.89446065989847,1791,1.1364213197969544,,74.4760449172578
stbruno,76726,5796,0.07554153741886714,1333376.36,230.05113181504487,6954,1.199792960662526,2.19234532999891,144.979488963793
stefoy,55702,3135,0.05628164159276148,657940.3316007161,209.86932427455056,3652,1.1649122807017545,,133.709138961198
uppercanada,32914,2374,0.0721273622166859,511617.68,215.50871103622578,2783,1.1722830665543387,4.04450402419119,78.5320037044048
vaughan,18679,799,0.042775309170726486,156972.78,196.4615519399249,914,1.143929912390488,,54.7041964581313
westedmonton,7466,408,0.05464773640503617,77820.68,190.73696078431374,514,1.2598039215686274,,57.200058801911
