store,visits 2019,visits 2018,visits 2017
gcapitale,61731,47681.0,
laval,106383,161800.0,75310.0
eatonto,105356,127220.0,13812.0
stefoy,55702,,
Fairview,45045,47484.0,
GTA,384109,336944.0,13812.0
bayshore,36991,30495.0,
Grand_Total,1295029,1115421.0,162207.0
mapleview,39691,,
GWA,9987,,
westedmonton,7466,,
limeridge,39126,54847.0,
ottawa,51275,68821.0,29628.0
guildford,10709,,
GQA,117433,47681.0,
REGIONAL_ON,31794,36104.0,11351.0
British Columbia,20925,,
pacificcentre,10216,,
massonville,31794,36104.0,11351.0
squareone,31126,,
Ontario,504169,472364.0,54791.0
uppercanada,32914,26349.0,
GVA,20925,,
GEA,7466,,
scarborough,44114,54815.0,
mtltrust,98209,143826.0,12499.0
chicoutimi,45402,5068.0,
REGIONAL_QC,135171,52679.0,
dix30,51325,86366.0,19607.0
oshawa,27265,23958.0,
GOA,129015,99316.0,29628.0
Alberta,24668,,
vaughan,18679,,
gatineau,40749,,
polopark,9987,,
sherway,45838,49755.0,
sherbrooke,55627,,
Quebec,735280,643057.0,107416.0
anjou,64239,83058.0,
marketmall,17202,,
Manitoba,9987,,
stbruno,76726,20163.0,
GCA,17202,,
GMA,441927,542697.0,107416.0
rivieres,34142,47611.0,
