store,budget_upt,upt 2019,upt 2018,upt 2017,budget_diff
Alberta,1.186734693877551,1.273794808405439,,,7.336105953338783
anjou,1.122963845848232,1.207621247113164,1.0954754601226995,,7.538746824122903
bayshore,1.1452077334430275,1.1586378737541527,1.1414473684210527,,1.1727252548974627
British Columbia,1.1634904714142427,1.1423267326732673,,,-1.8189868555821098
chicoutimi,1.1403008298755186,1.178937974118697,1.3355704697986577,,3.388329047116114
dix30,1.1196424197893706,1.247455364592024,1.1518376850157992,1.0943102104442712,11.415514680722604
eatonto,1.1462555066079294,1.111922897559459,1.0983796296296295,1.0993428681870894,-2.995196869332361
Fairview,1.1214920071047958,1.1595405232929163,1.0932601880877744,1.0767946577629381,3.3926694035337275
gatineau,1.153361344537815,1.0898533007334963,,,-5.506344052979189
GCA,1.1638297872340426,1.278512396694215,,,9.85389880187952
gcapitale,1.1156986596826375,1.1226580064951286,1.1381461675579323,,0.6237658127572546
GEA,1.207843137254902,1.2598039215686274,,,4.301948051948052
GMA,1.1203131326764746,1.1797982188822154,1.1131652917114194,1.0864286681409938,5.309683915212929
GOA,1.1486222607940986,1.1271129141311698,1.1364356720933584,1.1920700308959835,-1.8726214350101784
GQA,1.1278217248697666,1.1412160268982907,1.1381461675579323,,1.1876258218089337
Grand_Total,1.1340278554932701,1.1839944101994715,1.139900359705311,1.1077706291463731,4.406113523945799
GTA,1.1465131388969103,1.1524650661359208,1.146925278847103,1.0993428681870894,0.5191329289725386
guildford,1.147582697201018,1.171306209850107,,,2.067259527958336
GVA,1.1634904714142427,1.1423267326732673,,,-1.8189868555821098
GWA,1.236024844720497,1.2139423076923077,,,-1.7865771163509856
laval,1.1206559937524405,1.1276114437791085,1.064102564102564,1.0854355869492096,0.6206587985469161
limeridge,1.146454265159301,1.1815889029003783,1.2016089712335447,,3.0646349190558597
Manitoba,1.236024844720497,1.2139423076923077,,,-1.7865771163509856
mapleview,1.1505747126436783,1.1873459326211997,,,3.1959002378065637
marketmall,1.1638297872340426,1.278512396694215,,,9.85389880187952
massonville,1.1458417034953796,1.1801099908340973,1.1808088818398097,1.1054313099041535,2.9906650485998547
mtltrust,1.1206473761647866,1.1561887532036785,1.1286555859457186,1.134003350083752,3.171504060494555
Ontario,1.1465528881207636,1.1516938049784766,1.1473507148864592,1.1333211411850768,0.44838026322003655
oshawa,1.147058823529412,1.181508515815085,1.2120967741935484,,3.0033065069561427
ottawa,1.1479464488314046,1.1226499552372426,1.1346492085206175,1.1920700308959835,-2.2036301100903724
pacificcentre,1.2227488151658767,1.1026392961876832,,,-9.822910273022801
polopark,1.236024844720497,1.2139423076923077,,,-1.7865771163509856
Quebec,1.1245348758541371,1.1970938254570542,1.136917668924834,1.104625773776027,6.4523520933759535
REGIONAL_ON,1.1458417034953796,1.1801099908340973,1.1808088818398097,1.1054313099041535,2.9906650485998547
REGIONAL_QC,1.1302903675131255,1.1886969331726263,1.1148904006046862,,5.167394798560243
rivieres,1.1212871287128714,1.1301335972290945,1.1017220664797758,,0.7889565740737688
scarborough,1.147257700976709,1.1489631823952604,1.1445384332475175,,0.14865722122406771
sherbrooke,1.1247952833278743,1.2324492979719188,,,9.570987382302517
sherway,1.148109517601043,1.1583648230848507,1.1539763113367174,,0.8932340797275073
squareone,1.1377672209026128,1.1364213197969544,,,-0.11829318694827318
stbruno,1.118118948824343,1.199792960662526,1.1867426942266572,,7.304590618382761
stefoy,1.1481290322580644,1.1649122807017545,,,1.461791137768001
uppercanada,1.1488941548183254,1.1722830665543387,1.1863945578231292,,2.0357760232239834
vaughan,1.1453862660944205,1.143929912390488,,,-0.1271495692801021
westedmonton,1.207843137254902,1.2598039215686274,,,4.301948051948052
