store,budget_dpp,dpp 2019-P10,dpp 2019-P09,dpp 2018-P10,budget_diff,yoy
anjou,207.7528735632184,190.07586776859503,167.2020471281296,195.746138996139,-8.508669695605585,-2.896747418172983
bayshore,200.37,140.03616438356164,174.52529274004684,180.3231884057971,-30.111212065897266,-22.341565928600392
chicoutimi,208.0,275.56508196721313,207.7806647398844,,32.48321248423707,
COMP_ONT,199.47560975609755,191.02258687258688,178.1342927308448,176.72335176226676,-4.237622280661958,8.091310496167958
COMP_QUE,208.07742461287694,177.93559983236509,139.34750275760481,174.67020285114393,-14.485869784571772,1.8694642405630928
COMP_TOTAL,203.77126577126577,182.78671094210068,150.78992895270974,175.20034319275612,-10.298093182932066,4.330110096301574
dix30,208.20158102766797,224.9511038961039,189.862204610951,217.54284994964755,8.044858634483694,3.4054228618274873
eatonto,199.30603448275863,185.55810055865922,176.03338174273858,166.65550070521863,-6.8979014909298675,11.342319799498036
Fairview,208.94736842105263,187.0802564102564,186.23566390041495,179.00798833819243,-10.465368468643028,4.509445721949228
gatineau,208.15083798882682,219.79264150943396,189.7380923076923,,5.592965002250944,
gcapitale,208.06214689265536,210.43903225806451,195.09811900191937,209.51870833333334,1.142392021281721,0.43925620392189296
GMA,207.91107382550337,203.27083067092653,182.89338302488983,195.3773827160494,-2.2318403099929753,4.040103232598336
GOA_ON,199.90774907749076,161.3528488372093,177.9903121387283,181.94054347826088,-19.2863460362091,-11.31561676549102
GOA_QC,208.15083798882682,219.79264150943396,189.7380923076923,,5.592965002250944,
GQA,208.33072916666666,219.07564655172413,198.51877511961723,209.51870833333334,5.157624815137775,4.5613770218486716
Grand_Total,198.3233291298865,189.8861332609885,159.80200123966702,182.6472838422435,-4.254262928075556,3.9632943159435845
GTA,199.26690391459076,191.54166193181817,175.04632485426603,177.19661918726436,-3.876831441152786,8.095551038360249
guildford,97.70114942528735,151.25355555555555,146.77344497607655,,54.81246274509804,
laval,207.824,205.29583333333332,185.13203471552555,185.3470797413793,-1.2164940847383683,10.76291766764772
limeridge,198.820987654321,200.76107843137254,167.15310638297873,177.75800838574423,0.9757977766535842,12.940665939342908
mapleview,198.26506024096386,164.93140625,176.92407738095238,,-16.812671859807974,
marketmall,140.35087719298247,185.2328,172.02301919720767,,31.97837,
massonville,198.68085106382978,199.90753086419753,200.21017291066283,192.1615107913669,0.6174121933742124,4.030994573747192
mtltrust,207.74384236453201,179.5907650273224,167.89732931726908,193.90245721271393,-13.551822772108395,-7.380872007048054
Ontario,199.34654130288786,186.82396029258098,177.30833935018052,179.4464775066157,-6.28181503850624,4.1112441372349
oshawa,200.0,208.12486486486486,173.72825352112676,192.14596059113302,4.062432432432432,8.316024039523443
ottawa,199.63742690058479,177.0712121212121,181.3683105022831,182.91095652173914,-11.303599294840726,-3.192670636891536
pacificcentre,250.0,173.8559375,170.26070539419086,,-30.457625,
polopark,196.96969696969697,178.63432098765432,169.14630841121496,,-9.308729344729345,
Quebec,208.08361527307878,193.26870588823454,151.76183377258337,184.33215342086447,-7.119690498169152,4.8480703455822285
REGIONAL_ON,198.68085106382978,199.90753086419753,200.21017291066283,192.1615107913669,0.6174121933742124,4.030994573747192
REGIONAL_QC,208.39808917197453,251.71974489795917,197.2008670520231,217.75737903225806,20.787933276218627,15.596424799303822
rivieres,209.09333333333333,230.3565625,188.60475,217.75737903225806,10.169252566636908,5.785881297678332
scarborough,200.11818181818182,230.23518518518517,185.16955835962145,170.9903396226415,15.049608732886796,34.64806590436108
sherbrooke,208.39814814814815,250.48985915492958,194.15791262135923,,20.19773754268625,
sherway,198.85276073619633,174.80396551724138,172.00780760626398,192.2255679287305,-12.0937698475601,-9.063103623108223
squareone,198.85714285714286,181.83527777777778,168.6381408450704,,-8.559845945083014,
stbruno,207.50230414746545,227.71161111111113,208.0013771712159,,9.739316894179424,
stefoy,208.56038647342996,228.99175925925925,201.9198473282443,,9.796382300256338,
uppercanada,200.27027027027026,224.81140350877192,183.7471661237785,173.91429577464788,12.254007150129034,29.26562621400299
vaughan,199.09859154929578,152.68704545454545,176.607668161435,,-23.31083597005711,
West,144.96314496314497,180.3276119402985,165.91729474305967,,24.395488236782192,
westedmonton,100.0,209.08863636363637,157.95739669421488,,109.08863636363637,
