store,budget_dpt,dpt 2019-P10,dpt 2019-P09,dpt 2018-P10,budget_diff,yoy
anjou,220.42073170731706,207.19981981981982,209.85247689463955,210.36618257261412,-5.99803466084691,-1.5051671870792847
bayshore,215.4516129032258,159.72875,219.18323529411765,198.28366533864542,-25.863284174277588,-19.44432249262596
chicoutimi,219.74193548387098,289.81844827586207,235.71183606557378,,31.890368416789844,
COMP_ONT,215.0350569675723,212.33841201716737,204.50037778404285,198.69362082362082,-1.2540489855156884,6.867251770331852
COMP_QUE,220.2855910267472,200.3644569540918,172.56179044721972,188.598450195378,-9.043321435507137,6.238655061335238
COMP_TOTAL,217.6808695652174,204.83717130971917,182.49481712707168,191.12764711937032,-5.900242075085171,7.1729675936346595
dix30,220.39748953974896,264.4463358778626,234.03973357015985,240.55684855233852,19.986092595745916,9.930911328981088
eatonto,215.06511627906977,202.5298780487805,198.47506432748537,184.91197183098592,-5.828578082381096,9.527726108452173
Fairview,220.55555555555554,202.67027777777778,211.71129716981133,194.3029746835443,-8.10919395465995,4.306317547562543
gatineau,220.46745562130178,247.85127659574468,209.03349152542373,,12.420799658286189,
gcapitale,220.52095808383234,232.98607142857142,216.72946695095948,223.81820474777447,5.652575362020878,4.096121980394049
GMA,220.09769094138542,227.22775,214.96087068750052,212.6457330546432,3.2394974377597547,6.857422782901414
GOA_ON,214.98015873015873,183.79264900662253,209.4715918367347,200.4614371257485,-14.507157268723812,-8.315209328101213
GOA_QC,220.46745562130178,247.85127659574468,209.03349152542373,,12.420799658286189,
GQA,220.38292011019283,242.02642857142857,218.37065263157893,223.81820474777447,9.820864725094777,8.135273823759478
Grand_Total,211.8405172413793,212.77388804596507,190.268395808353,201.6871025923419,0.44060070129183293,5.497022522075817
GTA,214.94817658349328,213.36286392405063,197.37819838661488,206.7293890518084,-0.7375324995263959,3.2087720583258785
guildford,106.25,170.16025,170.42027777777778,,60.15082352941177,
laval,220.15254237288136,220.61641791044775,209.58724890829694,198.61673210161663,0.21070641863436687,11.076451402682235
limeridge,214.72666666666666,220.18956989247312,195.42776119402984,218.5323969072165,2.544119605920605,0.7583191365261136
mapleview,213.71428571428572,181.99327586206897,190.5336217948718,,-14.842718513737784,
marketmall,150.9433962264151,223.1720481927711,213.81603036876356,,47.85148192771084,
massonville,214.66666666666666,213.05934210526317,228.529375,231.25930735930737,-0.7487536776724419,-7.869938495390775
mtltrust,219.64583333333334,206.69880503144654,193.99737819025523,212.9022953020134,-5.894502119800493,-2.9137733164252153
Ontario,214.93627805937726,208.13798603026774,201.56392612859096,207.23173853989815,-3.1629337264467967,0.4373111458480293
oshawa,214.8148148148148,236.94215384615384,211.936529209622,222.88931428571428,10.300657824933687,6.30485117937314
ottawa,214.70440251572327,201.4948275862069,201.11220253164558,201.77227817745802,-6.152447166773401,-0.13750679417274567
pacificcentre,271.7391304347826,198.6925,179.96855263157894,,-26.88116,
polopark,213.11475409836066,198.21068493150685,198.88631868131867,,-6.9934478398314015,
Quebec,220.2173913043478,216.56128787105638,184.65040670616696,198.95924544807974,-1.660224658750312,8.847059297664078
REGIONAL_ON,214.66666666666666,213.05934210526317,228.529375,231.25930735930737,-0.7487536776724419,-7.869938495390775
REGIONAL_QC,220.32659932659934,266.68686486486484,226.68272425249168,229.80353191489363,21.041610808663087,16.04994172310231
rivieres,220.8732394366197,241.6855737704918,213.80295546558705,229.80353191489363,9.422750527387565,5.170521861256089
scarborough,215.81372549019608,264.52553191489363,200.33703071672355,203.19479820627802,22.57122725352814,30.18322036293185
sherbrooke,220.65686274509804,269.4663636363636,227.90045584045583,,22.120091930995205,
sherway,214.65562913907286,191.29490566037737,196.14155612244897,225.9405235602094,-10.8828841677198,-15.333954862948513
squareone,215.2577319587629,204.5646875,180.32090361445782,,-4.967554178639847,
stbruno,219.64878048780488,257.78672955974844,242.6181041968162,,17.363150838918955,
stefoy,220.26530612244898,252.35826530612246,219.97089397089397,,14.570138052441397,
uppercanada,215.8252427184466,256.285,205.12865454545454,206.65966527196653,18.746536212325687,24.01307224741991
vaughan,214.1818181818182,176.7955263157895,201.96671794871796,,-17.455399428111875,
West,156.91489361702128,205.47534013605443,194.79748959778087,,30.94699642568892,
westedmonton,108.43373493975903,224.38780487804877,182.89803827751197,,106.93542005420055,
