district,retail_orders 2019-P08,retail_orders 2019-P07,retail_orders 2018-P08,webcs_orders 2019-P08,webcs_orders 2019-P07,webcs_orders 2018-P08,total_orders 2019-P08,total_orders 2018-P08
Yukon,3.0,2.0,,2.0,,3.0,5.0,
British Columbia,439.0,178.0,10.0,59.0,38.0,54.0,498.0,64.0
Rest of CAN,3.0,3.0,5.0,2.0,1.0,7.0,5.0,12.0
California,2.0,1.0,1.0,140.0,105.0,284.0,142.0,285.0
New Brunswick,7.0,8.0,1.0,16.0,4.0,4.0,23.0,5.0
New York,3.0,5.0,5.0,85.0,59.0,123.0,88.0,128.0
Alberta,716.0,495.0,11.0,75.0,53.0,70.0,791.0,81.0
Canada,12411.0,11230.0,7733.0,1970.0,1466.0,1273.0,14380.0,9003.0
Rest of US,14.0,13.0,8.0,437.0,361.0,772.0,451.0,780.0
Quebec,6193.0,6238.0,4424.0,1123.0,888.0,761.0,7316.0,5185.0
Prince Edward Island,,,,1.0,2.0,,,
United States,22.0,19.0,14.0,713.0,555.0,1270.0,735.0,1193.0
Texas,3.0,,,51.0,30.0,91.0,54.0,
International,8.0,1.0,7.0,30.0,37.0,58.0,38.0,65.0
Ontario,4782.0,4299.0,3271.0,634.0,447.0,332.0,5416.0,3603.0
Manitoba,254.0,3.0,2.0,21.0,13.0,16.0,275.0,18.0
Nova Scotia,9.0,1.0,8.0,20.0,14.0,16.0,29.0,24.0
Saskatchewan,5.0,3.0,1.0,17.0,6.0,10.0,22.0,11.0
