store,budget_worked,worked 2019-P10,worked 2019-P09,worked 2018-P10,budget_diff,yoy
bayshore,179.0,70.0666666666667,630.233333333334,247.133333333333,-60.8566108007449,-71.6482330725654
oshawa,148.0,74.7,534.9,190.933333333333,-49.527027027027,-60.8763966480447
REGIONAL_QC,518.0,151.0,1815.93333333333,539.25,-70.8494208494209,-71.9981455725545
rivieres,137.0,40.6666666666667,472.75,539.25,-70.316301703163,-92.4586617215268
uppercanada,207.0,61.6,601.2,207.116666666667,-70.2415458937198,-70.2583085217671
West,898.0,306.733333333333,3238.28333333333,,-65.8426132145509,
GQA,531.0,166.25,1656.91666666667,298.916666666667,-68.6911487758945,-44.3824923334263
sherway,247.0,65.8666666666667,719.366666666667,202.35,-73.3333333333333,-67.4491392801252
Quebec,2965.0,938.116666666666,9547.73333333334,2583.91666666666,-68.3603147835863,-63.6940045796111
COMP_QUE,1768.0,630.916666666667,5922.71666666667,1089.83333333333,-64.3146681749623,-42.1088851506346
pacificcentre,56.0,47.6166666666667,613.416666666667,,-14.9702380952381,
massonville,153.0,69.75,573.133333333333,188.816666666667,-54.4117647058824,-63.0594050666431
ottawa,234.0,99.2666666666667,716.683333333334,236.666666666667,-57.5783475783476,-58.056338028169
dix30,352.0,81.1666666666667,732.916666666667,488.0,-76.9412878787879,-83.3674863387978
anjou,231.0,103.166666666667,797.216666666667,230.666666666667,-55.3391053391053,-55.2745664739883
eatonto,341.0,154.016666666667,1434.55,1340.95,-54.8338220918866,-88.5143617087388
limeridge,246.0,88.7333333333333,712.166666666667,249.133333333333,-63.929539295393,-64.3831950762644
chicoutimi,199.0,58.5,604.95,,-70.6030150753769,
stefoy,277.0,69.5,856.166666666667,,-74.9097472924188,
GMA,1661.0,576.2,5592.55,1745.75,-65.3100541842264,-66.9941285980238
mapleview,165.0,83.0666666666667,718.583333333333,,-49.6565656565657,
polopark,154.0,75.45,736.916666666667,,-51.0064935064935,
Fairview,152.0,69.9166666666667,733.666666666667,190.083333333333,-54.0021929824561,-63.2178868917141
GOA_QC,255.0,44.6666666666667,482.333333333333,,-82.4836601307189,
scarborough,166.0,51.7666666666667,656.983333333333,172.55,-68.8152610441767,-69.9990340963972
Grand_Total,6526.0,2196.35,21364.3000000001,5619.56666666667,-66.3446215139442,-60.9160255535718
gatineau,255.0,44.6666666666667,482.333333333333,,-82.4836601307189,
Ontario,2543.0,951.5,8544.78333333333,3035.65,-62.5835627211954,-68.6558068288505
westedmonton,261.0,61.5666666666667,477.883333333333,,-76.4112388250319,
squareone,242.0,75.6833333333333,701.766666666667,,-68.7258953168044,
guildford,178.0,41.5333333333333,500.033333333333,,-76.6666666666667,
REGIONAL_ON,153.0,69.75,573.133333333333,188.816666666667,-54.4117647058824,-63.0594050666431
COMP_ONT,1921.0,737.766666666667,6579.21666666666,1766.43333333333,-61.5946555613396,-58.2341063914102
COMP_TOTAL,3689.0,1368.68333333333,12535.4333333333,2856.26666666667,-62.8982560766242,-52.0813882924098
laval,349.0,143.583333333333,1267.33333333333,411.75,-58.8586437440306,-65.1285164946368
sherbrooke,182.0,51.8333333333333,738.233333333333,,-71.5201465201465,
stbruno,284.0,82.7,943.333333333333,33.5,-70.8802816901408,146.865671641791
GOA_ON,413.0,169.333333333333,1346.91666666667,483.8,-58.999192897498,-64.9993110100593
GTA,1977.0,712.416666666667,6624.73333333332,2363.03333333333,-63.9647614230315,-69.851603165423
gcapitale,254.0,96.75,800.75,298.916666666667,-61.9094488188976,-67.6331195985503
marketmall,249.0,80.5666666666667,910.033333333333,,-67.6439089692102,
mtltrust,293.0,95.6666666666667,1118.08333333333,391.75,-67.349260523322,-75.5796639012976
vaughan,215.0,54.9833333333333,545.216666666667,,-74.4263565891473,
