store,budget_orders,orders 2019-P10,orders 2019-P09,orders 2018-P10,budget_diff,yoy
anjou,164.0,111,541,482.0,-32.31707317073171,-76.97095435684648
bayshore,93.0,64,340,251.0,-31.182795698924732,-74.5019920318725
chicoutimi,124.0,58,305,,-53.225806451612904,
COMP_ONT,1141.0,699,3547,1287.0,-38.73794916739702,-45.687645687645684
COMP_QUE,1159.0,1190,7858,3850.0,2.67471958584987,-69.0909090909091
COMP_TOTAL,2300.0,1890,11405,5137.0,-17.82608695652174,-63.208098111738366
dix30,239.0,131,563,898.0,-45.18828451882845,-85.4120267260579
eatonto,215.0,164,855,639.0,-23.72093023255814,-74.33489827856025
Fairview,90.0,72,424,316.0,-20.0,-77.21518987341773
gatineau,169.0,47,295,,-72.18934911242603,
gcapitale,167.0,112,469,674.0,-32.93413173652694,-83.38278931750742
GMA,1126.0,840,4038,3349.0,-25.399644760213143,-74.91788593610033
GOA_ON,252.0,151,735,668.0,-40.07936507936508,-77.39520958083833
GOA_QC,169.0,47,295,,-72.18934911242603,
GQA,363.0,210,950,674.0,-42.14876033057851,-68.8427299703264
Grand_Total,3712.0,2771,15809,8931.0,-25.35021551724138,-68.97323927891614
GTA,1042.0,632,3347,2046.0,-39.34740882917466,-69.11045943304008
guildford,80.0,40,180,,-50.0,
laval,236.0,201,916,866.0,-14.830508474576272,-76.78983833718245
limeridge,150.0,93,402,388.0,-38.0,-76.03092783505154
mapleview,77.0,58,312,,-24.675324675324674,
marketmall,106.0,83,461,,-21.69811320754717,
massonville,87.0,76,304,231.0,-12.64367816091954,-67.0995670995671
mtltrust,192.0,159,862,745.0,-17.1875,-78.65771812080537
Ontario,1381.0,859,4386,2945.0,-37.79869659666908,-70.83191850594227
oshawa,81.0,65,291,175.0,-19.753086419753085,-62.857142857142854
ottawa,159.0,87,395,417.0,-45.283018867924525,-79.13669064748201
pacificcentre,46.0,56,228,,21.73913043478261,
polopark,61.0,73,364,,19.67213114754098,
Quebec,1955.0,1618,9981,5986.0,-17.237851662404093,-72.97026394921484
REGIONAL_ON,87.0,76,304,231.0,-12.64367816091954,-67.0995670995671
REGIONAL_QC,297.0,185,903,235.0,-37.71043771043771,-21.27659574468085
rivieres,71.0,61,247,235.0,-14.084507042253522,-74.04255319148936
scarborough,102.0,47,293,223.0,-53.92156862745098,-78.9237668161435
sherbrooke,102.0,66,351,,-35.294117647058826,
sherway,151.0,53,392,382.0,-64.90066225165563,-86.12565445026178
squareone,97.0,64,332,,-34.02061855670103,
stbruno,205.0,159,691,,-22.4390243902439,
stefoy,196.0,98,481,,-50.0,
uppercanada,103.0,50,275,239.0,-51.45631067961165,-79.07949790794979
vaughan,66.0,38,195,,-42.42424242424242,
West,376.0,294,1442,,-21.80851063829787,
westedmonton,83.0,41,209,,-50.602409638554214,
