store,budget_sales,sales 2019-P10,sales 2019-P09,sales 2018-P10,budget_diff,yoy
anjou,36149.0,22999.18,113530.19,101396.5,-36.37671858142687,-77.31757999536474
bayshore,20037.0,10222.64,74522.3,49769.2,-48.981184808105006,-79.45990693039069
chicoutimi,27248.0,16809.47,71892.11,,-38.30934380504991,
COMP_ONT,245355.0,148424.55,725362.84,255718.69,-39.50620529436938,-41.95787957462163
COMP_QUE,255311.0,238433.7037753692,1355990.5493342525,726104.0332522054,-6.610485339304135,-67.16259752649638
COMP_TOTAL,500666.0,387142.2537753692,2081353.3893342526,981822.7232522053,-22.674546748656944,-60.569026912211505
dix30,52675.0,34642.47,131764.37,216020.05,-34.23356430944471,-83.96330803552726
eatonto,46239.0,33214.9,169696.18,118158.75,-28.16691537446744,-71.88959768108583
Fairview,19850.0,14592.26,89765.59,61399.74,-26.48735516372796,-76.2340035967579
gatineau,37259.0,11649.01,61664.88,,-68.73504388201508,
gcapitale,36827.0,26094.44,101646.12,150853.47,-29.14318299074049,-82.70212809821345
GMA,247830.0,190871.31,868011.9958361271,712150.56,-22.982968163660573,-73.19789933184916
GOA_ON,54175.0,27752.69,153961.62,133908.24,-48.77214582371943,-79.27484522237019
GOA_QC,37259.0,11649.01,61664.88,,-68.73504388201508,
GQA,79999.0,50825.55,207452.12,150853.47,-36.46726834085426,-66.30800073740431
Grand_Total,786352.0,589596.4437753692,3007953.0693342523,1801267.5132522054,-25.021308043297502,-67.26769125420758
GTA,223976.0,134845.33,660624.83,422968.33,-39.79474140086438,-68.11928448638223
guildford,8500.0,6806.41,30675.65,,-19.924588235294117,
laval,51956.0,44343.9,191981.92,172002.09,-14.65105088921395,-74.21897606011647
limeridge,32209.0,20477.63,78561.96,84790.57,-36.422645844329224,-75.84916577397699
mapleview,16456.0,10555.61,59446.49,,-35.85555420515313,
marketmall,16000.0,18523.28,98569.19,,15.7705,
massonville,18676.0,16192.51,69472.93,53420.9,-13.29776183336903,-69.68881093354848
mtltrust,42172.0,32865.11,167225.74,158612.21,-22.068884567959785,-79.2795838353176
Ontario,296827.0,178790.53,884059.38,610297.47,-39.76608260030253,-70.70436323453872
oshawa,17400.0,15401.24,61673.53,39005.63,-11.48712643678161,-60.515340990518546
ottawa,34138.0,17530.05,79439.32,84139.04,-48.649452223328844,-79.165379115331
pacificcentre,12500.0,11126.78,41032.83,,-10.98576,
polopark,13000.0,14469.38,72394.62,,11.302923076923078,
Quebec,430525.0,350396.16377536923,1842995.7093342524,1190970.0432522052,-18.611889257216372,-70.57892717279978
REGIONAL_ON,18676.0,16192.51,69472.93,53420.9,-13.29776183336903,-69.68881093354848
REGIONAL_QC,65437.0,49337.07,204694.5,54003.83,-24.603710439048246,-8.641535239259882
rivieres,15682.0,14742.82,52809.33,54003.83,-5.988904476469838,-72.7004177296314
scarborough,22013.0,12432.7,58698.75,45312.44,-43.521101167491935,-72.56228091005472
sherbrooke,22507.0,17784.78,79993.06,,-20.98111698582663,
sherway,32413.0,10138.63,76887.49,86309.28,-68.7204825224447,-88.25314033438815
squareone,20880.0,13092.14,59866.54,,-37.298180076628356,
stbruno,45028.0,40988.09,167649.11,,-8.97199520298481,
stefoy,43172.0,24731.11,105806.0,,-42.7149309737793,
uppercanada,22230.0,12814.25,56410.38,49391.66,-42.35605038236617,-74.05584262606278
vaughan,14136.0,6718.23,39383.51,,-52.47432088285229,
West,59000.0,60409.75,280897.98,,2.3894067796610168,
westedmonton,9000.0,9199.9,38225.69,,2.221111111111111,
