store,budget_products,quantity 2019-P10,quantity 2019-P09,quantity 2018-P10,budget_diff,yoy
anjou,174.0,121,679,518.0,-30.45977011494253,-76.64092664092664
bayshore,100.0,73,427,276.0,-27.0,-73.55072463768116
chicoutimi,131.0,61,346,,-53.43511450381679,
COMP_ONT,1230.0,777,4072,1447.0,-36.829268292682926,-46.302695231513475
COMP_QUE,1227.0,1340,9731,4157.0,9.20945395273024,-67.76521529949483
COMP_TOTAL,2457.0,2118,13803,5604.0,-13.797313797313798,-62.20556745182013
dix30,253.0,154,694,993.0,-39.130434782608695,-84.49144008056395
eatonto,232.0,179,964,709.0,-22.844827586206897,-74.75317348377997
Fairview,95.0,78,482,343.0,-17.894736842105264,-77.25947521865889
gatineau,179.0,53,325,,-70.39106145251397,
gcapitale,177.0,124,521,720.0,-29.943502824858758,-82.77777777777777
GMA,1192.0,939,4746,3645.0,-21.2248322147651,-74.23868312757202
GOA_ON,271.0,172,865,736.0,-36.53136531365314,-76.6304347826087
GOA_QC,179.0,53,325,,-70.39106145251397,
GQA,384.0,232,1045,720.0,-39.583333333333336,-67.77777777777777
Grand_Total,3965.0,3105,18823,9862.0,-21.689785624211854,-68.51551409450416
GTA,1124.0,704,3774,2387.0,-37.36654804270463,-70.50691244239631
guildford,87.0,45,209,,-48.275862068965516,
laval,250.0,216,1037,928.0,-13.6,-76.72413793103448
limeridge,162.0,102,470,477.0,-37.03703703703704,-78.61635220125787
mapleview,83.0,64,336,,-22.89156626506024,
marketmall,114.0,100,573,,-12.280701754385966,
massonville,94.0,81,347,278.0,-13.829787234042554,-70.86330935251799
mtltrust,203.0,183,996,818.0,-9.852216748768473,-77.62836185819071
Ontario,1489.0,957,4986,3401.0,-35.72867696440564,-71.86121728903264
oshawa,87.0,74,355,203.0,-14.942528735632184,-63.54679802955665
ottawa,171.0,99,438,460.0,-42.10526315789474,-78.47826086956522
pacificcentre,50.0,64,241,,28.0,
polopark,66.0,81,428,,22.72727272727273,
Quebec,2069.0,1813,12144,6461.0,-12.37312711454809,-71.93932827735645
REGIONAL_ON,94.0,81,347,278.0,-13.829787234042554,-70.86330935251799
REGIONAL_QC,314.0,196,1038,248.0,-37.5796178343949,-20.967741935483872
rivieres,75.0,64,280,248.0,-14.666666666666666,-74.19354838709677
scarborough,110.0,54,317,265.0,-50.90909090909091,-79.62264150943396
sherbrooke,108.0,71,412,,-34.25925925925926,
sherway,163.0,58,447,449.0,-64.41717791411043,-87.08240534521158
squareone,105.0,72,355,,-31.428571428571427,
stbruno,217.0,180,806,,-17.05069124423963,
stefoy,207.0,108,524,,-47.82608695652174,
uppercanada,111.0,57,307,284.0,-48.648648648648646,-79.92957746478874
vaughan,71.0,44,223,,-38.028169014084504,
West,407.0,335,1693,,-17.69041769041769,
westedmonton,90.0,44,242,,-51.111111111111114,
