store,budget_sphw,sphw 2019-P10,sphw 2019-P09,sphw 2018-P10,budget_diff,yoy
bayshore,111.93854748603351,145.898763082778,118.245570423653,201.386026436472,30.3382671648316,-27.5526879076674
oshawa,117.56756756756756,206.174564926372,115.29917741634,204.289263268156,75.3668713166843,0.922858905091295
REGIONAL_QC,126.32625482625483,326.735562913907,112.721373765557,100.146184515531,158.644225116378,226.25862332602
rivieres,114.46715328467154,362.528360655738,111.70667371761,100.146184515531,216.70951032927,261.999173917122
uppercanada,107.3913043478261,208.023538961039,93.8296407185628,238.472648265873,93.7061293969188,-12.7683864486153
West,65.70155902004454,196.945500978048,86.7428668481758,,199.757728607267,
GQA,150.6572504708098,305.717593984963,125.203713725293,504.667309729579,102.922589539888,-39.4219542080547
sherway,131.22672064777328,153.926568825911,106.882197303183,426.53461823573,17.2981905408323,-63.9122917003559
Quebec,145.20236087689713,373.510221303714,193.029658976747,460.916583965765,157.234261927998,-18.9635968204917
COMP_QUE,144.4066742081448,377.916318228032,228.947394523502,666.252362672156,161.702805843524,-43.2773016050085
pacificcentre,223.21428571428572,233.674063703185,66.8922646379568,,4.68598053902696,
massonville,122.06535947712419,232.150681003584,121.215999767361,282.924706505428,90.1855546880937,-17.9461264196346
ottawa,145.88888888888889,176.595533915379,110.842985046859,355.517070422535,21.0479668879219,-50.3271295227839
dix30,149.64488636363637,426.806611909651,179.780834565094,442.664036885246,185.212961352059,-3.58227089943283
anjou,156.48917748917748,222.932277867528,142.408199360274,439.580202312139,42.4585913507954,-49.2851869363244
eatonto,135.5982404692082,215.65782923926,118.292272838172,88.1157015548678,59.04176078762,144.743928078442
limeridge,130.9308943089431,230.777197595793,110.314008893049,340.342132726786,76.2587804916793,-32.1925863992125
chicoutimi,136.9246231155779,287.341367521368,118.839755351682,,109.853685175984,
stefoy,155.85559566787003,355.843309352518,123.581078450457,,128.316030507383,
GMA,149.20529801324503,331.25878167303,155.208625016518,407.933873693255,122.015428462617,-18.7959610527172
mapleview,99.73333333333333,127.073956661316,82.7273431520352,,27.4137265989133,
polopark,84.41558441558442,191.774420145792,98.2399004862603,,127.1789284804,
Fairview,130.5921052631579,208.709320619786,122.352008178101,323.01485313459,59.8177165451254,-35.3870824841533
GOA_QC,146.1137254901961,260.798731343284,127.847021423635,,78.4902345541676,
scarborough,132.60843373493975,240.16806181584,89.3458738171948,262.60469429151,81.110699411391,-8.54388096001191
Grand_Total,120.49524977015017,268.443756129656,140.793429662299,320.534948706402,122.783683706805,-16.2513300927005
gatineau,146.1137254901961,260.798731343284,127.847021423635,,78.4902345541676,
Ontario,116.7231616201337,187.903867577509,103.461883761437,201.04342397839,60.9825033604105,-6.53568077028648
westedmonton,34.48275862068966,149.429886302112,79.9895860216929,,333.346670276123,
squareone,86.28099173553719,172.985774058577,85.3083266042844,,100.491174914635,
guildford,47.752808988764045,163.878250401284,61.3472101859876,,243.180336134454,
REGIONAL_ON,122.06535947712419,232.150681003584,121.215999767361,282.924706505428,90.1855546880937,-17.9461264196346
COMP_ONT,127.72254034357105,201.180883748249,110.250638753854,144.765548279961,57.5140012147243,38.9701390548988
COMP_TOTAL,135.71862293304417,282.857432648435,166.037609868632,343.743367771055,108.414605553418,-17.7126137785361
laval,148.87106017191977,308.837376668601,151.484944765913,417.734280510018,107.45293028205,-26.0684623987439
sherbrooke,123.66483516483517,343.114726688103,108.357420869644,,177.455370583528,
stbruno,158.54929577464787,495.623821039903,177.71990459364,,212.599194224333,
GOA_ON,131.17433414043583,163.893838582677,114.306715337499,276.784291029351,24.9435262291568,-40.7864377081656
GTA,113.29084471421345,189.27874137326,99.7209693975105,178.993805983834,67.0732898591524,5.74597279101074
gcapitale,144.98818897637796,269.709974160207,126.938645020293,504.667309729579,86.0220312181076,-46.5568763895707
marketmall,64.2570281124498,229.912453454696,108.313823669463,,257.80125568887,
mtltrust,143.93174061433447,343.537735191638,149.564647834836,404.881199744735,138.681012072346,-15.1509787542055
vaughan,65.74883720930232,122.186662625038,72.2346039800691,,85.8385148866946,
