store,tphw 2019-P10,tphw 2019-P09,tphw 2018-P10
anjou,15.7802907915994,9.06403528944453,31.8381502890173
bayshore,13.0732635585157,7.39567356005712,17.2133800917184
chicoutimi,20.0854700854701,8.40069427225391,
COMP_ONT,14.4585008810374,7.3910014616735,10.9729586926575
COMP_QUE,17.8010830801744,8.59825023989554,21.1371769383698
COMP_TOTAL,15.9993180794194,7.94164807492361,14.8512043693399
dix30,9.31416837782341,5.29391699829449,13.2786885245902
eatonto,16.7384482198896,8.17050643058799,7.71393415116149
Fairview,18.0214541120381,8.00227169468423,28.1139850942569
fairviewmall,0.0,,
gatineau,23.3507462686567,23.8942639944713,
gcapitale,17.0439276485788,8.09366219169529,30.6038472260942
GMA,18.6740715029504,8.86393505645905,23.7559788056709
GOA_ON,12.9153543307087,7.647095217472,20.601488218272
GOA_QC,23.3507462686567,23.8942639944713,
GQA,19.7233082706767,8.41321732132978,30.6038472260942
Grand_Total,17.1935256220548,8.23415698150651,17.8663242124244
GTA,14.9392911451632,7.32527598595165,13.6434808367776
guildford,19.1653290529695,6.70555296313579,
laval,18.3308183401045,9.45528669121515,27.2301153612629
limeridge,13.6025544703231,6.45073718698807,19.7524752475248
mapleview,12.3274478330658,6.13290038269744,
marketmall,19.1890773686388,7.43928793817076,
massonville,13.0465949820789,7.08561125974177,17.6149704298702
mtltrust,25.4843205574913,10.5841842438697,28.3139757498405
Ontario,14.4403573305307,7.35992915755617,14.9994235172039
oshawa,11.673360107095,6.57693026733969,15.2671089385475
ottawa,12.8038952316991,7.86818911188112,24.1394366197183
pacificcentre,29.3804690234512,8.6401304170629,
polopark,18.2637508283632,7.91405631572996,
Quebec,19.376054861691,9.28230784269914,21.2344309349502
REGIONAL_ON,13.0465949820789,7.08561125974177,17.6149704298702
REGIONAL_QC,20.4966887417219,7.4826535482213,7.87760778859527
rivieres,21.344262295082,7.72078265468006,7.87760778859527
scarborough,18.6413393432067,7.44158908140744,26.6241669081426
sherbrooke,20.2958199356913,6.57786607666953,
sherway,16.8825910931174,7.75126268476901,26.9730664689894
squareone,16.7275930411804,8.65672350733862,
stbruno,24.7400241837969,9.30530035335689,
stefoy,23.4532374100719,8.71208876776329,
uppercanada,13.5714285714286,6.60013306719893,19.3514122475255
vaughan,14.2406789936344,6.93302356861187,
West,19.0589002390785,7.5357828479081,
westedmonton,11.8083378451543,6.5873818574966,
