store,budget_upt,upt 2019-P10,upt 2019-P09,upt 2018-P10,budget_diff,yoy
anjou,1.0609756097560976,1.09009009009009,1.255083179297597,1.0746887966804979,2.7441234337786033,1.4330933249852202
bayshore,1.075268817204301,1.140625,1.2558823529411764,1.099601593625498,6.078124999999997,3.7307518115942035
chicoutimi,1.0564516129032258,1.0517241379310345,1.1344262295081966,,-0.447486180573833,
COMP_ONT,1.0780017528483785,1.111587982832618,1.1480124048491682,1.1243201243201244,3.1156006839038337,-1.132430276048418
COMP_QUE,1.0586712683347714,1.1260504201680672,1.2383558157291932,1.0797402597402597,6.3645017909364165,4.289009325163793
COMP_TOTAL,1.0682608695652174,1.1206349206349207,1.2102586584831214,1.0909090909090908,4.9027398233747395,2.7248677248677224
dix30,1.0585774058577406,1.1755725190839694,1.2326820603907638,1.1057906458797326,11.052107534019251,6.310586317966228
eatonto,1.0790697674418606,1.0914634146341462,1.127485380116959,1.109546165884194,1.1485492010092444,-1.6297430252158736
Fairview,1.0555555555555556,1.0833333333333333,1.1367924528301887,1.0854430379746836,2.6315789473684137,-0.19436345966958113
gatineau,1.0591715976331362,1.127659574468085,1.1016949152542372,,6.466183287768928,
gcapitale,1.0598802395209581,1.1071428571428572,1.1108742004264391,1.0682492581602374,4.459241323648098,3.640873015873011
GMA,1.058614564831261,1.1178571428571429,1.175334323922734,1.0883845924156466,5.596236816874405,2.7079169116206154
GOA_ON,1.0753968253968254,1.1390728476821192,1.1768707482993197,1.1017964071856288,5.921165171916619,3.383242153757562
GOA_QC,1.0591715976331362,1.127659574468085,1.1016949152542372,,6.466183287768928,
GQA,1.0578512396694215,1.1047619047619048,1.1,1.0682492581602374,4.434523809523812,3.4179894179894204
Grand_Total,1.0681573275862069,1.120534103211837,1.190650895059776,1.104243645728362,4.9034701417992075,1.4752593366955509
GTA,1.0786948176583493,1.1139240506329113,1.12757693456827,1.1666666666666667,3.265912878958515,-4.5207956600361685
guildford,1.0875,1.125,1.1611111111111112,,3.4482758620689653,
laval,1.0593220338983051,1.0746268656716418,1.1320960698689957,1.071593533487298,1.4447761194029844,0.28306742151312686
limeridge,1.08,1.096774193548387,1.1691542288557213,1.2293814432989691,1.553166069295102,-10.786501656860757
mapleview,1.077922077922078,1.103448275862069,1.0769230769230769,,2.3680930619027887,
marketmall,1.0754716981132075,1.2048192771084336,1.2429501084598698,,12.02705559078419,
massonville,1.0804597701149425,1.0657894736842104,1.1414473684210527,1.2034632034632036,-1.3577827547592383,-11.439795531995461
mtltrust,1.0572916666666667,1.150943396226415,1.1554524361948957,1.097986577181208,8.85770052978901,4.823084375144158
Ontario,1.0782041998551775,1.1140861466821885,1.136798905608755,1.1548387096774193,3.327936102626089,-3.5288532202574157
oshawa,1.0740740740740742,1.1384615384615384,1.2199312714776631,1.16,5.994694960212203,-1.8567639257294397
ottawa,1.0754716981132075,1.1379310344827587,1.1088607594936708,1.1031175059952039,5.807622504537208,3.155922038980511
pacificcentre,1.0869565217391304,1.1428571428571428,1.0570175438596492,,5.14285714285715,
polopark,1.0819672131147542,1.1095890410958904,1.1758241758241759,,2.552926525529264,
Quebec,1.058312020460358,1.1205191594561188,1.216711752329426,1.0793518209154693,5.87795827630314,3.814079685874117
REGIONAL_ON,1.0804597701149425,1.0657894736842104,1.1414473684210527,1.2034632034632036,-1.3577827547592383,-11.439795531995461
REGIONAL_QC,1.057239057239057,1.0594594594594595,1.149501661129568,1.0553191489361702,0.21001893613359335,0.39232781168265546
rivieres,1.056338028169014,1.0491803278688525,1.1336032388663968,1.0553191489361702,-0.6775956284152981,-0.5817028027498627
scarborough,1.0784313725490196,1.148936170212766,1.0819112627986347,1.188340807174888,6.537717601547394,-3.3159373745483713
sherbrooke,1.0588235294117647,1.0757575757575757,1.1737891737891737,,1.599326599326604,
sherway,1.0794701986754967,1.0943396226415094,1.1403061224489797,1.175392670157068,1.377474244704244,-6.895827205109893
squareone,1.0824742268041236,1.125,1.069277108433735,,3.9285714285714297,
stbruno,1.0585365853658537,1.1320754716981132,1.166425470332851,,6.947221980697326,
stefoy,1.0561224489795917,1.1020408163265305,1.0893970893970895,,4.347826086956524,
uppercanada,1.0776699029126213,1.14,1.1163636363636364,1.1882845188284519,5.78378378378378,-4.063380281690142
vaughan,1.0757575757575757,1.1578947368421053,1.1435897435897435,,7.635285396590066,
West,1.0824468085106382,1.1394557823129252,1.1740638002773924,,5.266676695248126,
westedmonton,1.0843373493975903,1.0731707317073171,1.1578947368421053,,-1.029810298102982,
