store,budget_dpt,dpt 2019-Q4,dpt 2019-Q3,dpt 2018-Q4,budget_diff,yoy
uppercanada,215.8252427184466,256.285,207.6329418742586,219.77957746478873,18.746536212325687,16.610015796877153
GQA,220.38292011019283,242.02642857142857,215.3672198275862,219.13633273703041,9.820864725094777,10.445595921269204
rivieres,220.8732394366197,241.6855737704918,202.67193931398418,220.0954342431762,9.422750527387565,9.809444526441832
Ontario,214.93627805937726,208.13798603026774,201.24453703017272,210.2227842273819,-3.1629337264467967,-0.9917089647424637
REGIONAL_ON,214.66666666666666,213.05934210526317,228.21564784053157,231.17840490797545,-0.7487536776724419,-7.837696955269203
polopark,213.11475409836066,198.21068493150685,197.2461858974359,,-6.9934478398314015,
stefoy,220.26530612244898,252.35826530612246,216.5971794871795,,14.570138052441397,
mapleview,213.71428571428572,181.99327586206897,208.9850444225074,,-14.842718513737784,
gatineau,220.46745562130178,247.85127659574468,195.7962619047619,,12.420799658286189,
COMP_QUE,220.2855910267472,200.3644569540918,172.98605792245942,187.6213300035253,-9.043321435507137,6.791939354830854
GOA_ON,214.98015873015873,183.79264900662253,200.5773221567739,205.681427953267,-14.507157268723812,-10.64207846301895
ottawa,214.70440251572327,201.4948275862069,200.9680956375839,209.0402435530086,-6.152447166773401,-3.6095518444458405
chicoutimi,219.74193548387098,289.81844827586207,225.95272413793103,243.87711409395973,31.890368416789844,18.83790299576954
GMA,220.09769094138542,227.22775,207.54807139200773,215.9188454637647,3.2394974377597547,5.237571788578836
vaughan,214.1818181818182,176.7955263157895,190.72579937304076,,-17.455399428111875,
guildford,106.25,170.16025,183.8043761301989,,60.15082352941177,
westedmonton,108.43373493975903,224.38780487804877,191.92084615384616,,106.93542005420055,
Quebec,220.2173913043478,216.56128787105638,186.7494832215324,199.70341616940706,-1.660224658750312,8.441453844409402
Grand_Total,211.8405172413793,212.77388804596507,192.0592624673036,202.92615566484412,0.44060070129183293,4.852864998529622
scarborough,215.81372549019608,264.52553191489363,207.18048109965636,214.74317135549873,22.57122725352814,23.182278740301452
GTA,214.94817658349328,213.36286392405063,199.0398574043742,209.26389163996504,-0.7375324995263959,1.9587575534234065
GOA_QC,220.46745562130178,247.85127659574468,195.7962619047619,,12.420799658286189,
anjou,220.42073170731706,207.19981981981982,203.86128651336233,207.89515550239236,-5.99803466084691,-0.33446459148708885
REGIONAL_QC,220.32659932659934,266.68686486486484,219.18153199268738,223.80587434554974,21.041610808663087,19.159903932239118
oshawa,214.8148148148148,236.94215384615384,211.0141591928251,224.77301533219762,10.300657824933687,5.4139677291649795
West,156.91489361702128,205.47534013605443,197.9027059819413,,30.94699642568892,
sherway,214.65562913907286,191.29490566037737,199.01339255499153,215.55998360655738,-10.8828841677198,-11.256763681365333
COMP_ONT,215.0350569675723,212.33841201716737,202.09910230489285,204.35661482159196,-1.2540489855156884,3.9058178775097283
marketmall,150.9433962264151,223.1720481927711,209.41021060275963,,47.85148192771084,
massonville,214.66666666666666,213.05934210526317,228.21564784053157,231.17840490797545,-0.7487536776724419,-7.837696955269203
mtltrust,219.64583333333334,206.69880503144654,192.32603596559812,210.703273155416,-5.894502119800493,-1.9005248774734276
pacificcentre,271.7391304347826,198.6925,188.26606382978724,,-26.88116,
Fairview,220.55555555555554,202.67027777777778,196.19975,201.47896434634976,-8.10919395465995,0.5912842739156237
limeridge,214.72666666666666,220.18956989247312,196.80934294871795,216.54486142322096,2.544119605920605,1.6831193524046872
dix30,220.39748953974896,264.4463358778626,227.06453107344632,234.27859112306658,19.986092595745916,12.876867924713146
squareone,215.2577319587629,204.5646875,187.67339981867633,,-4.967554178639847,
eatonto,215.06511627906977,202.5298780487805,193.45433320448396,191.21542804257288,-5.828578082381096,5.917121919518186
gcapitale,220.52095808383234,232.98607142857142,214.1158695652174,219.13633273703041,5.652575362020878,6.3201471515730265
bayshore,215.4516129032258,159.72875,200.1184039408867,200.5569398907104,-25.863284174277588,-20.357405688857696
COMP_TOTAL,217.6808695652174,204.83717130971917,182.80987839171382,191.64669982534417,-5.900242075085171,6.882702126567287
stbruno,219.64878048780488,257.78672955974844,233.67002271694685,241.30681397006416,17.363150838918955,6.829444771389146
sherbrooke,220.65686274509804,269.4663636363636,225.16467028003612,,22.120091930995205,
laval,220.15254237288136,220.61641791044775,199.29546482856134,205.1541826923077,0.21070641863436687,7.53688519299189
