district,retail_sales 2019-Q3,retail_sales 2019-Q2,retail_sales 2018-Q3,webcs_sales 2019-Q3,webcs_sales 2019-Q2,webcs_sales 2018-Q3,total_sales 2019-Q3,total_sales 2018-Q3
Nova Scotia,2829.8,2423.75,3037.0,8881.32,6240.95,4345.75,11711.12,7382.75
Alberta,331961.32,21042.15,3707.85,32279.56,23197.15,31271.28,364240.88,34979.13
Prince Edward Island,,,,1015.98,393.0,,,
Yukon,713.75,,,252.5,61.65,998.1,966.25,
Rest of US,7364.25,4349.25,2418.79,151564.79,126379.84,267465.54,158929.04,269884.33
International,2780.5,4097.73,3052.23,12524.35,14038.5,25178.95,15304.85,28231.18
Texas,537.5,,,15850.2,15663.6,31965.8,16387.7,
Manitoba,94365.96,711.2,963.25,9699.28,4756.61,5991.0,104065.24,6954.25
New York,1517.75,2201.21,2165.0,23283.85,19318.0,36612.25,24801.6,38777.25
Ontario,2388470.42,2315850.19,1778844.75,251723.28,163815.76,142232.56,2640193.7,1921077.31
United States,9954.75,7405.21,5097.79,234736.54,202701.19,427559.03,244691.29,400691.02
Canada,6410113.48,6219785.03,4444653.71,750153.92,569570.64,537806.86,7159251.42,4981462.47
California,535.25,854.75,514.0,44037.7,41339.75,91515.44,44572.95,92029.44
British Columbia,165313.68,5783.59,2348.15,26655.2,13186.06,21946.75,191968.88,24294.9
Rest of CAN,1462.5,1471.95,1437.95,1531.22,2035.0,1765.34,2993.72,3203.29
Quebec,3419288.35,3869705.45,2653279.26,408579.68,349045.5,321332.81,3827868.03,2974612.07
Saskatchewan,1777.6,651.75,195.0,5081.15,3754.0,5226.3,6858.75,5421.3
New Brunswick,3930.1,2145.0,840.5,4454.75,3084.96,2696.97,8384.85,3537.47
