store,budget_worked,worked 2019-Q4,worked 2019-Q3,worked 2018-Q4,budget_diff,yoy
squareone,242.0,75.6833333333333,2485.05,,-68.7258953168044,
stbruno,284.0,82.7,2986.3,2816.16666666667,-70.8802816901408,-97.0633840326685
westedmonton,261.0,61.5666666666667,1629.13333333333,,-76.4112388250319,
Ontario,2543.0,951.5,29436.0333333334,20994.0333333334,-62.5835627211954,-95.4677598873331
sherway,247.0,65.8666666666667,2424.76666666667,2121.6,-73.3333333333333,-96.8954248366013
scarborough,166.0,51.7666666666667,2283.31666666667,1801.8,-68.8152610441767,-97.1269471269471
Fairview,152.0,69.9166666666667,2274.5,2107.58333333333,-54.0021929824561,-96.6826143687478
COMP_QUE,1768.0,630.916666666667,17058.7333333333,9841.96666666667,-64.3146681749623,-93.589526483528
pacificcentre,56.0,47.6166666666667,1455.88333333333,,-14.9702380952381,
West,898.0,306.733333333333,9265.23333333335,,-65.8426132145509,
gatineau,255.0,44.6666666666667,1784.2,,-82.4836601307189,
vaughan,215.0,54.9833333333333,1958.55,,-74.4263565891473,
laval,349.0,143.583333333333,4090.38333333334,3720.43333333333,-58.8586437440306,-96.1406825369805
REGIONAL_ON,153.0,69.75,2014.2,1900.28333333333,-54.4117647058824,-96.3294947244709
GOA_ON,413.0,169.333333333333,4580.31666666666,4226.48333333333,-58.999192897498,-95.993517068958
Grand_Total,6526.0,2196.35,70342.7333333326,44510.7166666664,-66.3446215139442,-95.0655703514097
gcapitale,254.0,96.75,2686.25,2844.31666666666,-61.9094488188976,-96.5984800098442
massonville,153.0,69.75,2014.2,1900.28333333333,-54.4117647058824,-96.3294947244709
GMA,1661.0,576.2,18374.7,18301.05,-65.3100541842264,-96.8515467691744
stefoy,277.0,69.5,2490.83333333333,,-74.9097472924188,
eatonto,341.0,154.016666666667,4634.35,4437.81666666666,-54.8338220918866,-96.5294495416289
anjou,231.0,103.166666666667,2764.71666666666,2391.33333333333,-55.3391053391053,-95.6858098689713
mtltrust,293.0,95.6666666666667,3630.63333333333,3251.58333333333,-67.349260523322,-97.0578436146493
sherbrooke,182.0,51.8333333333333,2517.91666666667,,-71.5201465201465,
uppercanada,207.0,61.6,2055.56666666667,2072.66666666667,-70.2415458937198,-97.0279832743647
Quebec,2965.0,938.116666666666,31585.7166666668,23506.6833333334,-68.3603147835863,-96.0091491710514
ottawa,234.0,99.2666666666667,2411.45,2237.33333333333,-57.5783475783476,-95.5631704410012
COMP_TOTAL,3689.0,1368.68333333333,37505.9499999999,18427.4,-62.8982560766242,-92.5725640441227
polopark,154.0,75.45,1639.45,,-51.0064935064935,
REGIONAL_QC,518.0,151.0,6249.73333333335,2361.31666666666,-70.8494208494209,-93.6052626006677
GOA_QC,255.0,44.6666666666667,1784.2,,-82.4836601307189,
mapleview,165.0,83.0666666666667,2545.4,238.5,-49.6565656565657,-65.1712089447938
chicoutimi,199.0,58.5,2061.48333333333,501.816666666667,-70.6030150753769,-88.3423561061477
rivieres,137.0,40.6666666666667,1670.33333333333,1859.5,-70.316301703163,-97.8130321771085
marketmall,249.0,80.5666666666667,2760.53333333333,,-67.6439089692102,
GTA,1977.0,712.416666666667,22841.5166666667,14867.2666666667,-63.9647614230315,-95.2081530341825
guildford,178.0,41.5333333333333,1780.23333333333,,-76.6666666666667,
COMP_ONT,1921.0,737.766666666667,20391.4666666667,8575.43333333334,-61.5946555613396,-91.3967418556108
GQA,531.0,166.25,5177.08333333333,2844.31666666666,-68.6911487758945,-94.1550108696289
limeridge,246.0,88.7333333333333,2614.8,2589.28333333333,-63.929539295393,-96.57305432005
oshawa,148.0,74.7,1839.71666666667,1605.6,-49.527027027027,-95.347533632287
bayshore,179.0,70.0666666666667,2168.86666666666,1989.15,-60.8566108007449,-96.4775574156465
dix30,352.0,81.1666666666667,2628.16666666667,4013.94999999999,-76.9412878787879,-97.9778854577992
