store,budget_orders,orders 2019-Q4,orders 2019-Q3,orders 2018-Q4,budget_diff,yoy
uppercanada,103.0,50,843,781.0,-51.45631067961165,-93.59795134443021
GQA,363.0,210,2784,2236.0,-42.14876033057851,-90.60822898032201
rivieres,71.0,61,758,806.0,-14.084507042253522,-92.43176178660049
Ontario,1381.0,859,13489,9992.0,-37.79869659666908,-91.4031224979984
REGIONAL_ON,87.0,76,903,815.0,-12.64367816091954,-90.67484662576688
polopark,61.0,73,624,,19.67213114754098,
stefoy,196.0,98,1404,,-50.0,
mapleview,77.0,58,1013,,-24.675324675324674,
gatineau,169.0,47,840,,-72.18934911242603,
COMP_QUE,1159.0,1190,19412,13786.0,2.67471958584987,-91.36805454809227
GOA_ON,252.0,151,2207,2311.0,-40.07936507936508,-93.46603202077023
ottawa,159.0,87,1192,1396.0,-45.283018867924525,-93.76790830945559
chicoutimi,124.0,58,870,149.0,-53.225806451612904,-61.07382550335571
GMA,1126.0,840,12296,12819.0,-25.399644760213143,-93.44722677275918
vaughan,66.0,38,638,,-42.42424242424242,
guildford,80.0,40,553,,-50.0,
westedmonton,83.0,41,520,,-50.602409638554214,
Quebec,1955.0,1618,27214,22600.0,-17.237851662404093,-92.84070796460178
Grand_Total,3712.0,2771,44247,32592.0,-25.35021551724138,-91.49791359842907
scarborough,102.0,47,873,782.0,-53.92156862745098,-93.98976982097187
GTA,1042.0,632,10379,6866.0,-39.34740882917466,-90.79522283716865
GOA_QC,169.0,47,840,,-72.18934911242603,
anjou,164.0,111,1609,1672.0,-32.31707317073171,-93.36124401913875
REGIONAL_QC,297.0,185,2735,955.0,-37.71043771043771,-80.6282722513089
oshawa,81.0,65,892,587.0,-19.753086419753085,-88.9267461669506
West,376.0,294,3544,,-21.80851063829787,
sherway,151.0,53,1182,1220.0,-64.90066225165563,-95.65573770491804
COMP_ONT,1141.0,699,9892,4372.0,-38.73794916739702,-84.01189387008235
marketmall,106.0,83,1377,,-21.69811320754717,
massonville,87.0,76,903,815.0,-12.64367816091954,-90.67484662576688
mtltrust,192.0,159,2558,2548.0,-17.1875,-93.75981161695448
pacificcentre,46.0,56,470,,21.73913043478261,
Fairview,90.0,72,1200,1178.0,-20.0,-93.88794567062818
limeridge,150.0,93,1248,1335.0,-38.0,-93.03370786516854
dix30,239.0,131,1770,2974.0,-45.18828451882845,-95.59515803631473
squareone,97.0,64,1103,,-34.02061855670103,
eatonto,215.0,164,2587,2161.0,-23.72093023255814,-92.41092086996761
gcapitale,167.0,112,1380,2236.0,-32.93413173652694,-94.99105545617174
bayshore,93.0,64,1015,915.0,-31.182795698924732,-93.00546448087432
COMP_TOTAL,2300.0,1890,29304,18158.0,-17.82608695652174,-89.59136468774093
stbruno,205.0,159,2201,1403.0,-22.4390243902439,-88.6671418389166
sherbrooke,102.0,66,1107,,-35.294117647058826,
laval,236.0,201,2829,2912.0,-14.830508474576272,-93.09752747252747
