store,budget_sales,sales 2019-Q4,sales 2019-Q3,sales 2018-Q4,budget_diff,yoy
sherbrooke,22507.0,17784.78,249257.29,,-20.98111698582663,
bayshore,20037.0,10222.64,203120.18,183509.6,-48.981184808105006,-94.42937045255398
massonville,18676.0,16192.51,206078.73,188410.4,-13.29776183336903,-91.40572388785333
West,59000.0,60409.75,701367.19,,2.3894067796610168,
ottawa,34138.0,17530.05,239553.97,291820.18,-48.649452223328844,-93.99285889001919
uppercanada,22230.0,12814.25,175034.57,171647.85,-42.35605038236617,-92.53457005141631
gcapitale,36827.0,26094.44,295479.9,489988.84,-29.14318299074049,-94.6744827902611
scarborough,22013.0,12432.7,180868.56,167929.16,-43.521101167491935,-92.59646150793584
dix30,52675.0,34642.47,401904.22,696744.53,-34.23356430944471,-95.02795235435863
stefoy,43172.0,24731.11,304102.44,,-42.7149309737793,
mapleview,16456.0,10555.61,211701.85,,-35.85555420515313,
stbruno,45028.0,40988.09,514307.72,338553.46,-8.97199520298481,-87.89317054978555
marketmall,16000.0,18523.28,288357.86,,15.7705,
squareone,20880.0,13092.14,207003.76,,-37.298180076628356,
GOA_ON,54175.0,27752.69,442674.15,475329.78,-48.77214582371943,-94.1613820198684
oshawa,17400.0,15401.24,188224.63,131941.76,-11.48712643678161,-88.32724377786077
GMA,247830.0,190871.31,2552011.085836127,2767863.68,-22.982968163660573,-93.10402057083968
GQA,79999.0,50825.55,599582.34,489988.84,-36.46726834085426,-89.62720252975558
polopark,13000.0,14469.38,123081.62,,11.302923076923078,
GTA,223976.0,134845.33,2065834.68,1436805.88,-39.79474140086438,-90.6149235692159
limeridge,32209.0,20477.63,245618.06,289087.39,-36.422645844329224,-92.91645685410215
Quebec,430525.0,350396.16377536923,5082200.436390782,4513297.205428599,-18.611889257216372,-92.23635963184715
Grand_Total,786352.0,589596.4437753692,8498046.186390782,6613769.2654286,-25.021308043297502,-91.08531882330249
REGIONAL_QC,65437.0,49337.07,599461.49,213734.61,-24.603710439048246,-76.91666782464478
chicoutimi,27248.0,16809.47,196578.87,36337.69,-38.30934380504991,-53.74095051171387
vaughan,14136.0,6718.23,121683.06,,-52.47432088285229,
sherway,32413.0,10138.63,235233.83,262983.18,-68.7204825224447,-96.14476104517406
pacificcentre,12500.0,11126.78,88485.05,,-10.98576,
rivieres,15682.0,14742.82,153625.33,177396.92,-5.988904476469838,-91.6893596574281
GOA_QC,37259.0,11649.01,164468.86,,-68.73504388201508,
anjou,36149.0,22999.18,328012.81,347600.7,-36.37671858142687,-93.38344830720997
mtltrust,42172.0,32865.11,491970.0,536871.94,-22.068884567959785,-93.87840794957546
westedmonton,9000.0,9199.9,99798.84,,2.221111111111111,
guildford,8500.0,6806.41,101643.82,,-19.924588235294117,
gatineau,37259.0,11649.01,164468.86,,-68.73504388201508,
eatonto,46239.0,33214.9,500466.36,413216.54,-28.16691537446744,-91.96186580527488
REGIONAL_ON,18676.0,16192.51,206078.73,188410.4,-13.29776183336903,-91.40572388785333
COMP_TOTAL,500666.0,387142.2537753692,5357060.676390782,3479920.7754285997,-22.674546748656944,-88.87496932375745
COMP_QUE,255311.0,238433.7037753692,3358005.356390782,2586547.6554285996,-6.610485339304135,-90.78177804785662
Ontario,296827.0,178790.53,2714587.56,2100546.06,-39.76608260030253,-91.48837850287367
Fairview,19850.0,14592.26,235439.7,237342.22,-26.48735516372796,-93.85180605456543
COMP_ONT,245355.0,148424.55,1999164.32,893447.12,-39.50620529436938,-83.38742756258479
laval,51956.0,44343.9,563806.87,597408.98,-14.65105088921395,-92.57729604265407
