store,budget_products,quantity 2019-Q4,quantity 2019-Q3,quantity 2018-Q4,budget_diff,yoy
marketmall,114.0,100,1742,,-12.280701754385966,
gatineau,179.0,53,919,,-70.39106145251397,
westedmonton,90.0,44,637,,-51.111111111111114,
pacificcentre,50.0,64,502,,28.0,
ottawa,171.0,99,1372,1559.0,-42.10526315789474,-93.64977549711354
gcapitale,177.0,124,1557,2473.0,-29.943502824858758,-94.98584714921148
stefoy,207.0,108,1595,,-47.82608695652174,
squareone,105.0,72,1252,,-31.428571428571427,
GMA,1192.0,939,14894,14463.0,-21.2248322147651,-93.507571043352
REGIONAL_ON,94.0,81,1047,974.0,-13.829787234042554,-91.68377823408625
scarborough,110.0,54,975,897.0,-50.90909090909091,-93.9799331103679
guildford,87.0,45,630,,-48.275862068965516,
sherbrooke,108.0,71,1350,,-34.25925925925926,
eatonto,232.0,179,2895,2441.0,-22.844827586206897,-92.6669397787792
rivieres,75.0,64,851,880.0,-14.666666666666666,-92.72727272727273
oshawa,87.0,74,1090,709.0,-14.942528735632184,-89.56276445698167
COMP_ONT,1230.0,777,11420,4974.0,-36.829268292682926,-84.37876960193003
COMP_QUE,1227.0,1340,23836,15791.0,9.20945395273024,-91.51415363181559
laval,250.0,216,3281,3174.0,-13.6,-93.19470699432893
West,407.0,335,4251,,-17.69041769041769,
dix30,253.0,154,2260,3408.0,-39.130434782608695,-95.48122065727699
Quebec,2069.0,1813,33009,25743.0,-12.37312711454809,-92.95730878297013
Grand_Total,3965.0,3105,52801,37336.0,-21.689785624211854,-91.68362974073281
uppercanada,111.0,57,982,926.0,-48.648648648648646,-93.84449244060475
limeridge,162.0,102,1468,1634.0,-37.03703703703704,-93.75764993880048
Fairview,95.0,78,1425,1338.0,-17.894736842105264,-94.17040358744394
mapleview,83.0,64,1151,,-22.89156626506024,
bayshore,100.0,73,1210,1033.0,-27.0,-92.93320425943853
GTA,1124.0,704,11912,8027.0,-37.36654804270463,-91.22960009966364
GOA_ON,271.0,172,2582,2592.0,-36.53136531365314,-93.3641975308642
vaughan,71.0,44,736,,-38.028169014084504,
anjou,174.0,121,2096,1867.0,-30.45977011494253,-93.51901446170326
sherway,163.0,58,1363,1420.0,-64.41717791411043,-95.91549295774648
mtltrust,203.0,183,2980,2868.0,-9.852216748768473,-93.61924686192468
chicoutimi,131.0,61,1049,199.0,-53.43511450381679,-69.34673366834171
massonville,94.0,81,1047,974.0,-13.829787234042554,-91.68377823408625
polopark,66.0,81,740,,22.72727272727273,
stbruno,217.0,180,2703,1665.0,-17.05069124423963,-89.1891891891892
REGIONAL_QC,314.0,196,3250,1079.0,-37.5796178343949,-81.83503243744208
Ontario,1489.0,957,15541,11593.0,-35.72867696440564,-91.74501854567411
GOA_QC,179.0,53,919,,-70.39106145251397,
COMP_TOTAL,2457.0,2118,35256,20765.0,-13.797313797313798,-89.80014447387431
GQA,384.0,232,3152,2473.0,-39.583333333333336,-90.61868176304084
