store,budget_sphw,sphw 2019-Q4,sphw 2019-Q3,sphw 2018-Q4,budget_diff,yoy
squareone,86.28099173553719,172.985774058577,83.2996358222169,,100.491174914635,
stbruno,158.54929577464787,495.623821039903,172.222388909353,120.21783511866,212.599194224333,312.271457517681
westedmonton,34.48275862068966,149.429886302112,61.2588533780742,,333.346670276123,
Ontario,116.7231616201337,187.903867577509,92.2198833402596,100.054431020877,60.9825033604105,87.8016452247888
sherway,131.22672064777328,153.926568825911,97.0129758189791,123.955118778281,17.2981905408323,24.1792758080774
scarborough,132.60843373493975,240.16806181584,79.2130862269068,93.200777000777,81.110699411391,157.688905119147
Fairview,130.5921052631579,208.709320619786,103.512728072104,112.613445099047,59.8177165451254,85.3325066436069
COMP_QUE,144.4066742081448,377.916318228032,196.84963067153,262.808008097494,161.702805843524,43.7993921737105
pacificcentre,223.21428571428572,233.674063703185,60.7775691733541,,4.68598053902696,
West,65.70155902004454,196.945500978048,75.6988156441463,,199.757728607267,
gatineau,146.1137254901961,260.798731343284,92.180730859769,,78.4902345541676,
vaughan,65.74883720930232,122.186662625038,62.1291567741441,,85.8385148866946,
laval,148.87106017191977,308.837376668601,137.83717174022,160.575106842393,107.45293028205,92.3320387211261
REGIONAL_ON,122.06535947712419,232.150681003584,102.312943103962,99.148583106028,90.1855546880937,134.144224487127
GOA_ON,131.17433414043583,163.893838582677,96.6470622482435,112.464605325941,24.9435262291568,45.7292613153141
Grand_Total,120.49524977015017,268.443756129656,120.809155170601,148.588244825579,122.783683706805,80.6628488308548
gcapitale,144.98818897637796,269.709974160207,109.997170777106,172.26944022876,86.0220312181076,56.5628667522534
massonville,122.06535947712419,232.150681003584,102.312943103962,99.148583106028,90.1855546880937,134.144224487127
GMA,149.20529801324503,331.25878167303,138.88722459883,151.240703675473,122.015428462617,119.027532683156
stefoy,155.85559566787003,355.843309352518,122.088634325862,,128.316030507383,
eatonto,135.5982404692082,215.65782923926,107.990626517203,93.1125756284059,59.04176078762,131.609777501922
anjou,156.48917748917748,222.932277867528,118.642468486825,145.358530805687,42.4585913507954,53.3671788176918
mtltrust,143.93174061433447,343.537735191638,135.505283742965,165.110927496861,138.681012072346,108.0648085501
sherbrooke,123.66483516483517,343.114726688103,98.993462849578,,177.455370583528,
uppercanada,107.3913043478261,208.023538961039,85.1514926946341,82.8149807011901,93.7061293969188,151.190711148773
Quebec,145.20236087689713,373.510221303714,160.901856051731,192.000595806239,157.234261927998,94.5359699199316
ottawa,145.88888888888889,176.595533915379,99.340218540712,130.432142431466,21.0479668879219,35.3926498663234
COMP_TOTAL,135.71862293304417,282.857432648435,142.832288647289,188.844914389908,108.414605553418,49.7829229673714
polopark,84.41558441558442,191.774420145792,75.0749458659917,,127.1789284804,
REGIONAL_QC,126.32625482625483,326.735562913907,95.9179308983848,90.5150135164704,158.644225116378,260.973887336881
GOA_QC,146.1137254901961,260.798731343284,92.180730859769,,78.4902345541676,
mapleview,99.73333333333333,127.073956661316,83.1703661507032,,27.4137265989133,
chicoutimi,136.9246231155779,287.341367521368,95.3579720104455,72.4122820419144,109.853685175984,296.813025938123
rivieres,114.46715328467154,362.528360655738,91.9728577130313,95.4003334229631,216.70951032927,280.007435664241
marketmall,64.2570281124498,229.912453454696,104.457300521638,,257.80125568887,
GTA,113.29084471421345,189.27874137326,90.442097613191,96.6422350667462,67.0732898591524,95.8550950757029
guildford,47.752808988764045,163.878250401284,57.095785196697,,243.180336134454,
COMP_ONT,127.72254034357105,201.180883748249,98.0392608672909,104.186818936264,57.5140012147243,93.0962916444562
GQA,150.6572504708098,305.717593984963,115.814697464789,172.26944022876,102.922589539888,77.4647863132275
limeridge,130.9308943089431,230.777197595793,93.9337846106778,111.64764638864,76.2587804916793,106.701354717741
oshawa,117.56756756756756,206.174564926372,102.311749091799,82.1759840558047,75.3668713166843,150.893940967426
bayshore,111.93854748603351,145.898763082778,93.6526818922326,92.2552849206948,30.3382671648316,58.1467806513163
dix30,149.64488636363637,426.806611909651,152.921892320375,173.580769566138,185.212961352059,145.883580869266
