store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
Alberta,26896,1683,0.06257436049970255,18782.85,11.160338680926916,2142,1.2727272727272727,0.0,4.91564672732507
anjou,21680,1444,0.06660516605166052,288903.7,200.07181440443213,1931,1.3372576177285318,9.89883394953887,117.378499167107
bayshore,13826,904,0.06538405901923912,174488.71,193.01848451327433,1074,1.1880530973451326,6.86284650393049,90.2403340918494
British Columbia,22855,890,0.03894115073288121,,,1011,1.1359550561797753,,
chicoutimi,15178,764,0.050336012649888,167602.32,219.37476439790575,943,1.2342931937172774,8.86248438992139,92.3394843164622
dix30,11985,1586,0.13233208176887776,353450.34,222.85645649432536,2054,1.2950819672131149,8.1868054578703,149.156142917429
eatonto,33999,2326,0.06841377687579046,439395.72,188.90615649183147,2625,1.1285468615649183,9.85227620232004,107.495232309229
Fairview,16281,1073,0.0659050426877956,205119.0,191.16402609506056,1296,1.207828518173346,7.80080080080079,102.662162162162
gatineau,19044,731,0.03838479311069103,142018.83,194.2802051983584,806,1.1025991792065664,12.9434527524654,88.6398889027587
GCA,18690,1222,0.06538255751738897,18782.85,15.37058101472995,1570,1.2847790507364976,0.0,7.9050735464321
gcapitale,19648,1212,0.061685667752442996,256178.57,211.36845709570957,1373,1.1328382838283828,9.75536207262688,108.803809726056
GEA,8206,461,0.05617840604435779,,,572,1.2407809110629067,,
GMA,147832,11068,0.07486876995508415,2536764.0166522795,229.19804993244304,13629,1.2313877846042645,10.0141081956912,156.284555323982
GOA,49119,2705,0.05507033937987337,577325.69,213.42909057301293,3124,1.1548983364140482,9.48377576776831,102.024137981816
GQA,41268,2432,0.058931860036832415,586588.0063100556,241.19572627880575,2769,1.1385690789473684,10.9481857548156,131.384501935954
Grand_Total,499414,40043,0.08017997092592519,7503281.93707265,187.38061426647977,48605,1.213820143345903,7.64406414964047,121.542557930697
GTA,142949,9395,0.06572274027800125,1729187.96,184.05406705694517,10858,1.1557211282597126,7.25573152661401,85.5985617968627
guildford,11471,501,0.04367535524365792,91291.36,182.21828343313373,584,1.1656686626746506,,57.5220700663698
GVA,22855,890,0.03894115073288121,,,1011,1.1359550561797753,,
GWA,11394,505,0.044321572757591715,,,612,1.2118811881188118,,
laval,36124,2554,0.07070091905658288,496204.3,194.28516053249805,3007,1.1773688332028192,11.5200066913565,138.344995190587
limeridge,13908,1135,0.08160770779407535,215879.16,190.20190308370044,1332,1.173568281938326,5.97721535281876,92.631459404567
Manitoba,11394,505,0.044321572757591715,,,612,1.2118811881188118,,
mapleview,13907,934,0.06716042280865751,193985.74,207.69351177730192,1074,1.1498929336188437,6.24917571222169,86.2382425073167
marketmall,18690,1222,0.06538255751738897,247187.24,202.280883797054,1570,1.2847790507364976,0.0,104.032844426674
massonville,11456,791,0.06904678770949721,177110.15,223.9066371681416,919,1.161820480404551,6.66032935387368,99.035507590796
mtltrust,34368,2319,0.06747555865921788,437790.04,188.7839758516602,2738,1.1806813281586892,10.6619794709171,137.003475757323
Ontario,184480,12160,0.06591500433651344,2331641.74,191.74685361842106,14095,1.1591282894736843,7.34903632035628,89.520146663595
oshawa,10411,801,0.07693785419268082,164392.73,205.2343695380774,984,1.2284644194756553,6.00031054293256,102.102000931629
ottawa,16249,1070,0.06585020616653332,211346.04,197.51966355140186,1244,1.1626168224299065,9.25990186457311,99.5545625122669
pacificcentre,11384,389,0.034170765987350665,73067.33,187.8337532133676,427,1.0976863753213368,,60.4320049624371
polopark,11394,505,0.044321572757591715,95306.09,188.7249306930693,612,1.2118811881188118,,76.1605876163712
Quebec,253789,24805,0.09773867267690876,3878778.952962335,156.37085075437756,30745,1.2394678492239468,10.090453514712,139.539648317586
REGIONAL_ON,11456,791,0.06904678770949721,182561.7,230.79860935524653,919,1.161820480404551,6.66032935387368,102.083876198731
REGIONAL_QC,45645,2449,0.05365319312082375,597993.32,244.17857084524294,2961,1.2090649244589629,8.78801105776224,108.757696784519
rivieres,12071,674,0.05583630188054014,135649.64,201.2605934718101,762,1.1305637982195846,8.85741734953376,91.9918440237355
scarborough,14304,794,0.055508948545861296,160998.46,202.76884130982367,901,1.1347607052896724,7.97828169913766,79.1088912365182
sherbrooke,18396,1011,0.05495759947814742,221757.17,219.34438180019782,1256,1.2423343224530168,8.68047538200339,100.399397849462
sherway,15879,1061,0.06681780968574848,206370.51,194.5056644674835,1220,1.1498586239396795,8.03446854511942,96.2990690693026
squareone,17666,1002,0.05671912147628212,188152.34,187.7767864271457,1151,1.1487025948103793,6.70241893512547,85.1502907700315
stbruno,27394,1968,0.07184054902533402,450247.66,228.7843800813008,2457,1.2484756097560976,10.6111312510732,171.814184045334
stefoy,21620,1220,0.056429232192414434,259433.32,212.65026229508197,1396,1.1442622950819672,12.2791248716531,122.944468841324
uppercanada,11345,755,0.06654914059056853,153414.96,203.1986225165563,885,1.1721854304635762,6.80131630030874,85.0871457358895
vaughan,11530,587,0.05091066782307025,110118.09,187.59470187393526,686,1.1686541737649063,4.6898356114312,63.5534998701435
westedmonton,8206,461,0.05617840604435779,87933.14,190.7443383947939,572,1.2407809110629067,,60.8540859756168
