store,tphw 2019-Q4,tphw 2019-Q3,tphw 2018-Q4
anjou,15.7802907915994,8.72566809136561,10.6819068859771
bayshore,13.0732635585157,7.07696800172134,6.86976849408039
chicoutimi,20.0854700854701,8.22563041175852,10.0993058553921
COMP_ONT,14.4585008810374,7.15431618454778,7.84193607320135
COMP_QUE,17.8010830801744,8.626783543913,8.2090300380344
COMP_TOTAL,15.9993180794194,7.81340027382323,8.03374323018982
dix30,9.31416837782341,5.02974189866193,5.4826293302109
eatonto,16.7384482198896,8.26631566454842,8.45753730250236
Fairview,18.0214541120381,8.03297428006155,8.54201099205251
fairviewmall,0.0,,
gatineau,23.3507462686567,13.1986324403094,
gcapitale,17.0439276485788,8.19097254536994,11.4530144908853
GMA,18.6740715029504,8.94534332533321,9.1817136175247
GOA_ON,12.9153543307087,7.31150320756572,7.54717278746318
GOA_QC,23.3507462686567,13.1986324403094,
GQA,19.7233082706767,8.92529577464789,11.4530144908853
Grand_Total,17.1935256220548,7.98624070147979,8.33242031975076
GTA,14.9392911451632,7.01223138276719,7.18861122196862
guildford,19.1653290529695,7.09738423802123,
laval,18.3308183401045,9.76876657851953,10.9618951197441
limeridge,13.6025544703231,5.96871653663761,5.78152255772189
mapleview,12.3274478330658,6.09295199182839,
marketmall,19.1890773686388,7.73546174652241,
massonville,13.0465949820789,6.45367887995234,6.04225685643369
mtltrust,25.4843205574913,10.5215802568882,12.7737768779313
Ontario,14.4403573305307,7.02057908617668,7.15703350634545
oshawa,11.673360107095,6.31782067890889,6.19020926756353
ottawa,12.8038952316991,7.52244500196977,8.14943384982121
pacificcentre,29.3804690234512,9.27409476491935,
polopark,18.2637508283632,8.35341120497729,
Quebec,19.376054861691,9.00986363562006,9.38571370837085
REGIONAL_ON,13.0465949820789,6.45367887995234,6.04225685643369
REGIONAL_QC,20.4966887417219,8.07378448147119,8.47662674073082
rivieres,21.344262295082,8.01636399920175,8.03872008604463
scarborough,18.6413393432067,7.00384674340688,8.16738816738816
sherbrooke,20.2958199356913,7.9875558497435,
sherway,16.8825910931174,7.36813164153252,8.23058069381599
squareone,16.7275930411804,7.96161043037364,
stbruno,24.7400241837969,10.2454542410341,7.15973249689294
stefoy,23.4532374100719,9.71722984275678,
uppercanada,13.5714285714286,6.17493959492111,5.91267288517208
vaughan,14.2406789936344,6.52829899670674,
West,19.0589002390785,7.61265231672524,
westedmonton,11.8083378451543,5.73740639194664,
