store,visits 2019-Q3,visits 2019-Q2,visits 2018-Q3
oshawa,10411,9661.0,10960.0
polopark,11394,,
GTA,142949,146574.0,102587.0
mtltrust,34368,34070.0,45377.0
GWA,11394,,
rivieres,12071,13061.0,15176.0
Ontario,184480,191413.0,140613.0
scarborough,14304,16237.0,14875.0
stefoy,21620,25911.0,
uppercanada,11345,12263.0,14094.0
GVA,22855,,
Quebec,253789,280484.0,175322.0
ottawa,16249,19658.0,14628.0
dix30,11985,19400.0,16010.0
sherway,15879,17218.0,18385.0
REGIONAL_QC,45645,48320.0,15176.0
gatineau,19044,20738.0,
GOA,49119,53666.0,29367.0
Fairview,16281,15586.0,17278.0
eatonto,33999,40272.0,29106.0
massonville,11456,11911.0,8659.0
squareone,17666,14810.0,
REGIONAL_ON,11456,11911.0,8659.0
Manitoba,11394,,
GQA,41268,48880.0,15105.0
pacificcentre,11384,,
anjou,21680,24364.0,25336.0
westedmonton,8206,,
Alberta,26896,0.0,
sherbrooke,18396,19173.0,
GEA,8206,,
limeridge,13908,13930.0,15167.0
stbruno,27394,27807.0,
chicoutimi,15178,16086.0,
guildford,11471,,
mapleview,13907,14057.0,
GCA,18690,0.0,
GMA,147832,162546.0,145041.0
marketmall,18690,0.0,
laval,36124,41319.0,41040.0
gcapitale,19648,22969.0,15105.0
Grand_Total,499414,471897.0,315935.0
bayshore,13826,13270.0,14739.0
British Columbia,22855,,
vaughan,11530,8126.0,
