store,budget_upt,upt 2019-Q4,upt 2019-Q3,upt 2018-Q4,budget_diff,yoy
anjou,1.0609756097560976,1.09009009009009,1.302672467371038,1.1166267942583732,2.7441234337786033,-2.376506125836601
bayshore,1.075268817204301,1.140625,1.192118226600985,1.1289617486338799,6.078124999999997,1.0330953533397853
chicoutimi,1.0564516129032258,1.0517241379310345,1.2057471264367816,1.3355704697986577,-0.447486180573833,-21.2528158031537
COMP_ONT,1.0780017528483785,1.111587982832618,1.154468257177517,1.137694419030192,3.1156006839038337,-2.294679112500884
COMP_QUE,1.0586712683347714,1.1260504201680672,1.2279002678755409,1.1454374002611345,6.3645017909364165,-1.6925394690838171
COMP_TOTAL,1.0682608695652174,1.1206349206349207,1.203112203112203,1.1435730807357638,4.9027398233747395,-2.0058324638146527
dix30,1.0585774058577406,1.1755725190839694,1.2768361581920904,1.1459314055144585,11.052107534019251,2.586639429452037
eatonto,1.0790697674418606,1.0914634146341462,1.1190568225744104,1.12956964368348,1.1485492010092444,-3.3735174508648056
Fairview,1.0555555555555556,1.0833333333333333,1.1875,1.1358234295415959,2.6315789473684137,-4.621325361235676
gatineau,1.0591715976331362,1.127659574468085,1.094047619047619,,6.466183287768928,
gcapitale,1.0598802395209581,1.1071428571428572,1.1282608695652174,1.1059928443649374,4.459241323648098,0.10398012824215322
GMA,1.058614564831261,1.1178571428571429,1.211288223812622,1.128247133161713,5.596236816874405,-0.920896672296793
GOA_ON,1.0753968253968254,1.1390728476821192,1.1699139102854554,1.1215923842492428,5.921165171916619,1.5585397759790647
GOA_QC,1.0591715976331362,1.127659574468085,1.094047619047619,,6.466183287768928,
GQA,1.0578512396694215,1.1047619047619048,1.132183908045977,1.1059928443649374,4.434523809523812,-0.11129724837771507
Grand_Total,1.0681573275862069,1.120534103211837,1.1933238411643727,1.1455571919489445,4.9034701417992075,-2.184359621062277
GTA,1.0786948176583493,1.1139240506329113,1.147702090760189,1.169094086804544,3.265912878958515,-4.719041589067275
guildford,1.0875,1.125,1.139240506329114,,3.4482758620689653,
laval,1.0593220338983051,1.0746268656716418,1.15977377165076,1.0899725274725276,1.4447761194029844,-1.4078943656011076
limeridge,1.08,1.096774193548387,1.1762820512820513,1.2239700374531834,1.553166069295102,-10.39207170213606
mapleview,1.077922077922078,1.103448275862069,1.136229022704837,,2.3680930619027887,
marketmall,1.0754716981132075,1.2048192771084336,1.2650689905591865,,12.02705559078419,
massonville,1.0804597701149425,1.0657894736842104,1.159468438538206,1.1950920245398773,-1.3577827547592383,-10.819463957635364
mtltrust,1.0572916666666667,1.150943396226415,1.164972634870993,1.1255886970172684,8.85770052978901,2.2525723007289327
Ontario,1.0782041998551775,1.1140861466821885,1.1521239528504708,1.1602281825460368,3.327936102626089,-3.976979404395508
oshawa,1.0740740740740742,1.1384615384615384,1.2219730941704037,1.2078364565587734,5.994694960212203,-5.743734403819025
ottawa,1.0754716981132075,1.1379310344827587,1.151006711409396,1.1167621776504297,5.807622504537208,1.8955563911437463
pacificcentre,1.0869565217391304,1.1428571428571428,1.0680851063829786,,5.14285714285715,
polopark,1.0819672131147542,1.1095890410958904,1.185897435897436,,2.552926525529264,
Quebec,1.058312020460358,1.1205191594561188,1.2129418681560962,1.139070796460177,5.87795827630314,-1.6286640884579007
REGIONAL_ON,1.0804597701149425,1.0657894736842104,1.159468438538206,1.1950920245398773,-1.3577827547592383,-10.819463957635364
REGIONAL_QC,1.057239057239057,1.0594594594594595,1.1882998171846435,1.1298429319371728,0.21001893613359335,-6.229491771660445
rivieres,1.056338028169014,1.0491803278688525,1.1226912928759893,1.0918114143920596,-0.6775956284152981,-3.904619970193741
scarborough,1.0784313725490196,1.148936170212766,1.1168384879725086,1.147058823529412,6.537717601547394,0.16366612111293025
sherbrooke,1.0588235294117647,1.0757575757575757,1.2195121951219512,,1.599326599326604,
sherway,1.0794701986754967,1.0943396226415094,1.153130287648054,1.1639344262295082,1.377474244704244,-5.979271857560461
squareone,1.0824742268041236,1.125,1.1350861287398004,,3.9285714285714297,
stbruno,1.0585365853658537,1.1320754716981132,1.2280781462971377,1.1867426942266572,6.947221980697326,-4.606493285738573
stefoy,1.0561224489795917,1.1020408163265305,1.136039886039886,,4.347826086956524,
uppercanada,1.0776699029126213,1.14,1.1648873072360617,1.1856594110115237,5.78378378378378,-3.850971922246221
vaughan,1.0757575757575757,1.1578947368421053,1.1536050156739812,,7.635285396590066,
West,1.0824468085106382,1.1394557823129252,1.199492099322799,,5.266676695248126,
westedmonton,1.0843373493975903,1.0731707317073171,1.225,,-1.029810298102982,
