store,budget_dpp,dpp 2019-W40,dpp 2019-W39,dpp 2018-W40,budget_diff,yoy
anjou,207.7528735632184,191.9216806722689,180.2214189189189,196.60752,-7.620204052740629,-2.3833469481386533
bayshore,200.37,142.97,188.29556701030927,185.32123287671232,-28.64700304436792,-22.852876715366506
chicoutimi,208.0,278.8384745762712,226.41363636363636,,34.05695893089961,
COMP_ONT,199.47560975609755,191.49676075268817,191.53089077412514,160.53629080118694,-3.9999120760504363,19.28565173456239
COMP_QUE,208.07742461287694,177.61612169530093,176.0034689952142,184.52084218935795,-14.63940789071593,-3.7419732167552633
COMP_TOTAL,203.77126577126577,182.7381537704118,182.18689751612342,178.73087527115334,-10.321922436534184,2.2420740082982182
dix30,208.20158102766797,225.9829054054054,195.0105988023952,232.11330708661418,8.540436768044742,-2.64112461200735
eatonto,199.30603448275863,182.30821428571429,193.5930243902439,147.78677018633542,-8.528502531876308,23.35895429330574
Fairview,208.94736842105263,187.0802564102564,186.33018518518517,189.0537037037037,-10.465368468643028,-1.0438553991728183
gatineau,208.15083798882682,219.79264150943396,179.0843181818182,,5.592965002250944,
gcapitale,208.06214689265536,209.52033333333333,198.45601503759397,203.23457142857143,0.700841773698645,3.0928605603752266
GMA,207.91107382550337,203.9747356828194,196.45209888059702,206.22032,-1.893279694177176,-1.0889248533707139
GOA_ON,199.90774907749076,163.87756097560975,186.25298969072165,167.23373684210526,-18.023407430751742,-2.0068772783952444
GOA_QC,208.15083798882682,219.79264150943396,179.0843181818182,,5.592965002250944,
GQA,208.33072916666666,220.10862831858407,206.81781481481482,203.23457142857143,5.653462261198619,8.302749267214695
Grand_Total,198.3233291298865,190.78771431481331,184.76338200454373,186.63129029888938,-3.799661314750293,2.2270777902609087
GTA,199.26690391459076,193.3077002967359,183.2010495283019,179.42579505300353,-2.990563661494465,7.736850345086428
guildford,97.70114942528735,151.25355555555555,177.69133333333335,,54.81246274509804,
laval,207.824,200.79377990430623,199.31156950672647,193.48954166666667,-3.3827758563466106,3.7750041551201257
limeridge,198.820987654321,200.42479591836735,179.6085185185185,176.71396825396826,0.8066594392111217,13.417630704960782
mapleview,198.26506024096386,165.28349206349208,153.3694117647059,,-16.63508847064997,
marketmall,140.35087719298247,186.97656565656567,180.05293706293708,,33.22080303030303,
massonville,198.68085106382978,198.168875,199.97049019607843,204.42542372881357,-0.25768767402013276,-3.060553141919062
mtltrust,207.74384236453201,184.31388235294116,185.51182291666666,208.7460975609756,-11.278293375587928,-11.704273992905511
Ontario,199.34654130288786,188.47366013071894,185.21377622377622,178.39326380368098,-5.454261258362439,5.65065973462501
oshawa,200.0,208.45652777777778,196.35768292682926,221.97840909090908,4.228263888888889,-6.091529968391456
ottawa,199.63742690058479,179.83924731182796,184.21041237113403,155.94837606837606,-9.917068104978087,15.319730699200651
pacificcentre,250.0,176.61555555555555,139.91641791044776,,-29.35377777777778,
polopark,196.96969696969697,179.00475,174.88645161290322,,-9.120665384615384,
Quebec,208.08361527307878,193.75905423139454,187.02492327041148,190.85658393865958,-6.884040832761094,1.5207598463921983
REGIONAL_ON,198.68085106382978,198.168875,199.97049019607843,204.42542372881357,-0.25768767402013276,-3.060553141919062
REGIONAL_QC,208.39808917197453,253.79832460732985,202.92493670886077,204.35136363636363,21.78534151428331,24.197030101034905
rivieres,209.09333333333333,230.3565625,171.15710144927536,204.35136363636363,10.169252566636908,12.72572807975568
scarborough,200.11818181818182,230.23518518518517,215.13666666666666,165.33030303030304,15.049608732886796,39.25770470703479
sherbrooke,208.39814814814815,254.13514705882352,204.487125,,21.946931542866402,
sherway,198.85276073619633,175.33872727272728,181.88940677966102,200.75490566037735,-11.824846371966355,-12.660302523639118
squareone,198.85714285714286,199.16382352941176,150.3360465116279,,0.1542216024340771,
stbruno,207.50230414746545,229.08477528089887,221.47767857142858,,10.401075410755654,
stefoy,208.56038647342996,232.09537735849057,214.93547445255476,,11.284497158360852,
uppercanada,200.27027027027026,233.76509433962264,194.64661764705883,214.86507936507937,16.724810938812926,8.796224603082232
vaughan,199.09859154929578,153.2379069767442,168.35978723404256,,-23.034158210605284,
West,144.96314496314497,181.4703313253012,171.07453333333333,,25.183770931182355,
westedmonton,100.0,209.08863636363637,177.04285714285714,,109.08863636363637,
