store,budget_dpt,dpt 2019-W40,dpt 2019-W39,dpt 2018-W40,budget_diff,yoy
anjou,220.42073170731706,209.5291743119266,227.97239316239316,198.19306451612903,-4.9412581616200635,5.719730820790168
bayshore,215.4516129032258,163.72370967741935,253.6759722222222,196.0644927536232,-24.009058242251832,-16.49497194621752
chicoutimi,219.74193548387098,293.77625,258.7584415584416,,33.691481943628894,
COMP_ONT,215.0350569675723,212.64714925373136,245.39895380434783,175.65172077922077,-1.1104736816011647,21.061808168113913
COMP_QUE,220.2855910267472,199.89549584523417,217.52380166364287,205.2600544942543,-9.256209217532192,-2.613542446063364
COMP_TOTAL,217.6808695652174,204.6386032052385,228.38463383704618,198.0224618083572,-5.991461898341704,3.3411065272404676
dix30,220.39748953974896,267.56376,250.51361538461538,251.9520512820513,21.400547963929757,6.196301494077526
eatonto,215.06511627906977,196.3319230769231,234.831775147929,159.68906040268456,-8.710475006945519,22.946382539816423
Fairview,220.55555555555554,202.67027777777778,221.13912087912087,201.49144736842106,-8.10919395465995,0.5850523308819502
gatineau,220.46745562130178,247.85127659574468,210.1256,,12.420799658286189,
gcapitale,220.52095808383234,230.6645871559633,233.58097345132742,220.90714285714284,4.599848087125944,4.416989044636927
GMA,220.09769094138542,227.80942189421893,241.50991972477064,219.25003645200485,3.5037764003109104,3.903937979087991
GOA_ON,214.98015873015873,187.9434965034965,233.11664516129034,182.61155172413794,-12.576352341705364,2.9198288547557345
GOA_QC,220.46745562130178,247.85127659574468,210.1256,,12.420799658286189,
GQA,220.38292011019283,242.65634146341463,237.62046808510638,220.90714285714284,10.106691272665298,9.845403061655022
Grand_Total,211.8405172413793,213.7561942714606,230.21077792798468,204.96191040590685,0.9043015259911308,4.29069179153217
GTA,214.94817658349328,214.64479406919276,231.52681073025335,201.0990099009901,-0.141142166973762,6.735878100479877
guildford,106.25,170.16025,222.11416666666668,,60.15082352941177,
laval,220.15254237288136,216.31907216494847,240.25124324324324,211.0795,-1.741279099761654,2.482274292363045
limeridge,214.72666666666666,220.69247191011235,251.91844155844157,212.0567619047619,2.778325270939346,4.072357762978995
mapleview,213.71428571428572,182.68175438596492,186.2342857142857,,-14.520569471807862,
marketmall,150.9433962264151,225.74,249.9764077669903,,49.55275,
massonville,214.66666666666666,211.38013333333333,275.635,223.3537037037037,-1.5309937888198757,-5.360811202958271
mtltrust,219.64583333333334,208.88906666666668,224.01427672955975,218.0532484076433,-4.897323342502134,-4.202726539457239
Ontario,214.93627805937726,209.71978181818181,235.42728888888888,198.34994542974079,-2.426996637465901,5.73221049484404
oshawa,214.8148148148148,238.23603174603176,259.6988709677419,244.17625,10.902980295566502,-2.4327584087183967
ottawa,214.70440251572327,206.4820987654321,215.28204819277107,173.7710476190476,-3.8295925253274836,18.824223939822133
pacificcentre,271.7391304347826,202.30509090909092,164.46315789473684,,-25.551726545454546,
polopark,213.11475409836066,198.89416666666668,232.34914285714285,,-6.6727371794871795,
Quebec,220.2173913043478,217.12884443543638,228.82258437278625,208.29059881767176,-1.4024990717663022,4.243228291595258
REGIONAL_ON,214.66666666666666,211.38013333333333,275.635,223.3537037037037,-1.5309937888198757,-5.360811202958271
REGIONAL_QC,220.32659932659934,269.30822222222224,242.895,217.53532258064516,22.231370631294222,23.799766873439
rivieres,220.8732394366197,241.6855737704918,196.83066666666667,217.53532258064516,9.422750527387565,11.101760809853586
scarborough,215.81372549019608,264.52553191489363,244.8106896551724,191.43508771929825,22.57122725352814,38.180275657077075
sherbrooke,220.65686274509804,274.3046031746032,268.1798360655738,,24.31274502958868,
sherway,214.65562913907286,192.8726,249.56918604651162,226.3831914893617,-10.14789559744547,-14.802596990040422
squareone,215.2577319587629,222.01868852459017,177.10821917808218,,3.140865837573017,
stbruno,219.64878048780488,259.72668789808915,274.0939226519337,,18.246360085076574,
stefoy,220.26530612244898,256.27197916666665,241.36196721311475,,16.34695616757775,
uppercanada,215.8252427184466,263.60744680851064,240.654,225.60833333333332,22.13930283975077,16.842956513948497
vaughan,214.1818181818182,178.08729729729728,226.08314285714286,,-16.852280548800074,
West,156.91489361702128,207.03831615120274,221.98252595155708,,31.94306249635972,
westedmonton,108.43373493975903,224.38780487804877,212.45142857142858,,106.93542005420055,
