district,retail_orders 2019-W36,retail_orders 2019-W35,retail_orders 2018-W36,webcs_orders 2019-W36,webcs_orders 2019-W35,webcs_orders 2018-W36,total_orders 2019-W36,total_orders 2018-W36
Canada,3244.0,3077.0,1924.0,759.0,433.0,369.0,3986.0,2292.0
United States,12.0,12.0,4.0,339.0,149.0,342.0,264.0,256.0
Ontario,1261.0,1249.0,728.0,284.0,130.0,106.0,1545.0,834.0
New Brunswick,3.0,5.0,1.0,6.0,3.0,2.0,9.0,3.0
Saskatchewan,1.0,4.0,,6.0,2.0,1.0,7.0,
Nova Scotia,,3.0,2.0,14.0,7.0,2.0,,4.0
Rest of US,11.0,9.0,3.0,215.0,100.0,229.0,226.0,232.0
Alberta,203.0,183.0,2.0,47.0,15.0,24.0,250.0,26.0
California,,1.0,,66.0,24.0,61.0,,
Manitoba,87.0,89.0,2.0,12.0,4.0,2.0,99.0,4.0
New York,1.0,1.0,1.0,37.0,17.0,23.0,38.0,24.0
Quebec,1563.0,1400.0,1187.0,358.0,253.0,214.0,1921.0,1401.0
Rest of CAN,,1.0,1.0,3.0,,1.0,,2.0
Texas,,1.0,,21.0,8.0,29.0,,
British Columbia,126.0,143.0,1.0,29.0,19.0,17.0,155.0,18.0
International,10.0,3.0,2.0,13.0,8.0,20.0,23.0,22.0
