store,budget_worked,worked 2019-W40,worked 2019-W39,worked 2018-W40,budget_diff,yoy
marketmall,249.0,80.5666666666667,237.216666666667,,-67.6439089692102,
GQA,531.0,166.25,425.333333333333,,-68.6911487758945,
ottawa,234.0,99.2666666666667,194.566666666667,,-57.5783475783476,
westedmonton,261.0,61.5666666666667,124.466666666667,,-76.4112388250319,
gatineau,255.0,44.6666666666667,107.583333333333,,-82.4836601307189,
COMP_TOTAL,3689.0,1368.68333333333,3110.26666666666,337.45,-62.8982560766242,305.595890749246
vaughan,215.0,54.9833333333333,143.3,,-74.4263565891473,
polopark,154.0,75.45,199.433333333333,,-51.0064935064935,
GOA_QC,255.0,44.6666666666667,107.583333333333,,-82.4836601307189,
Grand_Total,6526.0,2196.35,5335.76666666667,337.45,-66.3446215139442,550.866795080753
sherbrooke,182.0,51.8333333333333,186.5,,-71.5201465201465,
limeridge,246.0,88.7333333333333,193.733333333333,,-63.929539295393,
pacificcentre,56.0,47.6166666666667,149.816666666667,,-14.9702380952381,
Quebec,2965.0,938.116666666666,2317.33333333333,,-68.3603147835863,
bayshore,179.0,70.0666666666667,152.9,,-60.8566108007449,
COMP_QUE,1768.0,630.916666666667,1429.5,,-64.3146681749623,
stbruno,284.0,82.7,233.833333333333,,-70.8802816901408,
Fairview,152.0,69.9166666666667,170.416666666667,,-54.0021929824561,
squareone,242.0,75.6833333333333,175.816666666667,,-68.7258953168044,
mtltrust,293.0,95.6666666666667,275.166666666667,,-67.349260523322,
laval,349.0,143.583333333333,309.333333333333,,-58.8586437440306,
GOA_ON,413.0,169.333333333333,347.466666666667,,-58.999192897498,
oshawa,148.0,74.7,148.6,,-49.527027027027,
GMA,1661.0,576.2,1339.33333333333,,-65.3100541842264,
REGIONAL_QC,518.0,151.0,445.083333333333,,-70.8494208494209,
massonville,153.0,69.75,149.033333333333,,-54.4117647058824,
eatonto,341.0,154.016666666667,343.466666666667,337.45,-54.8338220918866,-54.3586704203091
anjou,231.0,103.166666666667,179.0,,-55.3391053391053,
sherway,247.0,65.8666666666667,188.416666666667,,-73.3333333333333,
dix30,352.0,81.1666666666667,171.583333333333,,-76.9412878787879,
gcapitale,254.0,96.75,213.5,,-61.9094488188976,
rivieres,137.0,40.6666666666667,110.5,,-70.316301703163,
stefoy,277.0,69.5,211.833333333333,,-74.9097472924188,
guildford,178.0,41.5333333333333,125.883333333333,,-76.6666666666667,
uppercanada,207.0,61.6,152.466666666667,,-70.2415458937198,
scarborough,166.0,51.7666666666667,157.583333333333,,-68.8152610441767,
GTA,1977.0,712.416666666667,1685.11666666667,337.45,-63.9647614230315,111.117696448857
chicoutimi,199.0,58.5,148.083333333333,,-70.6030150753769,
Ontario,2543.0,951.5,2181.61666666667,337.45,-62.5835627211954,181.967698918358
REGIONAL_ON,153.0,69.75,149.033333333333,,-54.4117647058824,
mapleview,165.0,83.0666666666667,181.733333333333,,-49.6565656565657,
West,898.0,306.733333333333,836.816666666667,,-65.8426132145509,
COMP_ONT,1921.0,737.766666666667,1680.76666666667,337.45,-61.5946555613396,118.629920482047
