store,budget_orders,orders 2019-W40,orders 2019-W39,orders 2018-W40,budget_diff,yoy
anjou,164.0,109,117,124.0,-33.53658536585366,-12.096774193548388
bayshore,93.0,62,72,69.0,-33.333333333333336,-10.144927536231885
chicoutimi,124.0,56,77,,-54.83870967741935,
COMP_ONT,1141.0,670,736,308.0,-41.27957931638913,117.53246753246754
COMP_QUE,1159.0,1148,1153,952.0,-0.9490940465918896,20.58823529411765
COMP_TOTAL,2300.0,1819,1889,1260.0,-20.91304347826087,44.36507936507937
dix30,239.0,125,130,234.0,-47.69874476987448,-46.58119658119658
eatonto,215.0,156,169,149.0,-27.441860465116278,4.69798657718121
Fairview,90.0,72,91,76.0,-20.0,-5.2631578947368425
gatineau,169.0,47,75,,-72.18934911242603,
gcapitale,167.0,109,113,161.0,-34.73053892215569,-32.298136645962735
GMA,1126.0,813,872,823.0,-27.79751332149201,-1.2150668286755772
GOA_ON,252.0,143,155,174.0,-43.25396825396825,-17.816091954022987
GOA_QC,169.0,47,75,,-72.18934911242603,
GQA,363.0,205,235,161.0,-43.52617079889807,27.32919254658385
Grand_Total,3712.0,2683,2858,2189.0,-27.720905172413794,22.56738236637734
GTA,1042.0,607,671,505.0,-41.74664107485604,20.1980198019802
guildford,80.0,40,24,,-50.0,
laval,236.0,194,185,220.0,-17.796610169491526,-11.818181818181818
limeridge,150.0,89,77,105.0,-40.666666666666664,-15.238095238095237
mapleview,77.0,57,56,,-25.974025974025974,
marketmall,106.0,82,103,,-22.641509433962263,
massonville,87.0,75,74,54.0,-13.793103448275861,38.88888888888889
mtltrust,192.0,150,159,157.0,-21.875,-4.45859872611465
Ontario,1381.0,825,900,733.0,-40.26068066618392,12.55115961800819
oshawa,81.0,63,62,40.0,-22.22222222222222,57.5
ottawa,159.0,81,83,105.0,-49.056603773584904,-22.857142857142858
pacificcentre,46.0,55,57,,19.56521739130435,
polopark,61.0,72,70,,18.0327868852459,
Quebec,1955.0,1567,1669,1456.0,-19.846547314578004,7.62362637362637
REGIONAL_ON,87.0,75,74,54.0,-13.793103448275861,38.88888888888889
REGIONAL_QC,297.0,180,198,62.0,-39.39393939393939,190.32258064516128
rivieres,71.0,61,60,62.0,-14.084507042253522,-1.6129032258064515
scarborough,102.0,47,58,57.0,-53.92156862745098,-17.54385964912281
sherbrooke,102.0,63,61,,-38.23529411764706,
sherway,151.0,50,86,94.0,-66.88741721854305,-46.808510638297875
squareone,97.0,61,73,,-37.11340206185567,
stbruno,205.0,157,181,,-23.414634146341463,
stefoy,196.0,96,122,,-51.02040816326531,
uppercanada,103.0,47,55,60.0,-54.36893203883495,-21.666666666666668
vaughan,66.0,37,35,,-43.93939393939394,
West,376.0,291,289,,-22.606382978723403,
westedmonton,83.0,41,35,,-50.602409638554214,
