store,budget_sales,sales 2019-W40,sales 2019-W39,sales 2018-W40,budget_diff,yoy
anjou,36149.0,22838.68,26672.77,24575.94,-36.8207142659548,-7.068946294627998
bayshore,20037.0,10150.87,18264.67,13528.45,-49.339372161501224,-24.96649653138386
chicoutimi,27248.0,16451.47,19924.4,,-39.623201702877274,
COMP_ONT,245355.0,142473.59,180613.63,54100.73,-41.93165413380612,163.34873854752053
COMP_QUE,255311.0,229480.0292303288,250804.94331818025,195407.57187853009,-10.117453133500392,17.43661057974712
COMP_TOTAL,500666.0,372237.6192303288,431418.5733181802,249508.30187853007,-25.65150834481894,49.188470454801916
dix30,52675.0,33445.47,32566.77,58956.78,-36.50598955861415,-43.271206466838926
eatonto,46239.0,30627.78,39686.57,23793.67,-33.76201907480698,28.72238708866686
Fairview,19850.0,14592.26,20123.66,15313.35,-26.48735516372796,-4.708897791796047
gatineau,37259.0,11649.01,15759.42,,-68.73504388201508,
gcapitale,36827.0,25142.44,26394.65,35566.05,-31.728242865289054,-29.307752758599843
GMA,247830.0,185209.06,210596.65,180442.78,-25.267699632812814,2.641435695016448
GOA_ON,54175.0,26875.92,36133.08,31774.41,-50.39054914628519,-15.416462492930632
GOA_QC,37259.0,11649.01,15759.42,,-68.73504388201508,
GQA,79999.0,49744.55,55840.81,35566.05,-37.8185352316904,39.86526476794584
Grand_Total,786352.0,573507.8692303288,657942.4033181802,448661.6218785301,-27.067284214915354,27.826370980667342
GTA,223976.0,130289.39,155354.49,101555.0,-41.828861127977994,28.294411895032248
guildford,8500.0,6806.41,5330.74,,-19.924588235294117,
laval,51956.0,41965.9,44446.48,46437.49,-19.228000615905767,-9.629267214916224
limeridge,32209.0,19641.63,19397.72,22265.96,-39.01819367257599,-11.786287229474947
mapleview,16456.0,10412.86,10429.12,,-36.72301895964998,
marketmall,16000.0,18510.68,25747.57,,15.69175,
massonville,18676.0,15853.51,20396.99,12061.1,-15.112925680017135,31.44331777366907
mtltrust,42172.0,31333.36,35618.27,34234.36,-25.701033861329794,-8.473942553621566
Ontario,296827.0,173018.82,211884.56,145390.51,-41.71055193766066,19.002829001700317
oshawa,17400.0,15008.87,16101.33,9767.05,-13.742126436781609,53.66840550626853
ottawa,34138.0,16725.05,17868.41,18245.96,-51.00752826761966,-8.335598674994355
pacificcentre,12500.0,11126.78,9374.4,,-10.98576,
polopark,13000.0,14320.38,16264.44,,10.15676923076923,
Quebec,430525.0,340240.8992303288,381904.8933181802,303271.11187853006,-20.97069874447969,12.190342536352864
REGIONAL_ON,18676.0,15853.51,20396.99,12061.1,-15.112925680017135,31.44331777366907
REGIONAL_QC,65437.0,48475.48,48093.21,13487.19,-25.92038143557926,259.4186780196616
rivieres,15682.0,14742.82,11809.84,13487.19,-5.988904476469838,9.309796925823688
scarborough,22013.0,12432.7,14199.02,10911.8,-43.521101167491935,13.938122033028465
sherbrooke,22507.0,17281.19,16358.97,,-23.218598658195226,
sherway,32413.0,9643.63,21462.95,21280.02,-70.247647548823,-54.68223244151086
squareone,20880.0,13543.14,12928.9,,-35.138218390804596,
stbruno,45028.0,40777.09,49611.0,,-9.440592520209647,
stefoy,43172.0,24602.11,29446.16,,-43.0137357546558,
uppercanada,22230.0,12389.55,13235.97,13536.5,-44.266531713900136,-8.47301739740701
vaughan,14136.0,6589.23,7912.91,,-53.386884550084886,
West,59000.0,60248.15,64152.95,,2.1155084745762713,
westedmonton,9000.0,9199.9,7435.8,,2.221111111111111,
